date,HON
2013-01-01,46.0
2013-01-02,52.0
2013-01-03,56.0
2013-01-04,59.0
2013-01-05,56.0
2013-01-06,45.0
2013-01-07,54.0
2013-01-08,60.0
2013-01-09,79.0
2013-01-10,56.0
2013-01-11,55.0
2013-01-12,60.0
2013-01-13,42.0
2013-01-14,49.0
2013-01-15,51.0
2013-01-16,52.0
2013-01-17,51.0
2013-01-18,58.0
2013-01-19,55.0
2013-01-20,100.0
2013-01-21,48.0
2013-01-22,53.0
2013-01-23,60.0
2013-01-24,60.0
2013-01-25,65.0
2013-01-26,53.0
2013-01-27,53.0
2013-01-28,51.0
2013-01-29,52.0
2013-01-30,48.0
2013-01-31,76.0
2013-02-01,80.36
2013-02-02,72.97999999999999
2013-02-03,69.7
2013-02-04,66.42
2013-02-05,66.42
2013-02-06,78.72
2013-02-07,78.72
2013-02-08,71.33999999999999
2013-02-09,72.97999999999999
2013-02-10,72.16
2013-02-11,55.76
2013-02-12,66.42
2013-02-13,73.8
2013-02-14,76.25999999999999
2013-02-15,71.33999999999999
2013-02-16,60.68
2013-02-17,77.89999999999999
2013-02-18,72.97999999999999
2013-02-19,71.33999999999999
2013-02-20,73.8
2013-02-21,67.24
2013-02-22,81.17999999999999
2013-02-23,64.78
2013-02-24,68.88
2013-02-25,58.22
2013-02-26,80.36
2013-02-27,77.08
2013-02-28,82.0
2013-03-01,68.08
2013-03-02,56.24
2013-03-03,62.16
2013-03-04,64.38
2013-03-05,67.34
2013-03-06,58.46
2013-03-07,67.34
2013-03-08,62.9
2013-03-09,66.6
2013-03-10,51.06
2013-03-11,51.06
2013-03-12,63.64
2013-03-13,62.9
2013-03-14,71.78
2013-03-15,67.34
2013-03-16,48.839999999999996
2013-03-17,74.0
2013-03-18,59.2
2013-03-19,68.08
2013-03-20,72.52
2013-03-21,63.64
2013-03-22,65.12
2013-03-23,65.12
2013-03-24,61.42
2013-03-25,69.56
2013-03-26,61.42
2013-03-27,52.54
2013-03-28,57.72
2013-03-29,62.9
2013-03-30,68.08
2013-03-31,61.42
2013-04-01,73.08
2013-04-02,57.12
2013-04-03,68.88
2013-04-04,71.39999999999999
2013-04-05,67.2
2013-04-06,58.8
2013-04-07,68.88
2013-04-08,58.8
2013-04-09,60.48
2013-04-10,63.839999999999996
2013-04-11,62.16
2013-04-12,59.64
2013-04-13,57.12
2013-04-14,53.76
2013-04-15,63.839999999999996
2013-04-16,69.72
2013-04-17,70.56
