date,INTC
2013-01-01,9.450000000000001
2013-01-02,16.650000000000002
2013-01-03,17.1
2013-01-04,8.55
2013-01-05,6.75
2013-01-06,2.7
2013-01-07,11.700000000000001
2013-01-08,12.6
2013-01-09,15.3
2013-01-10,13.950000000000001
2013-01-11,15.75
2013-01-12,6.3
2013-01-13,2.7
2013-01-14,12.6
2013-01-15,11.700000000000001
2013-01-16,9.9
2013-01-17,38.7
2013-01-18,45.0
2013-01-19,13.950000000000001
2013-01-20,8.1
2013-01-21,10.35
2013-01-22,17.55
2013-01-23,16.2
2013-01-24,16.2
2013-01-25,17.1
2013-01-26,4.05
2013-01-27,4.5
2013-01-28,12.15
2013-01-29,10.8
2013-01-30,12.15
2013-01-31,10.8
2013-02-01,35.0
2013-02-02,28.7
2013-02-03,8.049999999999999
2013-02-04,23.45
2013-02-05,28.7
2013-02-06,28.349999999999998
2013-02-07,19.95
2013-02-08,26.25
2013-02-09,14.7
2013-02-10,11.899999999999999
2013-02-11,18.549999999999997
2013-02-12,26.95
2013-02-13,30.099999999999998
2013-02-14,32.55
2013-02-15,23.799999999999997
2013-02-16,9.1
2013-02-17,11.549999999999999
2013-02-18,10.149999999999999
2013-02-19,25.2
2013-02-20,31.15
2013-02-21,30.799999999999997
2013-02-22,31.849999999999998
2013-02-23,11.549999999999999
2013-02-24,10.5
2013-02-25,24.15
2013-02-26,28.7
2013-02-27,35.0
2013-02-28,29.4
2013-03-01,24.849999999999998
2013-03-02,8.049999999999999
2013-03-03,5.6
2013-03-04,20.299999999999997
2013-03-05,32.199999999999996
2013-03-06,32.199999999999996
2013-03-07,35.0
2013-03-08,33.949999999999996
2013-03-09,8.75
2013-03-10,4.55
2013-03-11,32.9
2013-03-12,19.95
2013-03-13,25.2
2013-03-14,19.599999999999998
2013-03-15,16.799999999999997
2013-03-16,5.25
2013-03-17,7.699999999999999
2013-03-18,16.45
2013-03-19,23.45
2013-03-20,23.45
2013-03-21,32.199999999999996
2013-03-22,16.099999999999998
2013-03-23,7.0
2013-03-24,13.649999999999999
2013-03-25,19.95
2013-03-26,23.45
2013-03-27,31.849999999999998
2013-03-28,26.25
2013-03-29,19.25
2013-03-30,11.899999999999999
2013-03-31,9.1
2013-04-01,15.979999999999999
2013-04-02,20.209999999999997
2013-04-03,17.86
2013-04-04,18.33
2013-04-05,22.56
2013-04-06,1.88
2013-04-07,3.29
2013-04-08,17.39
2013-04-09,21.619999999999997
2013-04-10,28.2
2013-04-11,29.139999999999997
2013-04-12,23.97
2013-04-13,7.05
2013-04-14,7.989999999999999
2013-04-15,21.619999999999997
2013-04-16,47.0
2013-04-17,46.059999999999995
2013-04-18,31.02
2013-04-19,29.61
2013-04-20,10.809999999999999
2013-04-21,8.459999999999999
2013-04-22,23.029999999999998
2013-04-23,34.78
2013-04-24,31.02
2013-04-25,28.669999999999998
2013-04-26,25.849999999999998
2013-04-27,5.17
2013-04-28,6.58
2013-04-29,29.139999999999997
2013-04-30,29.139999999999997
2013-05-01,27.72
2013-05-02,44.0
2013-05-03,35.64
2013-05-04,15.84
2013-05-05,6.6
2013-05-06,25.96
2013-05-07,30.36
2013-05-08,33.0
2013-05-09,28.6
2013-05-10,29.04
2013-05-11,14.52
2013-05-12,8.36
2013-05-13,28.6
2013-05-14,32.12
2013-05-15,29.48
2013-05-16,30.36
2013-05-17,34.76
2013-05-18,10.56
2013-05-19,5.72
2013-05-20,23.76
2013-05-21,26.84
2013-05-22,22.88
2013-05-23,24.2
2013-05-24,19.36
2013-05-25,7.48
2013-05-26,12.32
2013-05-27,7.04
2013-05-28,23.76
2013-05-29,23.32
2013-05-30,22.0
2013-05-31,25.96
2013-06-01,9.84
2013-06-02,3.69
2013-06-03,41.0
2013-06-04,37.72
2013-06-05,35.26
2013-06-06,35.26
