date,JNJ
2013-01-01,7.79
2013-01-02,15.58
2013-01-03,10.83
2013-01-04,18.43
2013-01-05,4.18
2013-01-06,5.51
2013-01-07,13.49
2013-01-08,12.54
2013-01-09,11.21
2013-01-10,14.82
2013-01-11,11.78
2013-01-12,9.69
2013-01-13,6.2700000000000005
2013-01-14,13.87
2013-01-15,14.06
2013-01-16,17.1
2013-01-17,13.3
2013-01-18,14.82
2013-01-19,9.12
2013-01-20,8.74
2013-01-21,12.35
2013-01-22,19.0
2013-01-23,15.77
2013-01-24,14.06
2013-01-25,17.29
2013-01-26,13.11
2013-01-27,5.51
2013-01-28,16.15
2013-01-29,15.96
2013-01-30,14.63
2013-01-31,13.49
2013-02-01,9.12
2013-02-02,11.02
2013-02-03,5.13
2013-02-04,12.73
2013-02-05,12.16
2013-02-06,15.01
2013-02-07,9.5
2013-02-08,8.17
2013-02-09,6.08
2013-02-10,3.61
2013-02-11,12.73
2013-02-12,12.16
2013-02-13,9.31
2013-02-14,11.78
2013-02-15,11.78
2013-02-16,3.8
2013-02-17,9.31
2013-02-18,4.5600000000000005
2013-02-19,13.11
2013-02-20,16.72
2013-02-21,19.0
2013-02-22,17.1
2013-02-23,4.18
2013-02-24,7.6
2013-02-25,13.3
2013-02-26,10.26
2013-02-27,11.4
2013-02-28,8.55
2013-03-01,13.2
2013-03-02,8.0
2013-03-03,4.800000000000001
2013-03-04,12.0
2013-03-05,19.6
2013-03-06,17.0
2013-03-07,13.4
2013-03-08,14.8
2013-03-09,11.2
2013-03-10,13.2
2013-03-11,16.2
2013-03-12,15.4
2013-03-13,16.6
2013-03-14,20.0
2013-03-15,11.0
2013-03-16,6.0
2013-03-17,6.800000000000001
2013-03-18,12.2
2013-03-19,18.2
2013-03-20,19.4
2013-03-21,16.6
2013-03-22,13.6
2013-03-23,7.4
2013-03-24,5.2
2013-03-25,10.6
2013-03-26,16.6
2013-03-27,15.2
2013-03-28,16.8
2013-03-29,15.4
2013-03-30,17.400000000000002
2013-03-31,5.800000000000001
2013-04-01,8.8
2013-04-02,15.18
2013-04-03,16.5
2013-04-04,14.08
2013-04-05,10.34
2013-04-06,7.48
2013-04-07,5.94
2013-04-08,13.42
2013-04-09,11.22
2013-04-10,11.88
2013-04-11,16.06
2013-04-12,17.6
2013-04-13,6.82
2013-04-14,8.14
2013-04-15,8.58
2013-04-16,22.0
2013-04-17,14.52
2013-04-18,11.88
2013-04-19,11.44
2013-04-20,10.34
2013-04-21,6.82
2013-04-22,14.74
2013-04-23,14.52
2013-04-24,14.96
2013-04-25,15.18
2013-04-26,12.54
2013-04-27,11.0
2013-04-28,5.28
2013-04-29,12.54
2013-04-30,14.08
2013-05-01,17.6
2013-05-02,14.3
2013-05-03,17.6
2013-05-04,10.12
2013-05-05,11.22
2013-05-06,18.48
2013-05-07,16.94
2013-05-08,14.08
2013-05-09,14.96
2013-05-10,18.92
2013-05-11,11.44
2013-05-12,8.14
2013-05-13,21.56
2013-05-14,21.34
2013-05-15,16.06
2013-05-16,17.16
2013-05-17,16.94
2013-05-18,9.9
2013-05-19,4.4
2013-05-20,12.1
2013-05-21,22.0
2013-05-22,15.4
2013-05-23,19.36
2013-05-24,18.48
2013-05-25,8.36
2013-05-26,7.04
2013-05-27,9.02
2013-05-28,16.5
2013-05-29,19.58
2013-05-30,10.78
2013-05-31,19.14
2013-06-01,8.61
2013-06-02,8.61
2013-06-03,15.12
2013-06-04,17.849999999999998
2013-06-05,17.849999999999998
2013-06-06,15.12
2013-06-07,19.32
2013-06-08,4.83
2013-06-09,8.4
2013-06-10,15.12
2013-06-11,5.25
2013-06-12,16.8
2013-06-13,16.8
2013-06-14,14.28
2013-06-15,6.93
2013-06-16,5.88
2013-06-17,21.0
2013-06-18,12.18
2013-06-19,14.49
2013-06-20,17.43
2013-06-21,12.6
2013-06-22,9.24
2013-06-23,6.93
2013-06-24,15.96
2013-06-25,15.75
2013-06-26,16.8
2013-06-27,16.38
2013-06-28,13.65
2013-06-29,9.03
2013-06-30,6.51
2013-07-01,12.1
2013-07-02,8.8
2013-07-03,11.66
2013-07-04,5.94
2013-07-05,10.12
2013-07-06,5.72
2013-07-07,4.4
2013-07-08,17.16
2013-07-09,14.08
2013-07-10,12.98
2013-07-11,15.4
2013-07-12,14.3
2013-07-13,8.58
2013-07-14,5.28
2013-07-15,16.28
2013-07-16,20.24
2013-07-17,19.58
2013-07-18,18.7
2013-07-19,22.0
2013-07-20,10.56
2013-07-21,5.94
2013-07-22,12.76
2013-07-23,14.3
2013-07-24,19.58
2013-07-25,16.06
2013-07-26,16.5
2013-07-27,4.18
2013-07-28,5.94
2013-07-29,8.8
2013-07-30,17.82
2013-07-31,13.2
2013-08-01,20.37
2013-08-02,18.27
2013-08-03,8.19
2013-08-04,1.68
2013-08-05,11.34
2013-08-06,15.33
2013-08-07,19.11
2013-08-08,14.07
2013-08-09,13.23
2013-08-10,7.14
2013-08-11,5.04
2013-08-12,19.53
2013-08-13,11.76
2013-08-14,13.44
2013-08-15,16.169999999999998
2013-08-16,21.0
2013-08-17,8.82
2013-08-18,2.94
2013-08-19,13.65
2013-08-20,11.76
2013-08-21,15.96
2013-08-22,12.6
2013-08-23,12.81
2013-08-24,9.87
2013-08-25,1.26
2013-08-26,13.02
2013-08-27,13.86
2013-08-28,14.07
2013-08-29,16.38
2013-08-30,16.169999999999998
2013-08-31,1.68
2013-09-01,3.04
2013-09-02,7.6
2013-09-03,17.86
2013-09-04,15.01
2013-09-05,15.01
2013-09-06,11.59
2013-09-07,2.47
2013-09-08,7.22
2013-09-09,14.06
2013-09-10,4.94
2013-09-11,16.34
2013-09-12,13.3
2013-09-13,16.53
2013-09-14,4.18
2013-09-15,5.32
2013-09-16,13.11
2013-09-17,13.87
2013-09-18,19.0
2013-09-19,13.49
2013-09-20,12.92
2013-09-21,7.41
2013-09-22,12.16
2013-09-23,13.11
2013-09-24,11.4
2013-09-25,11.59
2013-09-26,15.01
2013-09-27,16.91
2013-09-28,9.31
2013-09-29,7.98
2013-09-30,13.3
2013-10-01,11.0
2013-10-02,11.88
2013-10-03,7.04
2013-10-04,11.44
2013-10-05,10.34
2013-10-06,1.1
2013-10-07,13.64
2013-10-08,12.54
2013-10-09,14.74
2013-10-10,13.64
2013-10-11,14.52
2013-10-12,6.6
2013-10-13,4.62
2013-10-14,14.3
2013-10-15,21.78
2013-10-16,22.0
2013-10-17,17.6
2013-10-18,17.16
2013-10-19,12.98
2013-10-20,5.72
2013-10-21,11.88
2013-10-22,12.1
2013-10-23,16.5
2013-10-24,13.86
2013-10-25,14.3
2013-10-26,8.8
2013-10-27,4.84
2013-10-28,11.0
2013-10-29,12.98
2013-10-30,15.62
2013-10-31,12.76
2013-11-01,14.3
2013-11-02,6.82
2013-11-03,6.16
2013-11-04,22.0
2013-11-05,16.94
2013-11-06,11.44
2013-11-07,14.3
2013-11-08,12.76
2013-11-09,5.72
2013-11-10,2.2
2013-11-11,9.9
2013-11-12,9.02
2013-11-13,10.34
2013-11-14,14.74
2013-11-15,10.56
2013-11-16,4.84
2013-11-17,5.72
2013-11-18,12.1
2013-11-19,13.42
2013-11-20,14.3
2013-11-21,13.86
2013-11-22,14.08
2013-11-23,7.92
2013-11-24,5.5
2013-11-25,11.44
2013-11-26,13.86
2013-11-27,8.58
2013-11-28,5.06
2013-11-29,8.14
2013-11-30,4.62
2013-12-01,4.859999999999999
2013-12-02,13.32
2013-12-03,10.26
2013-12-04,12.96
2013-12-05,12.78
2013-12-06,18.0
2013-12-07,7.02
2013-12-08,4.68
2013-12-09,10.62
2013-12-10,11.88
2013-12-11,14.22
2013-12-12,14.04
2013-12-13,13.32
2013-12-14,5.04
2013-12-15,5.22
2013-12-16,12.78
2013-12-17,9.9
2013-12-18,12.24
2013-12-19,14.58
2013-12-20,11.52
2013-12-21,10.8
2013-12-22,5.4
2013-12-23,11.16
2013-12-24,10.8
2013-12-25,5.22
2013-12-26,10.44
2013-12-27,9.36
2013-12-28,7.199999999999999
2013-12-29,8.1
2013-12-30,13.86
2013-12-31,11.16
2014-01-01,11.13
2014-01-02,9.66
2014-01-03,11.76
2014-01-04,6.3
2014-01-05,8.61
2014-01-06,11.55
2014-01-07,14.91
2014-01-08,16.8
2014-01-09,18.06
2014-01-10,16.38
2014-01-11,4.83
2014-01-12,5.46
2014-01-13,13.65
2014-01-14,14.07
2014-01-15,12.6
2014-01-16,19.11
2014-01-17,12.39
2014-01-18,8.61
2014-01-19,7.14
2014-01-20,10.5
2014-01-21,21.0
2014-01-22,16.38
2014-01-23,18.48
2014-01-24,20.37
2014-01-25,11.55
2014-01-26,6.3
2014-01-27,15.33
2014-01-28,16.38
2014-01-29,13.23
2014-01-30,13.65
2014-01-31,14.07
2014-02-01,11.34
2014-02-02,5.67
2014-02-03,17.64
2014-02-04,15.75
2014-02-05,19.11
2014-02-06,21.0
2014-02-07,14.28
2014-02-08,9.45
2014-02-09,9.45
2014-02-10,12.81
2014-02-11,20.79
2014-02-12,14.7
2014-02-13,13.65
2014-02-14,16.38
2014-02-15,6.93
2014-02-16,7.14
2014-02-17,9.87
2014-02-18,19.32
2014-02-19,15.54
2014-02-20,18.9
2014-02-21,15.75
2014-02-22,10.92
2014-02-23,9.03
2014-02-24,14.91
2014-02-25,18.27
2014-02-26,16.38
2014-02-27,15.33
2014-02-28,20.16
2014-03-01,10.64
2014-03-02,7.79
2014-03-03,16.72
2014-03-04,11.4
2014-03-05,18.62
2014-03-06,12.35
2014-03-07,15.39
2014-03-08,6.84
2014-03-09,0.0
2014-03-10,13.11
2014-03-11,12.35
2014-03-12,12.92
2014-03-13,17.48
2014-03-14,12.54
2014-03-15,6.08
2014-03-16,3.61
2014-03-17,12.92
2014-03-18,16.34
2014-03-19,16.15
2014-03-20,15.39
2014-03-21,14.06
2014-03-22,8.55
2014-03-23,10.83
2014-03-24,8.36
2014-03-25,18.05
2014-03-26,19.0
2014-03-27,16.15
2014-03-28,16.72
2014-03-29,8.36
2014-03-30,11.21
2014-03-31,17.86
2014-04-01,15.6
2014-04-02,13.52
2014-04-03,15.08
2014-04-04,15.34
2014-04-05,9.88
2014-04-06,3.9
2014-04-07,13.26
2014-04-08,13.52
2014-04-09,8.84
2014-04-10,17.16
2014-04-11,13.52
2014-04-12,3.64
2014-04-13,4.42
2014-04-14,14.3
2014-04-15,26.0
2014-04-16,18.98
2014-04-17,18.46
2014-04-18,8.84
2014-04-19,7.28
2014-04-20,5.46
2014-04-21,17.16
2014-04-22,14.56
2014-04-23,18.72
2014-04-24,17.42
2014-04-25,14.04
2014-04-26,4.68
2014-04-27,6.76
2014-04-28,15.08
2014-04-29,21.32
2014-04-30,14.04
2014-05-01,16.2
2014-05-02,18.4
2014-05-03,9.6
2014-05-04,12.8
2014-05-05,17.400000000000002
2014-05-06,20.0
2014-05-07,19.0
2014-05-08,17.0
2014-05-09,17.6
2014-05-10,3.4000000000000004
2014-05-11,8.200000000000001
2014-05-12,10.2
2014-05-13,15.4
2014-05-14,17.2
2014-05-15,16.0
2014-05-16,17.400000000000002
2014-05-17,8.0
2014-05-18,11.2
2014-05-19,9.8
2014-05-20,18.6
2014-05-21,14.4
2014-05-22,16.400000000000002
2014-05-23,12.0
2014-05-24,3.8
2014-05-25,3.0
2014-05-26,5.6000000000000005
2014-05-27,16.6
2014-05-28,16.6
2014-05-29,11.8
2014-05-30,16.6
2014-05-31,8.200000000000001
2014-06-01,3.74
2014-06-02,13.42
2014-06-03,14.3
2014-06-04,12.98
2014-06-05,17.6
2014-06-06,11.44
2014-06-07,8.14
2014-06-08,5.94
2014-06-09,14.74
2014-06-10,14.3
2014-06-11,14.74
2014-06-12,16.72
2014-06-13,13.64
2014-06-14,2.42
2014-06-15,4.62
2014-06-16,9.68
2014-06-17,13.86
2014-06-18,14.96
2014-06-19,15.4
2014-06-20,21.56
2014-06-21,11.88
2014-06-22,3.08
2014-06-23,8.58
2014-06-24,15.4
2014-06-25,14.74
2014-06-26,22.0
2014-06-27,19.36
2014-06-28,3.3
2014-06-29,9.02
2014-06-30,11.0
2014-07-01,11.96
2014-07-02,14.49
2014-07-03,16.1
2014-07-04,8.05
2014-07-05,7.36
2014-07-06,5.5200000000000005
2014-07-07,14.72
2014-07-08,12.88
2014-07-09,10.58
2014-07-10,11.96
2014-07-11,12.42
2014-07-12,4.37
2014-07-13,3.68
2014-07-14,9.43
2014-07-15,23.0
2014-07-16,18.630000000000003
2014-07-17,18.4
2014-07-18,17.02
2014-07-19,4.37
2014-07-20,6.21
2014-07-21,14.03
2014-07-22,15.41
2014-07-23,15.41
2014-07-24,7.82
2014-07-25,15.18
2014-07-26,7.36
2014-07-27,0.0
2014-07-28,12.88
2014-07-29,10.35
2014-07-30,12.88
2014-07-31,12.42
2014-08-01,14.6
2014-08-02,9.2
2014-08-03,8.8
2014-08-04,13.2
2014-08-05,15.6
2014-08-06,13.0
2014-08-07,18.6
2014-08-08,15.0
2014-08-09,10.0
2014-08-10,4.800000000000001
2014-08-11,15.0
2014-08-12,11.8
2014-08-13,16.8
2014-08-14,18.4
2014-08-15,19.4
2014-08-16,5.2
2014-08-17,3.0
2014-08-18,13.4
2014-08-19,20.0
2014-08-20,14.2
2014-08-21,19.0
2014-08-22,16.8
2014-08-23,13.4
2014-08-24,7.6
2014-08-25,16.0
2014-08-26,19.4
2014-08-27,14.0
2014-08-28,12.6
2014-08-29,14.2
2014-08-30,4.2
2014-08-31,5.2
2014-09-01,3.42
2014-09-02,9.88
2014-09-03,9.31
2014-09-04,9.5
2014-09-05,7.03
2014-09-06,0.0
2014-09-07,6.2700000000000005
2014-09-08,9.88
2014-09-09,7.6
2014-09-10,9.69
2014-09-11,7.79
2014-09-12,9.31
2014-09-13,5.89
2014-09-14,3.42
2014-09-15,6.84
2014-09-16,11.59
2014-09-17,9.88
2014-09-18,11.21
2014-09-19,15.01
2014-09-20,7.41
2014-09-21,4.18
2014-09-22,7.79
2014-09-23,11.21
2014-09-24,11.78
2014-09-25,13.68
2014-09-26,10.83
2014-09-27,7.98
2014-09-28,7.41
2014-09-29,12.73
2014-09-30,19.0
2014-10-01,11.75
2014-10-02,11.5
2014-10-03,7.0
2014-10-04,6.75
2014-10-05,4.25
2014-10-06,12.75
2014-10-07,13.5
2014-10-08,9.25
2014-10-09,12.25
2014-10-10,12.0
2014-10-11,5.0
2014-10-12,7.25
2014-10-13,9.5
2014-10-14,25.0
2014-10-15,15.25
2014-10-16,13.75
2014-10-17,12.75
2014-10-18,6.0
2014-10-19,5.75
2014-10-20,11.0
2014-10-21,11.0
2014-10-22,18.75
2014-10-23,14.25
2014-10-24,21.0
2014-10-25,7.5
2014-10-26,4.75
2014-10-27,13.0
2014-10-28,14.25
2014-10-29,13.75
2014-10-30,15.0
2014-10-31,12.75
2014-11-01,6.2
2014-11-02,7.800000000000001
2014-11-03,13.8
2014-11-04,18.0
2014-11-05,10.6
2014-11-06,18.4
2014-11-07,8.4
2014-11-08,10.2
2014-11-09,3.2
2014-11-10,14.8
2014-11-11,17.6
2014-11-12,12.2
2014-11-13,14.0
2014-11-14,15.0
2014-11-15,8.4
2014-11-16,9.4
2014-11-17,11.8
2014-11-18,15.2
2014-11-19,12.8
2014-11-20,12.8
2014-11-21,20.0
2014-11-22,6.2
2014-11-23,5.800000000000001
2014-11-24,14.2
2014-11-25,8.4
2014-11-26,9.4
2014-11-27,4.800000000000001
2014-11-28,9.8
2014-11-29,6.6000000000000005
2014-11-30,7.6
2014-12-01,17.6
2014-12-02,10.56
2014-12-03,19.8
2014-12-04,20.02
2014-12-05,19.8
2014-12-06,6.38
2014-12-07,14.08
2014-12-08,16.5
2014-12-09,17.6
2014-12-10,14.08
2014-12-11,16.28
2014-12-12,16.06
2014-12-13,12.98
2014-12-14,9.68
2014-12-15,13.42
2014-12-16,16.28
2014-12-17,12.98
2014-12-18,19.14
2014-12-19,9.9
2014-12-20,14.74
2014-12-21,13.42
2014-12-22,15.4
2014-12-23,22.0
2014-12-24,17.16
2014-12-25,4.62
2014-12-26,14.52
2014-12-27,5.5
2014-12-28,6.16
2014-12-29,14.3
2014-12-30,11.44
2014-12-31,15.4
2015-01-01,7.14
2015-01-02,10.08
2015-01-03,3.57
2015-01-04,0.0
2015-01-05,13.23
2015-01-06,10.71
2015-01-07,11.34
2015-01-08,13.23
2015-01-09,13.65
2015-01-10,6.09
2015-01-11,5.67
2015-01-12,13.02
2015-01-13,9.87
2015-01-14,11.76
2015-01-15,17.22
2015-01-16,12.39
2015-01-17,4.83
2015-01-18,5.46
2015-01-19,6.09
2015-01-20,21.0
2015-01-21,15.12
2015-01-22,17.64
2015-01-23,13.65
2015-01-24,4.83
2015-01-25,2.73
2015-01-26,16.38
2015-01-27,12.18
2015-01-28,12.39
2015-01-29,13.86
2015-01-30,15.54
2015-01-31,8.19
2015-02-01,7.590000000000001
2015-02-02,14.49
2015-02-03,21.16
2015-02-04,16.1
2015-02-05,20.01
2015-02-06,13.57
2015-02-07,6.67
2015-02-08,8.51
2015-02-09,19.78
2015-02-10,23.0
2015-02-11,21.16
2015-02-12,19.55
2015-02-13,21.62
2015-02-14,12.42
2015-02-15,8.05
2015-02-16,12.42
2015-02-17,14.26
2015-02-18,18.630000000000003
2015-02-19,13.8
2015-02-20,17.48
2015-02-21,8.97
2015-02-22,5.98
2015-02-23,18.4
2015-02-24,15.41
2015-02-25,22.08
2015-02-26,20.7
2015-02-27,16.560000000000002
2015-02-28,11.5
2015-03-01,7.48
2015-03-02,16.94
2015-03-03,22.0
2015-03-04,20.02
2015-03-05,19.58
2015-03-06,14.52
2015-03-07,9.68
2015-03-08,3.96
2015-03-09,14.3
2015-03-10,15.84
2015-03-11,16.28
2015-03-12,17.16
2015-03-13,16.06
2015-03-14,6.16
2015-03-15,11.22
2015-03-16,16.72
2015-03-17,11.88
2015-03-18,15.62
2015-03-19,16.94
2015-03-20,16.06
2015-03-21,9.24
2015-03-22,7.48
2015-03-23,14.74
2015-03-24,13.42
2015-03-25,12.98
2015-03-26,19.58
2015-03-27,16.5
2015-03-28,14.08
2015-03-29,9.68
2015-03-30,21.12
2015-03-31,14.74
2015-04-01,6.16
2015-04-02,9.24
2015-04-03,5.72
2015-04-04,4.18
2015-04-05,4.62
2015-04-06,7.26
2015-04-07,11.0
2015-04-08,9.46
2015-04-09,11.22
2015-04-10,7.92
2015-04-11,3.74
2015-04-12,4.4
2015-04-13,7.92
