date,JPM
2013-01-01,4.8
2013-01-02,16.8
2013-01-03,13.5
2013-01-04,15.0
2013-01-05,3.9
2013-01-06,5.4
2013-01-07,15.0
2013-01-08,12.9
2013-01-09,13.8
2013-01-10,13.5
2013-01-11,19.5
2013-01-12,6.3
2013-01-13,6.0
2013-01-14,20.4
2013-01-15,17.099999999999998
2013-01-16,30.0
2013-01-17,19.2
2013-01-18,20.1
2013-01-19,4.5
2013-01-20,4.5
2013-01-21,8.4
2013-01-22,15.0
2013-01-23,13.2
2013-01-24,14.1
2013-01-25,10.2
2013-01-26,7.199999999999999
2013-01-27,3.9
2013-01-28,7.5
2013-01-29,16.8
2013-01-30,15.3
2013-01-31,10.5
2013-02-01,19.0
2013-02-02,5.5
2013-02-03,6.0
2013-02-04,11.0
2013-02-05,17.75
2013-02-06,18.5
2013-02-07,13.75
2013-02-08,13.25
2013-02-09,5.25
2013-02-10,5.25
2013-02-11,18.0
2013-02-12,16.0
2013-02-13,17.5
2013-02-14,23.5
2013-02-15,12.25
2013-02-16,8.25
2013-02-17,5.75
2013-02-18,8.0
2013-02-19,13.0
2013-02-20,14.75
2013-02-21,15.75
2013-02-22,17.25
2013-02-23,8.0
2013-02-24,3.75
2013-02-25,17.25
2013-02-26,21.25
2013-02-27,17.75
2013-02-28,25.0
2013-03-01,13.26
2013-03-02,8.84
2013-03-03,4.68
2013-03-04,9.88
2013-03-05,10.66
2013-03-06,14.3
2013-03-07,17.68
2013-03-08,15.6
2013-03-09,2.34
2013-03-10,4.42
2013-03-11,14.3
2013-03-12,10.66
2013-03-13,8.84
2013-03-14,20.02
2013-03-15,26.0
2013-03-16,7.54
2013-03-17,4.94
2013-03-18,8.84
2013-03-19,11.18
2013-03-20,7.800000000000001
2013-03-21,9.1
2013-03-22,8.32
2013-03-23,4.68
2013-03-24,4.16
2013-03-25,10.4
2013-03-26,10.4
2013-03-27,16.64
2013-03-28,9.62
2013-03-29,6.24
2013-03-30,4.94
2013-03-31,0.0
2013-04-01,8.25
2013-04-02,7.75
2013-04-03,9.25
2013-04-04,11.75
2013-04-05,7.75
2013-04-06,3.0
2013-04-07,0.0
2013-04-08,9.25
2013-04-09,11.75
2013-04-10,10.0
2013-04-11,13.0
2013-04-12,25.0
2013-04-13,4.0
2013-04-14,5.25
2013-04-15,13.25
2013-04-16,10.25
2013-04-17,12.25
2013-04-18,8.25
2013-04-19,7.25
2013-04-20,3.0
2013-04-21,4.75
2013-04-22,9.0
