date,KO
2013-01-01,50.0
2013-01-02,43.5
2013-01-03,42.5
2013-01-04,43.5
2013-01-05,47.0
2013-01-06,43.5
2013-01-07,40.5
2013-01-08,43.0
2013-01-09,43.5
2013-01-10,41.5
2013-01-11,43.0
2013-01-12,46.5
2013-01-13,45.5
2013-01-14,38.0
2013-01-15,35.5
2013-01-16,38.0
2013-01-17,39.5
2013-01-18,39.0
2013-01-19,43.5
2013-01-20,42.5
2013-01-21,37.0
2013-01-22,39.0
2013-01-23,43.5
2013-01-24,40.0
2013-01-25,39.0
2013-01-26,44.0
2013-01-27,45.5
2013-01-28,40.0
2013-01-29,37.0
2013-01-30,37.0
2013-01-31,37.5
2013-02-01,40.5
2013-02-02,40.0
2013-02-03,50.0
2013-02-04,40.0
2013-02-05,41.0
2013-02-06,44.0
2013-02-07,46.0
2013-02-08,39.5
2013-02-09,43.5
2013-02-10,45.0
2013-02-11,34.5
2013-02-12,40.0
2013-02-13,37.5
2013-02-14,41.0
2013-02-15,40.5
2013-02-16,45.0
2013-02-17,48.5
2013-02-18,40.0
2013-02-19,41.0
2013-02-20,39.0
2013-02-21,37.0
2013-02-22,43.0
2013-02-23,40.0
2013-02-24,41.5
2013-02-25,38.0
2013-02-26,35.5
2013-02-27,41.0
2013-02-28,38.0
2013-03-01,38.28
2013-03-02,41.8
2013-03-03,40.04
2013-03-04,34.76
2013-03-05,38.72
2013-03-06,36.96
2013-03-07,39.160000000000004
2013-03-08,37.4
2013-03-09,44.0
2013-03-10,38.72
2013-03-11,28.6
2013-03-12,34.76
2013-03-13,34.32
2013-03-14,31.68
2013-03-15,33.0
2013-03-16,34.76
2013-03-17,40.04
2013-03-18,31.24
2013-03-19,31.68
2013-03-20,35.2
2013-03-21,26.84
2013-03-22,34.32
2013-03-23,32.56
2013-03-24,35.64
2013-03-25,33.0
2013-03-26,34.32
2013-03-27,31.68
2013-03-28,30.36
2013-03-29,33.0
2013-03-30,30.8
2013-03-31,36.08
2013-04-01,33.11
2013-04-02,32.68
2013-04-03,36.12
2013-04-04,36.98
2013-04-05,36.55
2013-04-06,39.13
2013-04-07,39.99
2013-04-08,33.11
2013-04-09,37.41
2013-04-10,35.69
2013-04-11,35.26
2013-04-12,35.26
2013-04-13,37.839999999999996
2013-04-14,36.98
2013-04-15,33.97
2013-04-16,40.42
2013-04-17,36.12
2013-04-18,35.26
2013-04-19,34.4
2013-04-20,36.12
2013-04-21,38.269999999999996
2013-04-22,35.69
2013-04-23,35.69
2013-04-24,35.26
2013-04-25,35.26
2013-04-26,34.4
2013-04-27,33.54
2013-04-28,43.0
2013-04-29,30.53
2013-04-30,33.54
2013-05-01,31.200000000000003
2013-05-02,33.15
2013-05-03,31.59
2013-05-04,31.200000000000003
2013-05-05,34.71
2013-05-06,30.42
2013-05-07,33.93
2013-05-08,33.15
2013-05-09,28.470000000000002
2013-05-10,30.03
2013-05-11,33.15
2013-05-12,31.200000000000003
2013-05-13,28.470000000000002
2013-05-14,30.810000000000002
2013-05-15,30.810000000000002
2013-05-16,33.93
2013-05-17,32.370000000000005
2013-05-18,31.59
2013-05-19,39.0
2013-05-20,32.370000000000005
2013-05-21,29.64
2013-05-22,35.1
2013-05-23,31.59
2013-05-24,30.42
2013-05-25,33.54
2013-05-26,37.44
2013-05-27,33.54
2013-05-28,31.200000000000003
2013-05-29,29.25
2013-05-30,33.54
2013-05-31,30.42
2013-06-01,31.16
2013-06-02,34.58
2013-06-03,30.02
2013-06-04,33.44
2013-06-05,32.3
2013-06-06,31.92
2013-06-07,30.78
2013-06-08,31.16
2013-06-09,37.24
2013-06-10,30.4
2013-06-11,35.34
2013-06-12,32.68
2013-06-13,33.44
2013-06-14,31.92
2013-06-15,31.16
2013-06-16,34.58
2013-06-17,34.96
2013-06-18,32.3
2013-06-19,30.02
2013-06-20,33.44
2013-06-21,32.68
2013-06-22,33.44
2013-06-23,32.68
2013-06-24,35.34
2013-06-25,33.82
2013-06-26,32.3
2013-06-27,31.16
2013-06-28,32.3
2013-06-29,36.480000000000004
2013-06-30,38.0
2013-07-01,13.34
2013-07-02,12.88
2013-07-03,11.5
2013-07-04,13.34
2013-07-05,13.8
2013-07-06,13.34
2013-07-07,46.0
2013-07-08,22.080000000000002
2013-07-09,17.02
2013-07-10,14.26
2013-07-11,14.72
2013-07-12,13.34
2013-07-13,15.64
2013-07-14,15.64
2013-07-15,13.8
2013-07-16,14.26
2013-07-17,13.8
2013-07-18,15.180000000000001
2013-07-19,11.96
2013-07-20,14.26
2013-07-21,14.26
2013-07-22,12.88
2013-07-23,11.5
2013-07-24,12.88
2013-07-25,13.8
2013-07-26,12.88
2013-07-27,12.42
2013-07-28,12.88
2013-07-29,11.040000000000001
2013-07-30,13.34
2013-07-31,13.8
2013-08-01,33.88
2013-08-02,35.2
2013-08-03,36.52
2013-08-04,40.48
2013-08-05,36.52
2013-08-06,34.76
2013-08-07,35.64
2013-08-08,39.6
2013-08-09,33.44
2013-08-10,37.4
2013-08-11,44.0
2013-08-12,39.6
2013-08-13,39.6
2013-08-14,35.2
2013-08-15,37.84
2013-08-16,36.08
2013-08-17,40.92
2013-08-18,44.0
2013-08-19,34.76
2013-08-20,39.6
2013-08-21,35.64
2013-08-22,35.2
2013-08-23,33.88
2013-08-24,39.6
2013-08-25,41.36
2013-08-26,40.48
2013-08-27,39.6
2013-08-28,38.28
2013-08-29,36.52
2013-08-30,37.84
2013-08-31,34.32
2013-09-01,31.569999999999997
2013-09-02,30.34
2013-09-03,30.749999999999996
2013-09-04,26.65
2013-09-05,30.749999999999996
2013-09-06,29.93
2013-09-07,30.749999999999996
2013-09-08,31.569999999999997
2013-09-09,30.34
2013-09-10,31.159999999999997
2013-09-11,28.29
2013-09-12,31.979999999999997
2013-09-13,33.62
2013-09-14,35.26
2013-09-15,41.0
2013-09-16,30.749999999999996
2013-09-17,31.159999999999997
2013-09-18,32.39
2013-09-19,31.979999999999997
2013-09-20,33.62
2013-09-21,29.52
2013-09-22,29.93
2013-09-23,29.93
2013-09-24,31.159999999999997
2013-09-25,29.11
2013-09-26,30.749999999999996
2013-09-27,34.03
2013-09-28,34.03
2013-09-29,29.93
2013-09-30,33.21
2013-10-01,35.72
2013-10-02,38.54
2013-10-03,38.54
2013-10-04,39.48
2013-10-05,37.599999999999994
2013-10-06,33.839999999999996
2013-10-07,37.599999999999994
2013-10-08,45.12
2013-10-09,40.419999999999995
2013-10-10,45.12
2013-10-11,45.589999999999996
2013-10-12,39.48
2013-10-13,38.54
2013-10-14,42.769999999999996
2013-10-15,43.239999999999995
2013-10-16,45.12
2013-10-17,38.54
2013-10-18,47.0
2013-10-19,44.18
2013-10-20,38.54
2013-10-21,39.949999999999996
2013-10-22,42.769999999999996
2013-10-23,43.71
2013-10-24,41.83
2013-10-25,41.36
2013-10-26,40.419999999999995
2013-10-27,42.769999999999996
2013-10-28,45.589999999999996
2013-10-29,42.3
2013-10-30,39.949999999999996
2013-10-31,40.89
2013-11-01,37.800000000000004
2013-11-02,32.85
2013-11-03,30.6
2013-11-04,33.300000000000004
2013-11-05,36.9
2013-11-06,35.550000000000004
2013-11-07,38.7
2013-11-08,38.7
2013-11-09,35.1
2013-11-10,41.85
2013-11-11,38.25
2013-11-12,36.9
2013-11-13,38.7
2013-11-14,36.9
2013-11-15,36.45
2013-11-16,37.35
2013-11-17,33.75
2013-11-18,35.550000000000004
2013-11-19,38.25
2013-11-20,39.15
2013-11-21,43.2
2013-11-22,45.0
2013-11-23,43.2
2013-11-24,39.15
2013-11-25,40.95
2013-11-26,34.65
2013-11-27,37.800000000000004
2013-11-28,35.1
2013-11-29,38.7
2013-11-30,35.1
2013-12-01,35.0
2013-12-02,40.0
2013-12-03,36.5
2013-12-04,42.5
2013-12-05,38.5
2013-12-06,35.5
2013-12-07,45.5
2013-12-08,36.5
2013-12-09,40.5
2013-12-10,39.5
2013-12-11,41.5
2013-12-12,41.0
2013-12-13,45.0
2013-12-14,46.0
2013-12-15,42.0
2013-12-16,44.0
2013-12-17,40.5
2013-12-18,45.0
2013-12-19,47.0
2013-12-20,45.5
2013-12-21,40.0
2013-12-22,42.5
2013-12-23,50.0
2013-12-24,47.5
2013-12-25,48.5
2013-12-26,50.0
2013-12-27,45.5
2013-12-28,40.5
2013-12-29,47.5
2013-12-30,42.0
2013-12-31,46.0
2014-01-01,48.230000000000004
2014-01-02,53.0
2014-01-03,48.760000000000005
2014-01-04,45.580000000000005
2014-01-05,43.46
2014-01-06,47.17
2014-01-07,45.050000000000004
2014-01-08,45.050000000000004
2014-01-09,50.35
2014-01-10,45.050000000000004
2014-01-11,39.22
2014-01-12,42.93
2014-01-13,41.34
2014-01-14,46.11
2014-01-15,43.99
2014-01-16,36.57
2014-01-17,49.29
2014-01-18,43.99
2014-01-19,38.160000000000004
2014-01-20,38.690000000000005
2014-01-21,45.050000000000004
2014-01-22,47.17
2014-01-23,44.52
2014-01-24,49.82
2014-01-25,41.34
2014-01-26,40.28
