date,KO
2013-01-01,48.0
2013-01-02,45.12
2013-01-03,41.76
2013-01-04,44.16
2013-01-05,44.16
2013-01-06,44.16
2013-01-07,40.32
2013-01-08,44.16
2013-01-09,43.68
2013-01-10,44.16
2013-01-11,44.64
2013-01-12,45.12
2013-01-13,45.6
2013-01-14,41.28
2013-01-15,34.56
2013-01-16,39.84
2013-01-17,39.36
2013-01-18,39.36
2013-01-19,43.2
2013-01-20,43.2
2013-01-21,36.96
2013-01-22,38.88
2013-01-23,42.24
2013-01-24,39.84
2013-01-25,40.32
2013-01-26,40.32
2013-01-27,47.52
2013-01-28,40.32
2013-01-29,37.44
2013-01-30,38.4
2013-01-31,37.44
2013-02-01,41.0
2013-02-02,43.0
2013-02-03,50.0
2013-02-04,40.0
2013-02-05,42.0
2013-02-06,44.5
2013-02-07,46.0
2013-02-08,39.0
2013-02-09,44.5
2013-02-10,46.0
2013-02-11,35.0
2013-02-12,38.5
2013-02-13,39.0
2013-02-14,41.5
2013-02-15,42.0
2013-02-16,45.5
2013-02-17,50.0
2013-02-18,44.0
2013-02-19,43.0
2013-02-20,40.5
2013-02-21,38.5
2013-02-22,46.0
2013-02-23,40.5
2013-02-24,42.0
2013-02-25,38.5
2013-02-26,36.0
2013-02-27,40.5
2013-02-28,39.0
2013-03-01,35.7
2013-03-02,39.48
2013-03-03,35.7
2013-03-04,32.34
2013-03-05,35.28
2013-03-06,34.44
2013-03-07,35.7
2013-03-08,32.34
2013-03-09,42.0
2013-03-10,34.02
2013-03-11,27.3
2013-03-12,31.92
2013-03-13,32.34
2013-03-14,29.4
2013-03-15,29.4
2013-03-16,32.76
2013-03-17,37.38
2013-03-18,29.82
2013-03-19,31.08
2013-03-20,31.08
2013-03-21,26.04
2013-03-22,29.82
2013-03-23,28.56
2013-03-24,33.6
2013-03-25,29.4
2013-03-26,32.34
2013-03-27,28.56
2013-03-28,28.98
2013-03-29,30.66
2013-03-30,28.56
2013-03-31,32.34
2013-04-01,33.18
2013-04-02,32.34
2013-04-03,38.22
2013-04-04,37.8
2013-04-05,34.44
2013-04-06,36.12
2013-04-07,39.48
2013-04-08,34.02
2013-04-09,37.8
2013-04-10,37.38
2013-04-11,34.86
2013-04-12,35.7
2013-04-13,36.54
2013-04-14,37.38
2013-04-15,33.18
2013-04-16,39.48
2013-04-17,34.02
2013-04-18,34.86
2013-04-19,33.6
2013-04-20,36.96
2013-04-21,37.8
2013-04-22,38.22
2013-04-23,36.12
2013-04-24,35.7
2013-04-25,35.7
2013-04-26,34.02
2013-04-27,33.6
2013-04-28,42.0
2013-04-29,31.92
2013-04-30,33.6
2013-05-01,30.02
2013-05-02,30.02
2013-05-03,31.16
2013-05-04,30.4
2013-05-05,33.82
2013-05-06,29.64
2013-05-07,33.44
2013-05-08,31.54
2013-05-09,29.26
2013-05-10,28.88
2013-05-11,31.92
2013-05-12,32.68
2013-05-13,27.36
2013-05-14,28.88
2013-05-15,28.12
2013-05-16,29.26
2013-05-17,29.64
2013-05-18,30.78
2013-05-19,38.0
2013-05-20,30.4
2013-05-21,28.5
2013-05-22,33.06
2013-05-23,28.5
2013-05-24,29.26
2013-05-25,30.4
2013-05-26,34.58
2013-05-27,33.44
2013-05-28,29.64
2013-05-29,27.74
2013-05-30,32.3
2013-05-31,28.12
2013-06-01,30.03
2013-06-02,39.0
2013-06-03,29.25
2013-06-04,33.15
2013-06-05,31.59
2013-06-06,30.42
2013-06-07,31.200000000000003
2013-06-08,30.42
2013-06-09,37.05
2013-06-10,28.86
2013-06-11,33.93
2013-06-12,33.15
2013-06-13,31.59
2013-06-14,30.42
2013-06-15,30.03
2013-06-16,31.98
2013-06-17,32.76
2013-06-18,32.370000000000005
2013-06-19,26.91
2013-06-20,31.98
2013-06-21,31.200000000000003
2013-06-22,33.15
2013-06-23,31.98
2013-06-24,34.32
2013-06-25,30.42
2013-06-26,30.81
2013-06-27,30.03
2013-06-28,30.42
2013-06-29,35.49
2013-06-30,34.71
2013-07-01,13.05
2013-07-02,13.05
2013-07-03,11.25
2013-07-04,13.05
2013-07-05,13.5
