date,MMM
2013-01-01,32.0
2013-01-02,34.4
2013-01-03,32.800000000000004
2013-01-04,39.6
2013-01-05,36.4
2013-01-06,33.6
2013-01-07,22.0
2013-01-08,33.6
2013-01-09,30.8
2013-01-10,28.8
2013-01-11,34.0
2013-01-12,34.0
2013-01-13,29.6
2013-01-14,35.6
2013-01-15,34.0
2013-01-16,35.2
2013-01-17,32.0
2013-01-18,32.800000000000004
2013-01-19,37.6
2013-01-20,31.6
2013-01-21,38.0
2013-01-22,35.6
2013-01-23,30.8
2013-01-24,40.0
2013-01-25,32.0
2013-01-26,32.800000000000004
2013-01-27,30.400000000000002
2013-01-28,35.6
2013-01-29,38.800000000000004
2013-01-30,27.200000000000003
2013-01-31,33.6
2013-02-01,31.16
2013-02-02,32.68
2013-02-03,17.86
2013-02-04,28.88
2013-02-05,26.98
2013-02-06,33.44
2013-02-07,28.12
2013-02-08,34.58
2013-02-09,28.5
2013-02-10,33.44
2013-02-11,30.4
2013-02-12,28.5
2013-02-13,28.5
2013-02-14,22.04
2013-02-15,34.96
2013-02-16,27.36
2013-02-17,31.16
2013-02-18,26.22
2013-02-19,34.58
2013-02-20,31.54
2013-02-21,30.4
2013-02-22,29.64
2013-02-23,28.12
2013-02-24,23.56
2013-02-25,27.36
2013-02-26,32.68
2013-02-27,33.06
2013-02-28,38.0
2013-03-01,29.82
2013-03-02,32.76
2013-03-03,42.0
2013-03-04,25.2
2013-03-05,37.8
2013-03-06,37.8
2013-03-07,30.66
2013-03-08,33.18
2013-03-09,31.08
2013-03-10,27.3
2013-03-11,24.36
2013-03-12,30.24
2013-03-13,28.14
2013-03-14,32.339999999999996
2013-03-15,36.12
2013-03-16,31.08
2013-03-17,26.04
2013-03-18,31.919999999999998
2013-03-19,33.6
2013-03-20,23.939999999999998
2013-03-21,28.56
2013-03-22,29.4
2013-03-23,34.019999999999996
2013-03-24,27.72
2013-03-25,32.339999999999996
2013-03-26,26.04
2013-03-27,28.98
2013-03-28,32.339999999999996
2013-03-29,27.72
2013-03-30,28.56
2013-03-31,26.88
2013-04-01,25.16
2013-04-02,26.64
2013-04-03,37.0
2013-04-04,28.12
2013-04-05,24.419999999999998
2013-04-06,28.12
2013-04-07,34.04
2013-04-08,30.71
2013-04-09,32.56
2013-04-10,31.08
2013-04-11,28.49
2013-04-12,28.49
2013-04-13,27.75
2013-04-14,19.61
2013-04-15,25.9
2013-04-16,26.27
2013-04-17,28.86
2013-04-18,28.12
2013-04-19,29.23
2013-04-20,31.45
2013-04-21,34.41
2013-04-22,28.86
2013-04-23,34.04
2013-04-24,29.23
2013-04-25,36.63
2013-04-26,31.08
2013-04-27,26.64
2013-04-28,35.89
2013-04-29,31.08
2013-04-30,32.93
2013-05-01,25.16
2013-05-02,30.71
2013-05-03,34.41
2013-05-04,29.6
2013-05-05,32.93
2013-05-06,19.98
2013-05-07,30.71
2013-05-08,24.05
2013-05-09,33.3
2013-05-10,36.26
2013-05-11,30.71
2013-05-12,30.71
2013-05-13,27.38
2013-05-14,37.0
2013-05-15,31.45
2013-05-16,35.519999999999996
2013-05-17,29.23
2013-05-18,27.75
2013-05-19,24.05
2013-05-20,27.009999999999998
2013-05-21,26.64
2013-05-22,27.38
2013-05-23,26.27
2013-05-24,27.75
2013-05-25,29.23
2013-05-26,36.26
2013-05-27,30.71
2013-05-28,35.519999999999996
2013-05-29,27.38
2013-05-30,32.19
2013-05-31,31.45
2013-06-01,24.7
2013-06-02,19.76
2013-06-03,28.5
2013-06-04,28.5
2013-06-05,28.12
2013-06-06,25.080000000000002
2013-06-07,31.92
2013-06-08,35.34
2013-06-09,29.26
2013-06-10,26.22
2013-06-11,32.68
2013-06-12,22.8
2013-06-13,36.86
2013-06-14,28.88
2013-06-15,27.36
2013-06-16,34.2
2013-06-17,25.46
2013-06-18,29.64
2013-06-19,20.14
2013-06-20,38.0
2013-06-21,30.4
2013-06-22,24.32
2013-06-23,31.92
2013-06-24,28.88
2013-06-25,28.88
2013-06-26,37.62
2013-06-27,31.92
2013-06-28,22.42
2013-06-29,31.92
2013-06-30,25.080000000000002
2013-07-01,30.0
2013-07-02,25.6
2013-07-03,27.6
2013-07-04,33.2
2013-07-05,28.8
2013-07-06,25.6
2013-07-07,27.6
2013-07-08,25.6
2013-07-09,27.6
2013-07-10,32.4
2013-07-11,25.200000000000003
2013-07-12,33.6
2013-07-13,25.200000000000003
2013-07-14,21.6
2013-07-15,26.8
2013-07-16,32.4
2013-07-17,35.6
2013-07-18,31.6
2013-07-19,40.0
2013-07-20,34.0
2013-07-21,25.6
2013-07-22,30.400000000000002
2013-07-23,38.400000000000006
2013-07-24,26.8
2013-07-25,31.200000000000003
2013-07-26,30.8
2013-07-27,31.200000000000003
2013-07-28,28.0
2013-07-29,29.200000000000003
2013-07-30,29.200000000000003
2013-07-31,25.6
2013-08-01,41.0
2013-08-02,29.93
2013-08-03,30.34
2013-08-04,34.44
2013-08-05,24.599999999999998
2013-08-06,27.88
2013-08-07,30.34
2013-08-08,31.159999999999997
2013-08-09,36.489999999999995
2013-08-10,34.03
2013-08-11,20.09
2013-08-12,29.11
2013-08-13,30.749999999999996
2013-08-14,31.979999999999997
2013-08-15,30.749999999999996
2013-08-16,27.06
2013-08-17,20.91
2013-08-18,23.369999999999997
2013-08-19,32.39
2013-08-20,24.189999999999998
2013-08-21,29.93
2013-08-22,29.52
2013-08-23,33.21
2013-08-24,30.749999999999996
2013-08-25,23.779999999999998
2013-08-26,29.93
2013-08-27,32.39
2013-08-28,27.06
2013-08-29,26.65
2013-08-30,28.7
2013-08-31,31.569999999999997
2013-09-01,38.0
2013-09-02,27.36
2013-09-03,28.5
2013-09-04,25.84
2013-09-05,18.62
2013-09-06,32.3
2013-09-07,30.02
2013-09-08,23.56
2013-09-09,30.78
2013-09-10,30.78
2013-09-11,37.24
2013-09-12,25.46
2013-09-13,36.1
2013-09-14,27.740000000000002
2013-09-15,26.98
2013-09-16,26.98
2013-09-17,28.88
2013-09-18,35.72
2013-09-19,27.740000000000002
2013-09-20,37.24
2013-09-21,22.04
2013-09-22,22.8
2013-09-23,28.12
2013-09-24,28.12
2013-09-25,26.98
2013-09-26,32.68
2013-09-27,30.02
2013-09-28,21.66
2013-09-29,29.64
2013-09-30,27.36
2013-10-01,26.64
2013-10-02,25.9
2013-10-03,37.0
2013-10-04,26.27
2013-10-05,24.79
2013-10-06,25.9
2013-10-07,22.94
2013-10-08,28.86
2013-10-09,22.2
2013-10-10,28.49
2013-10-11,28.86
2013-10-12,22.94
2013-10-13,27.009999999999998
2013-10-14,26.27
2013-10-15,19.98
2013-10-16,25.9
2013-10-17,26.27
2013-10-18,30.71
2013-10-19,23.31
2013-10-20,31.82
2013-10-21,22.94
2013-10-22,29.23
2013-10-23,26.27
2013-10-24,31.08
2013-10-25,27.38
2013-10-26,25.16
2013-10-27,24.79
2013-10-28,29.97
2013-10-29,22.57
2013-10-30,23.68
2013-10-31,30.34
2013-11-01,27.0
2013-11-02,23.04
2013-11-03,19.8
2013-11-04,27.0
2013-11-05,32.4
2013-11-06,25.919999999999998
2013-11-07,27.36
2013-11-08,36.0
2013-11-09,32.04
2013-11-10,23.4
2013-11-11,20.52
2013-11-12,22.68
2013-11-13,28.08
2013-11-14,30.599999999999998
2013-11-15,31.68
2013-11-16,20.16
2013-11-17,23.04
2013-11-18,25.56
2013-11-19,24.119999999999997
2013-11-20,29.52
2013-11-21,31.32
2013-11-22,31.32
2013-11-23,20.16
2013-11-24,26.64
2013-11-25,28.08
2013-11-26,29.88
2013-11-27,28.08
2013-11-28,22.68
2013-11-29,23.759999999999998
2013-11-30,19.439999999999998
2013-12-01,29.6
2013-12-02,35.519999999999996
2013-12-03,37.0
2013-12-04,36.63
2013-12-05,30.34
2013-12-06,29.6
2013-12-07,22.94
2013-12-08,19.61
2013-12-09,28.12
2013-12-10,32.93
2013-12-11,33.67
2013-12-12,32.56
2013-12-13,32.19
2013-12-14,28.49
2013-12-15,22.57
2013-12-16,26.27
2013-12-17,35.89
2013-12-18,36.26
2013-12-19,29.6
2013-12-20,26.64
2013-12-21,27.38
2013-12-22,26.27
2013-12-23,34.41
2013-12-24,33.3
2013-12-25,25.16
2013-12-26,31.45
2013-12-27,31.82
2013-12-28,25.9
2013-12-29,27.38
2013-12-30,27.009999999999998
2013-12-31,29.6
2014-01-01,18.5
2014-01-02,16.0
2014-01-03,14.0
2014-01-04,15.5
2014-01-05,12.5
2014-01-06,16.0
2014-01-07,12.0
2014-01-08,18.5
2014-01-09,15.0
2014-01-10,16.0
2014-01-11,16.0
2014-01-12,15.5
2014-01-13,10.0
2014-01-14,17.5
2014-01-15,10.5
2014-01-16,16.0
2014-01-17,18.5
2014-01-18,16.5
2014-01-19,14.5
2014-01-20,17.0
2014-01-21,15.5
2014-01-22,23.0
2014-01-23,25.0
2014-01-24,30.0
2014-01-25,33.5
2014-01-26,50.0
2014-01-27,30.5
2014-01-28,25.0
2014-01-29,27.5
2014-01-30,28.0
2014-01-31,29.5
2014-02-01,55.00000000000001
2014-02-02,34.650000000000006
2014-02-03,36.300000000000004
2014-02-04,34.1
2014-02-05,36.300000000000004
2014-02-06,31.900000000000002
2014-02-07,40.150000000000006
2014-02-08,28.6
2014-02-09,30.250000000000004
2014-02-10,27.500000000000004
2014-02-11,29.700000000000003
2014-02-12,29.700000000000003
2014-02-13,33.0
2014-02-14,39.050000000000004
2014-02-15,31.35
2014-02-16,36.300000000000004
2014-02-17,34.650000000000006
2014-02-18,40.7
2014-02-19,35.2
2014-02-20,30.250000000000004
2014-02-21,35.2
2014-02-22,42.35
2014-02-23,34.650000000000006
2014-02-24,32.45
2014-02-25,28.6
2014-02-26,34.650000000000006
