date,MSFT
2013-01-01,2.6
2013-01-02,5.46
2013-01-03,5.33
2013-01-04,4.29
2013-01-05,2.21
2013-01-06,1.69
2013-01-07,3.12
2013-01-08,5.2
2013-01-09,4.03
2013-01-10,4.8100000000000005
2013-01-11,6.24
2013-01-12,2.34
2013-01-13,1.82
2013-01-14,4.94
2013-01-15,4.68
2013-01-16,3.25
2013-01-17,4.55
2013-01-18,4.16
2013-01-19,1.4300000000000002
2013-01-20,0.91
2013-01-21,2.6
2013-01-22,5.07
2013-01-23,4.68
2013-01-24,13.0
2013-01-25,11.31
2013-01-26,2.99
2013-01-27,1.69
2013-01-28,5.07
2013-01-29,4.29
2013-01-30,4.29
2013-01-31,4.29
2013-02-01,11.0
2013-02-02,3.63
2013-02-03,2.75
2013-02-04,9.68
2013-02-05,8.36
2013-02-06,7.04
2013-02-07,9.24
2013-02-08,6.71
2013-02-09,3.3
2013-02-10,1.1
2013-02-11,7.37
2013-02-12,7.48
2013-02-13,10.45
2013-02-14,6.16
2013-02-15,5.06
2013-02-16,3.19
2013-02-17,2.31
2013-02-18,3.3
2013-02-19,7.04
2013-02-20,6.38
2013-02-21,7.48
2013-02-22,5.39
2013-02-23,2.75
2013-02-24,3.08
2013-02-25,8.25
2013-02-26,6.49
2013-02-27,5.72
2013-02-28,6.6
2013-03-01,6.029999999999999
2013-03-02,2.7
2013-03-03,1.7999999999999998
2013-03-04,6.029999999999999
2013-03-05,9.0
2013-03-06,8.459999999999999
2013-03-07,6.66
2013-03-08,5.49
2013-03-09,3.15
2013-03-10,2.25
2013-03-11,6.029999999999999
2013-03-12,6.66
2013-03-13,5.31
2013-03-14,6.569999999999999
2013-03-15,3.51
2013-03-16,2.52
2013-03-17,1.17
2013-03-18,6.48
2013-03-19,5.04
2013-03-20,4.5
2013-03-21,5.13
2013-03-22,5.49
2013-03-23,2.25
2013-03-24,1.98
2013-03-25,5.94
2013-03-26,5.85
2013-03-27,4.68
2013-03-28,5.22
2013-03-29,3.15
2013-03-30,2.97
2013-03-31,2.34
2013-04-01,4.35
2013-04-02,6.6
2013-04-03,6.45
2013-04-04,4.5
2013-04-05,4.2
2013-04-06,2.1
2013-04-07,1.5
2013-04-08,4.05
2013-04-09,6.75
2013-04-10,10.95
2013-04-11,15.0
2013-04-12,8.7
2013-04-13,3.3
2013-04-14,1.65
2013-04-15,6.0
2013-04-16,6.3
2013-04-17,5.55
2013-04-18,11.7
2013-04-19,11.85
2013-04-20,3.6
2013-04-21,3.3
2013-04-22,11.1
2013-04-23,10.2
2013-04-24,9.3
2013-04-25,11.4
2013-04-26,8.7
2013-04-27,3.45
2013-04-28,1.65
2013-04-29,7.05
2013-04-30,8.549999999999999
2013-05-01,6.5600000000000005
2013-05-02,7.52
2013-05-03,7.84
2013-05-04,2.72
2013-05-05,1.44
2013-05-06,6.4
2013-05-07,5.92
2013-05-08,6.24
2013-05-09,6.72
2013-05-10,6.24
2013-05-11,1.28
2013-05-12,1.6
2013-05-13,5.44
2013-05-14,5.92
2013-05-15,6.08
2013-05-16,8.32
2013-05-17,12.0
2013-05-18,3.52
2013-05-19,2.72
2013-05-20,8.96
2013-05-21,16.0
2013-05-22,11.2
2013-05-23,7.52
2013-05-24,6.72
2013-05-25,2.72
2013-05-26,1.28
2013-05-27,1.76
2013-05-28,6.08
2013-05-29,5.44
2013-05-30,5.92
2013-05-31,5.76
2013-06-01,2.47
2013-06-02,2.8600000000000003
2013-06-03,8.32
2013-06-04,8.97
2013-06-05,9.1
2013-06-06,10.14
2013-06-07,8.450000000000001
2013-06-08,4.16
2013-06-09,3.25
2013-06-10,8.19
2013-06-11,13.0
2013-06-12,9.1
2013-06-13,9.62
2013-06-14,7.800000000000001
2013-06-15,4.55
2013-06-16,2.73
