date,PG
2013-01-01,31.0
2013-01-02,40.0
2013-01-03,36.0
2013-01-04,37.5
2013-01-05,29.5
2013-01-06,30.0
2013-01-07,38.0
2013-01-08,35.5
2013-01-09,38.0
2013-01-10,30.0
2013-01-11,32.5
2013-01-12,33.0
2013-01-13,31.5
2013-01-14,33.0
2013-01-15,39.5
2013-01-16,32.5
2013-01-17,35.0
2013-01-18,35.0
2013-01-19,30.0
2013-01-20,27.5
2013-01-21,26.5
2013-01-22,36.5
2013-01-23,35.0
2013-01-24,41.5
2013-01-25,50.0
2013-01-26,35.0
2013-01-27,36.0
2013-01-28,46.5
2013-01-29,41.0
2013-01-30,41.0
2013-01-31,34.5
2013-02-01,47.040000000000006
2013-02-02,42.56
2013-02-03,44.24
2013-02-04,45.36000000000001
2013-02-05,52.080000000000005
2013-02-06,47.6
2013-02-07,47.040000000000006
2013-02-08,47.6
2013-02-09,44.8
2013-02-10,42.00000000000001
2013-02-11,52.080000000000005
2013-02-12,52.080000000000005
2013-02-13,45.36000000000001
2013-02-14,46.48
2013-02-15,51.52
2013-02-16,45.36000000000001
2013-02-17,44.24
2013-02-18,45.36000000000001
2013-02-19,52.64000000000001
2013-02-20,56.00000000000001
2013-02-21,48.720000000000006
2013-02-22,47.6
2013-02-23,42.00000000000001
2013-02-24,45.92
2013-02-25,45.36000000000001
2013-02-26,52.080000000000005
2013-02-27,50.96000000000001
2013-02-28,51.52
2013-03-01,42.66
2013-03-02,37.260000000000005
2013-03-03,33.480000000000004
2013-03-04,37.8
2013-03-05,38.88
2013-03-06,46.440000000000005
2013-03-07,43.2
2013-03-08,41.040000000000006
2013-03-09,35.64
2013-03-10,31.860000000000003
2013-03-11,37.260000000000005
2013-03-12,38.88
2013-03-13,38.34
2013-03-14,37.260000000000005
2013-03-15,38.34
2013-03-16,33.480000000000004
2013-03-17,31.860000000000003
2013-03-18,41.040000000000006
2013-03-19,41.040000000000006
2013-03-20,39.96
2013-03-21,45.36
2013-03-22,40.5
2013-03-23,32.400000000000006
2013-03-24,37.8
2013-03-25,54.0
2013-03-26,40.5
2013-03-27,42.120000000000005
2013-03-28,39.42
2013-03-29,37.8
2013-03-30,35.64
2013-03-31,32.940000000000005
2013-04-01,43.46
2013-04-02,40.28
2013-04-03,46.11
2013-04-04,43.99
2013-04-05,42.93
2013-04-06,36.57
2013-04-07,39.22
2013-04-08,43.46
2013-04-09,42.400000000000006
2013-04-10,45.580000000000005
2013-04-11,47.7
