date,VZ
2013-01-01,26.84
2013-01-02,27.72
2013-01-03,29.04
2013-01-04,31.24
2013-01-05,18.48
2013-01-06,31.24
2013-01-07,26.84
2013-01-08,29.48
2013-01-09,37.84
2013-01-10,29.04
2013-01-11,22.88
2013-01-12,24.2
2013-01-13,18.48
2013-01-14,25.52
2013-01-15,27.72
2013-01-16,27.28
2013-01-17,32.12
2013-01-18,35.64
2013-01-19,20.24
2013-01-20,20.68
2013-01-21,29.04
2013-01-22,44.0
2013-01-23,29.92
2013-01-24,32.56
2013-01-25,36.96
2013-01-26,28.6
2013-01-27,24.64
2013-01-28,26.84
2013-01-29,40.92
2013-01-30,27.28
2013-01-31,35.64
2013-02-01,35.26
2013-02-02,22.549999999999997
2013-02-03,29.11
2013-02-04,30.749999999999996
2013-02-05,37.72
2013-02-06,34.03
2013-02-07,34.03
2013-02-08,28.29
2013-02-09,27.88
2013-02-10,34.85
2013-02-11,24.599999999999998
2013-02-12,29.11
2013-02-13,41.0
2013-02-14,37.72
2013-02-15,28.29
2013-02-16,20.91
2013-02-17,23.779999999999998
2013-02-18,26.24
2013-02-19,31.979999999999997
2013-02-20,23.779999999999998
2013-02-21,27.88
2013-02-22,36.489999999999995
2013-02-23,14.35
2013-02-24,18.86
2013-02-25,26.65
2013-02-26,38.54
2013-02-27,33.21
2013-02-28,39.36
2013-03-01,31.82
2013-03-02,27.95
2013-03-03,27.52
2013-03-04,38.269999999999996
2013-03-05,41.71
2013-03-06,33.54
2013-03-07,27.52
2013-03-08,33.97
2013-03-09,35.26
2013-03-10,25.37
2013-03-11,35.26
2013-03-12,43.0
2013-03-13,25.8
2013-03-14,41.28
2013-03-15,34.4
2013-03-16,29.24
2013-03-17,26.66
2013-03-18,31.39
2013-03-19,27.09
2013-03-20,35.26
2013-03-21,34.4
2013-03-22,33.97
2013-03-23,24.94
2013-03-24,27.09
2013-03-25,35.26
2013-03-26,33.54
2013-03-27,24.94
2013-03-28,39.56
2013-03-29,21.5
2013-03-30,23.65
2013-03-31,24.94
2013-04-01,29.7
2013-04-02,31.95
2013-04-03,30.150000000000002
2013-04-04,25.650000000000002
2013-04-05,31.5
2013-04-06,27.45
2013-04-07,26.1
2013-04-08,31.5
2013-04-09,22.5
2013-04-10,34.2
2013-04-11,34.2
2013-04-12,31.05
2013-04-13,24.75
2013-04-14,22.05
2013-04-15,27.45
2013-04-16,35.1
2013-04-17,31.5
2013-04-18,37.800000000000004
2013-04-19,39.6
2013-04-20,17.55
2013-04-21,22.95
2013-04-22,23.400000000000002
2013-04-23,36.45
2013-04-24,37.35
2013-04-25,42.300000000000004
2013-04-26,43.2
2013-04-27,23.400000000000002
2013-04-28,30.6
2013-04-29,31.5
2013-04-30,45.0
2013-05-01,36.12
2013-05-02,31.39
2013-05-03,43.0
2013-05-04,27.95
2013-05-05,21.07
2013-05-06,33.54
2013-05-07,29.24
2013-05-08,25.37
2013-05-09,30.53
2013-05-10,33.11
2013-05-11,18.06
2013-05-12,16.34
2013-05-13,24.94
2013-05-14,31.82
2013-05-15,36.98
2013-05-16,31.39
2013-05-17,32.25
2013-05-18,21.5
2013-05-19,18.49
2013-05-20,21.5
2013-05-21,29.669999999999998
2013-05-22,28.38
2013-05-23,23.65
2013-05-24,34.83
2013-05-25,22.36
2013-05-26,21.07
2013-05-27,26.23
2013-05-28,39.13
2013-05-29,24.509999999999998
2013-05-30,36.12
2013-05-31,30.099999999999998
2013-06-01,20.24
2013-06-02,27.72
2013-06-03,31.68
2013-06-04,30.36
2013-06-05,34.76
2013-06-06,40.92
2013-06-07,39.160000000000004
2013-06-08,26.84
2013-06-09,27.72
2013-06-10,36.08
2013-06-11,29.04
2013-06-12,31.68
2013-06-13,35.2
2013-06-14,27.28
2013-06-15,30.8
2013-06-16,19.8
2013-06-17,26.4
2013-06-18,31.68
2013-06-19,43.12
2013-06-20,35.64
2013-06-21,25.96
2013-06-22,20.24
2013-06-23,20.24
2013-06-24,30.8
2013-06-25,44.0
2013-06-26,29.92
2013-06-27,27.72
2013-06-28,31.68
2013-06-29,20.68
2013-06-30,24.64
2013-07-01,24.36
2013-07-02,29.82
2013-07-03,22.259999999999998
2013-07-04,18.48
2013-07-05,20.58
2013-07-06,28.56
2013-07-07,19.32
2013-07-08,21.0
2013-07-09,23.52
2013-07-10,28.14
2013-07-11,27.3
2013-07-12,24.779999999999998
2013-07-13,12.6
2013-07-14,18.9
2013-07-15,27.72
2013-07-16,42.0
2013-07-17,29.4
2013-07-18,37.8
2013-07-19,28.98
2013-07-20,20.58
2013-07-21,21.419999999999998
2013-07-22,25.2
2013-07-23,28.56
2013-07-24,20.58
2013-07-25,33.18
2013-07-26,28.14
2013-07-27,23.52
2013-07-28,19.74
2013-07-29,22.68
2013-07-30,22.68
2013-07-31,26.459999999999997
2013-08-01,33.88
2013-08-02,28.16
2013-08-03,24.64
2013-08-04,23.32
2013-08-05,25.52
2013-08-06,24.64
2013-08-07,28.16
2013-08-08,27.72
2013-08-09,31.24
2013-08-10,27.72
2013-08-11,17.6
2013-08-12,29.04
2013-08-13,29.92
2013-08-14,35.2
2013-08-15,33.88
2013-08-16,25.96
2013-08-17,26.4
2013-08-18,18.04
2013-08-19,28.16
2013-08-20,33.44
2013-08-21,33.88
2013-08-22,31.24
2013-08-23,28.16
2013-08-24,22.88
2013-08-25,36.08
2013-08-26,23.32
2013-08-27,34.76
2013-08-28,23.76
2013-08-29,44.0
2013-08-30,38.28
2013-08-31,31.24
2013-09-01,24.36
2013-09-02,25.2
2013-09-03,42.0
2013-09-04,34.86
2013-09-05,28.56
2013-09-06,22.259999999999998
2013-09-07,15.12
2013-09-08,21.0
2013-09-09,21.84
2013-09-10,29.4
2013-09-11,36.12
2013-09-12,26.04
2013-09-13,28.14
2013-09-14,16.38
2013-09-15,15.959999999999999
2013-09-16,18.9
2013-09-17,21.84
2013-09-18,24.779999999999998
2013-09-19,27.3
2013-09-20,18.06
2013-09-21,19.32
2013-09-22,19.32
2013-09-23,30.24
2013-09-24,23.939999999999998
2013-09-25,25.619999999999997
2013-09-26,26.459999999999997
2013-09-27,25.2
2013-09-28,12.18
2013-09-29,18.9
2013-09-30,23.52
2013-10-01,26.88
2013-10-02,17.64
2013-10-03,30.66
2013-10-04,23.939999999999998
2013-10-05,18.9
2013-10-06,16.8
2013-10-07,23.099999999999998
2013-10-08,26.04
2013-10-09,23.52
2013-10-10,31.5
2013-10-11,36.96
2013-10-12,19.74
2013-10-13,19.74
2013-10-14,23.52
2013-10-15,20.16
2013-10-16,33.6
2013-10-17,42.0
2013-10-18,36.96
2013-10-19,25.619999999999997
