date,Visa
2013-01-01,45.99
2013-01-02,62.37
2013-01-03,61.11
2013-01-04,63.0
2013-01-05,53.55
2013-01-06,47.25
2013-01-07,60.48
2013-01-08,61.74
2013-01-09,59.85
2013-01-10,58.59
2013-01-11,54.18
2013-01-12,49.14
2013-01-13,46.62
2013-01-14,53.55
2013-01-15,55.44
2013-01-16,50.4
2013-01-17,55.44
2013-01-18,53.55
2013-01-19,47.88
2013-01-20,42.21
2013-01-21,51.03
2013-01-22,51.66
2013-01-23,54.18
2013-01-24,51.03
2013-01-25,54.18
2013-01-26,44.73
2013-01-27,46.62
2013-01-28,59.22
2013-01-29,54.81
2013-01-30,53.55
2013-01-31,52.92
2013-02-01,50.73
2013-02-02,47.31
2013-02-03,41.04
2013-02-04,52.44
2013-02-05,56.99999999999999
2013-02-06,55.85999999999999
2013-02-07,55.28999999999999
2013-02-08,50.73
2013-02-09,49.02
2013-02-10,46.74
2013-02-11,56.99999999999999
2013-02-12,55.28999999999999
2013-02-13,50.16
2013-02-14,49.02
2013-02-15,50.16
2013-02-16,45.03
2013-02-17,44.46
2013-02-18,49.02
2013-02-19,50.16
2013-02-20,53.58
2013-02-21,51.3
2013-02-22,47.88
2013-02-23,43.31999999999999
2013-02-24,45.03
2013-02-25,49.59
2013-02-26,50.16
2013-02-27,51.3
2013-02-28,48.45
2013-03-01,46.98
2013-03-02,43.74
2013-03-03,40.5
2013-03-04,49.14
2013-03-05,45.900000000000006
2013-03-06,49.14
2013-03-07,45.900000000000006
2013-03-08,51.84
2013-03-09,43.74
2013-03-10,39.42
2013-03-11,54.0
2013-03-12,51.3
2013-03-13,47.52
2013-03-14,46.440000000000005
2013-03-15,46.440000000000005
2013-03-16,41.580000000000005
2013-03-17,38.88
2013-03-18,48.6
2013-03-19,52.38
2013-03-20,48.06
2013-03-21,49.68000000000001
2013-03-22,41.580000000000005
2013-03-23,42.120000000000005
2013-03-24,41.580000000000005
2013-03-25,47.52
2013-03-26,46.98
2013-03-27,48.06
2013-03-28,43.74
2013-03-29,43.74
2013-03-30,37.260000000000005
2013-03-31,41.580000000000005
2013-04-01,52.78
2013-04-02,54.52
2013-04-03,52.78
2013-04-04,48.13999999999999
2013-04-05,48.72
2013-04-06,42.34
2013-04-07,42.92
2013-04-08,54.52
2013-04-09,56.84
2013-04-10,57.99999999999999
2013-04-11,53.94
2013-04-12,45.82
2013-04-13,40.02
2013-04-14,36.54
2013-04-15,46.4
2013-04-16,46.4
2013-04-17,47.56
2013-04-18,46.4
2013-04-19,42.92
2013-04-20,37.12
2013-04-21,40.02
2013-04-22,45.82
2013-04-23,46.98
2013-04-24,46.4
2013-04-25,48.72
2013-04-26,45.24
2013-04-27,40.02
2013-04-28,36.54
2013-04-29,44.66
2013-04-30,45.82
2013-05-01,49.88
2013-05-02,51.62
2013-05-03,50.46
2013-05-04,41.18
2013-05-05,41.18
2013-05-06,53.36
2013-05-07,54.52
2013-05-08,51.62
2013-05-09,50.46
2013-05-10,57.99999999999999
2013-05-11,42.92
2013-05-12,42.34
2013-05-13,50.46
2013-05-14,52.78
2013-05-15,52.2
2013-05-16,45.24
2013-05-17,46.98
2013-05-18,38.86
2013-05-19,41.18
2013-05-20,51.04
2013-05-21,48.72
2013-05-22,47.56
2013-05-23,49.3
2013-05-24,45.82
2013-05-25,39.44
2013-05-26,36.54
2013-05-27,42.92
2013-05-28,55.67999999999999
2013-05-29,51.62
2013-05-30,49.3
2013-05-31,48.72
2013-06-01,46.5
2013-06-02,49.6
2013-06-03,60.14
2013-06-04,62.0
2013-06-05,60.14
2013-06-06,58.28
2013-06-07,58.9
2013-06-08,52.08
2013-06-09,48.98
2013-06-10,58.28
2013-06-11,60.14
2013-06-12,53.94
2013-06-13,58.28
2013-06-14,52.08
2013-06-15,47.12
2013-06-16,46.5
2013-06-17,61.38
2013-06-18,58.28
2013-06-19,55.18
2013-06-20,58.9
2013-06-21,54.56
2013-06-22,46.5
2013-06-23,43.4
2013-06-24,57.04
2013-06-25,58.9
2013-06-26,57.04
2013-06-27,56.42
2013-06-28,58.9
2013-06-29,47.74
2013-06-30,47.12
2013-07-01,53.07
2013-07-02,50.02
2013-07-03,48.19
2013-07-04,37.82
2013-07-05,46.36
2013-07-06,42.09
2013-07-07,39.65
2013-07-08,54.9
2013-07-09,61.0
2013-07-10,61.0
2013-07-11,49.41
2013-07-12,46.36
2013-07-13,40.26
2013-07-14,37.21
2013-07-15,49.41
2013-07-16,49.41
2013-07-17,51.85
2013-07-18,46.36
2013-07-19,45.14
2013-07-20,42.09
2013-07-21,39.65
2013-07-22,48.8
2013-07-23,48.8
2013-07-24,48.19
2013-07-25,45.75
2013-07-26,44.53
2013-07-27,40.87
2013-07-28,40.87
2013-07-29,49.41
2013-07-30,46.36
2013-07-31,51.85
2013-08-01,43.55
2013-08-02,41.6
2013-08-03,39.0
2013-08-04,37.7
2013-08-05,46.15
2013-08-06,50.05
2013-08-07,46.8
2013-08-08,44.2
2013-08-09,50.7
2013-08-10,40.3
2013-08-11,39.0
2013-08-12,65.0
2013-08-13,56.55
2013-08-14,48.75
2013-08-15,46.15
2013-08-16,40.3
2013-08-17,35.75
2013-08-18,37.7
2013-08-19,46.8
2013-08-20,45.5
2013-08-21,43.55
2013-08-22,40.95
2013-08-23,41.6
2013-08-24,34.45
2013-08-25,35.1
2013-08-26,40.95
2013-08-27,43.55
2013-08-28,39.0
2013-08-29,41.6
2013-08-30,39.65
2013-08-31,32.5
2013-09-01,37.95
2013-09-02,40.150000000000006
2013-09-03,55.00000000000001
2013-09-04,49.50000000000001
2013-09-05,52.25000000000001
2013-09-06,50.6
2013-09-07,42.900000000000006
2013-09-08,39.6
2013-09-09,55.00000000000001
2013-09-10,53.900000000000006
2013-09-11,50.05
2013-09-12,45.650000000000006
2013-09-13,46.75000000000001
2013-09-14,39.05
2013-09-15,35.2
2013-09-16,48.400000000000006
2013-09-17,45.1
2013-09-18,46.75000000000001
2013-09-19,46.75000000000001
2013-09-20,46.75000000000001
2013-09-21,38.5
2013-09-22,34.1
2013-09-23,48.400000000000006
2013-09-24,47.85
2013-09-25,45.1
2013-09-26,46.2
2013-09-27,46.75000000000001
2013-09-28,39.6
2013-09-29,38.5
2013-09-30,49.50000000000001
2013-10-01,57.82
2013-10-02,51.92
2013-10-03,53.69
2013-10-04,51.92
2013-10-05,42.48
2013-10-06,40.12
2013-10-07,54.87
2013-10-08,57.82
2013-10-09,56.05
2013-10-10,57.82
2013-10-11,51.33
2013-10-12,41.3
2013-10-13,41.89
2013-10-14,46.61
2013-10-15,50.15
2013-10-16,48.97
2013-10-17,50.74
2013-10-18,48.38
2013-10-19,41.3
2013-10-20,40.71
2013-10-21,48.97
2013-10-22,51.33
2013-10-23,50.15
2013-10-24,48.38
2013-10-25,49.56
2013-10-26,44.84
2013-10-27,41.3
2013-10-28,55.46
2013-10-29,49.56
2013-10-30,59.0
2013-10-31,51.33
2013-11-01,46.17
2013-11-02,46.74
2013-11-03,40.47
2013-11-04,55.28999999999999
2013-11-05,56.99999999999999
2013-11-06,53.58
2013-11-07,53.01
2013-11-08,53.58
2013-11-09,46.17
2013-11-10,40.47
2013-11-11,49.59
2013-11-12,55.28999999999999
2013-11-13,55.28999999999999
2013-11-14,51.3
2013-11-15,51.3
2013-11-16,45.03
2013-11-17,41.04
2013-11-18,51.3
2013-11-19,53.58
2013-11-20,50.16
2013-11-21,51.87
2013-11-22,47.88
2013-11-23,40.47
2013-11-24,43.88999999999999
2013-11-25,46.17
2013-11-26,50.16
2013-11-27,47.88
2013-11-28,37.62
2013-11-29,46.17
2013-11-30,46.74
2013-12-01,42.21
2013-12-02,52.93
2013-12-03,52.93
2013-12-04,52.93
2013-12-05,48.91
2013-12-06,48.91
2013-12-07,45.56
2013-12-08,40.2
2013-12-09,52.93
2013-12-10,58.96
2013-12-11,55.61000000000001
2013-12-12,54.27
2013-12-13,52.93
2013-12-14,44.220000000000006
2013-12-15,45.56
2013-12-16,58.290000000000006
2013-12-17,54.940000000000005
2013-12-18,54.27
2013-12-19,63.650000000000006
2013-12-20,62.31
2013-12-21,52.260000000000005
2013-12-22,47.57
2013-12-23,58.96
2013-12-24,49.580000000000005
2013-12-25,54.940000000000005
2013-12-26,67.0
2013-12-27,58.96
2013-12-28,54.940000000000005
2013-12-29,50.25
2013-12-30,55.61000000000001
2013-12-31,53.6
2014-01-01,46.8
2014-01-02,65.0
2014-01-03,57.85
2014-01-04,50.7
2014-01-05,44.2
2014-01-06,58.5
2014-01-07,59.15
2014-01-08,60.45
2014-01-09,60.45
2014-01-10,50.05
2014-01-11,51.35
2014-01-12,48.1
2014-01-13,55.25
2014-01-14,59.15
2014-01-15,58.5
2014-01-16,53.3
2014-01-17,57.2
2014-01-18,48.1
2014-01-19,43.55
2014-01-20,50.05
2014-01-21,53.3
2014-01-22,54.6
2014-01-23,52.65
2014-01-24,49.4
2014-01-25,46.8
2014-01-26,45.5
2014-01-27,51.35
2014-01-28,53.3
2014-01-29,52.0
2014-01-30,50.7
2014-01-31,53.3
2014-02-01,50.56
2014-02-02,47.36
2014-02-03,53.120000000000005
2014-02-04,63.36
2014-02-05,57.6
2014-02-06,61.44
2014-02-07,60.16
2014-02-08,56.32
2014-02-09,51.84
2014-02-10,57.6
2014-02-11,60.16
2014-02-12,58.88
2014-02-13,51.2
2014-02-14,52.48
2014-02-15,48.0
2014-02-16,48.0
2014-02-17,56.96
2014-02-18,61.44
2014-02-19,64.0
2014-02-20,56.96
2014-02-21,56.96
2014-02-22,48.64
2014-02-23,46.08
2014-02-24,59.52
2014-02-25,56.96
2014-02-26,57.6
2014-02-27,60.16
2014-02-28,58.24
2014-03-01,51.46
2014-03-02,46.5
2014-03-03,56.42
2014-03-04,61.38
2014-03-05,58.9
2014-03-06,57.04
2014-03-07,59.52
2014-03-08,50.84
2014-03-09,47.74
2014-03-10,62.0
2014-03-11,61.38
2014-03-12,57.04
2014-03-13,57.66
2014-03-14,55.8
2014-03-15,46.5
2014-03-16,47.74
2014-03-17,54.56
2014-03-18,57.04
2014-03-19,53.94
2014-03-20,56.42
2014-03-21,55.8
2014-03-22,48.36
2014-03-23,47.12
2014-03-24,55.8
2014-03-25,57.66
2014-03-26,58.28
2014-03-27,52.7
2014-03-28,55.18
2014-03-29,49.6
2014-03-30,44.64
2014-03-31,55.18
2014-04-01,50.7
2014-04-02,50.05
2014-04-03,49.4
2014-04-04,47.45
2014-04-05,38.35
2014-04-06,40.3
2014-04-07,50.7
2014-04-08,59.8
2014-04-09,53.3
2014-04-10,56.55
2014-04-11,48.1
2014-04-12,40.3
2014-04-13,39.65
2014-04-14,48.75
2014-04-15,49.4
2014-04-16,48.75
2014-04-17,43.55
2014-04-18,42.9
2014-04-19,39.0
2014-04-20,37.7
