date,CRM_unscaled,CRM_monthly,scale,CRM
2013-01-01,30,51.0,0.51,15.3
2013-01-02,68,51.0,0.51,34.68
2013-01-03,82,51.0,0.51,41.82
2013-01-04,80,51.0,0.51,40.8
2013-01-05,33,51.0,0.51,16.830000000000002
2013-01-06,30,51.0,0.51,15.3
2013-01-07,91,51.0,0.51,46.410000000000004
2013-01-08,80,51.0,0.51,40.8
2013-01-09,87,51.0,0.51,44.37
2013-01-10,84,51.0,0.51,42.84
2013-01-11,80,51.0,0.51,40.8
2013-01-12,34,51.0,0.51,17.34
2013-01-13,38,51.0,0.51,19.38
2013-01-14,84,51.0,0.51,42.84
2013-01-15,96,51.0,0.51,48.96
2013-01-16,84,51.0,0.51,42.84
2013-01-17,97,51.0,0.51,49.47
2013-01-18,83,51.0,0.51,42.33
2013-01-19,32,51.0,0.51,16.32
2013-01-20,33,51.0,0.51,16.830000000000002
2013-01-21,69,51.0,0.51,35.19
2013-01-22,100,51.0,0.51,51.0
2013-01-23,92,51.0,0.51,46.92
2013-01-24,91,51.0,0.51,46.410000000000004
2013-01-25,89,51.0,0.51,45.39
2013-01-26,40,51.0,0.51,20.4
2013-01-27,31,51.0,0.51,15.81
2013-01-28,94,51.0,0.51,47.94
2013-01-29,86,51.0,0.51,43.86
2013-01-30,99,51.0,0.51,50.49
2013-01-31,95,51.0,0.51,48.45
2013-02-01,79,56.0,0.56,44.24
2013-02-02,45,56.0,0.56,25.200000000000003
2013-02-03,32,56.0,0.56,17.92
2013-02-04,84,56.0,0.56,47.040000000000006
2013-02-05,85,56.0,0.56,47.6
2013-02-06,90,56.0,0.56,50.400000000000006
2013-02-07,93,56.0,0.56,52.080000000000005
2013-02-08,86,56.0,0.56,48.160000000000004
2013-02-09,35,56.0,0.56,19.6
2013-02-10,32,56.0,0.56,17.92
2013-02-11,93,56.0,0.56,52.080000000000005
2013-02-12,89,56.0,0.56,49.84
2013-02-13,99,56.0,0.56,55.440000000000005
2013-02-14,100,56.0,0.56,56.00000000000001
2013-02-15,85,56.0,0.56,47.6
2013-02-16,39,56.0,0.56,21.840000000000003
2013-02-17,38,56.0,0.56,21.28
2013-02-18,70,56.0,0.56,39.2
2013-02-19,100,56.0,0.56,56.00000000000001
2013-02-20,99,56.0,0.56,55.440000000000005
2013-02-21,96,56.0,0.56,53.760000000000005
2013-02-22,86,56.0,0.56,48.160000000000004
2013-02-23,36,56.0,0.56,20.160000000000004
2013-02-24,27,56.0,0.56,15.120000000000001
2013-02-25,88,56.0,0.56,49.28
2013-02-26,95,56.0,0.56,53.2
2013-02-27,98,56.0,0.56,54.88
2013-02-28,99,56.0,0.56,55.440000000000005
2013-03-01,83,56.0,0.56,46.480000000000004
2013-03-02,37,56.0,0.56,20.720000000000002
2013-03-03,30,56.0,0.56,16.8
2013-03-04,85,56.0,0.56,47.6
2013-03-05,96,56.0,0.56,53.760000000000005
2013-03-06,81,56.0,0.56,45.36000000000001
2013-03-07,85,56.0,0.56,47.6
2013-03-08,87,56.0,0.56,48.720000000000006
2013-03-09,35,56.0,0.56,19.6
2013-03-10,24,56.0,0.56,13.440000000000001
2013-03-11,79,56.0,0.56,44.24
2013-03-12,93,56.0,0.56,52.080000000000005
2013-03-13,98,56.0,0.56,54.88
2013-03-14,79,56.0,0.56,44.24
2013-03-15,74,56.0,0.56,41.440000000000005
2013-03-16,31,56.0,0.56,17.360000000000003
2013-03-17,25,56.0,0.56,14.000000000000002
2013-03-18,85,56.0,0.56,47.6
2013-03-19,100,56.0,0.56,56.00000000000001
2013-03-20,88,56.0,0.56,49.28
2013-03-21,84,56.0,0.56,47.040000000000006
2013-03-22,80,56.0,0.56,44.800000000000004
2013-03-23,36,56.0,0.56,20.160000000000004
2013-03-24,29,56.0,0.56,16.240000000000002
2013-03-25,81,56.0,0.56,45.36000000000001
2013-03-26,95,56.0,0.56,53.2
2013-03-27,87,56.0,0.56,48.720000000000006
2013-03-28,81,56.0,0.56,45.36000000000001
2013-03-29,71,56.0,0.56,39.760000000000005
2013-03-30,34,56.0,0.56,19.040000000000003
2013-03-31,25,56.0,0.56,14.000000000000002
2013-04-01,79,56.0,0.56,44.24
2013-04-02,88,56.0,0.56,49.28
2013-04-03,79,56.0,0.56,44.24
2013-04-04,91,56.0,0.56,50.96000000000001
2013-04-05,69,56.0,0.56,38.64
2013-04-06,35,56.0,0.56,19.6
2013-04-07,32,56.0,0.56,17.92
2013-04-08,84,56.0,0.56,47.040000000000006
2013-04-09,85,56.0,0.56,47.6
2013-04-10,86,56.0,0.56,48.160000000000004
2013-04-11,88,56.0,0.56,49.28
2013-04-12,82,56.0,0.56,45.92
2013-04-13,28,56.0,0.56,15.680000000000001
2013-04-14,28,56.0,0.56,15.680000000000001
2013-04-15,73,56.0,0.56,40.88
2013-04-16,87,56.0,0.56,48.720000000000006
2013-04-17,83,56.0,0.56,46.480000000000004
2013-04-18,77,56.0,0.56,43.120000000000005
2013-04-19,78,56.0,0.56,43.68000000000001
2013-04-20,28,56.0,0.56,15.680000000000001
2013-04-21,29,56.0,0.56,16.240000000000002
