date,JNJ_unscaled,JNJ_monthly,scale,JNJ
2013-01-01,41,19.0,0.19,7.79
2013-01-02,82,19.0,0.19,15.58
2013-01-03,57,19.0,0.19,10.83
2013-01-04,97,19.0,0.19,18.43
2013-01-05,22,19.0,0.19,4.18
2013-01-06,29,19.0,0.19,5.51
2013-01-07,71,19.0,0.19,13.49
2013-01-08,66,19.0,0.19,12.540000000000001
2013-01-09,59,19.0,0.19,11.21
2013-01-10,78,19.0,0.19,14.82
2013-01-11,62,19.0,0.19,11.78
2013-01-12,51,19.0,0.19,9.69
2013-01-13,33,19.0,0.19,6.2700000000000005
2013-01-14,73,19.0,0.19,13.870000000000001
2013-01-15,74,19.0,0.19,14.06
2013-01-16,90,19.0,0.19,17.1
2013-01-17,70,19.0,0.19,13.3
2013-01-18,78,19.0,0.19,14.82
2013-01-19,48,19.0,0.19,9.120000000000001
2013-01-20,46,19.0,0.19,8.74
2013-01-21,65,19.0,0.19,12.35
2013-01-22,100,19.0,0.19,19.0
2013-01-23,83,19.0,0.19,15.77
2013-01-24,74,19.0,0.19,14.06
2013-01-25,91,19.0,0.19,17.29
2013-01-26,69,19.0,0.19,13.11
2013-01-27,29,19.0,0.19,5.51
2013-01-28,85,19.0,0.19,16.15
2013-01-29,84,19.0,0.19,15.96
2013-01-30,77,19.0,0.19,14.63
2013-01-31,71,19.0,0.19,13.49
2013-02-01,48,19.0,0.19,9.120000000000001
2013-02-02,58,19.0,0.19,11.02
2013-02-03,27,19.0,0.19,5.13
2013-02-04,67,19.0,0.19,12.73
2013-02-05,64,19.0,0.19,12.16
2013-02-06,79,19.0,0.19,15.01
2013-02-07,50,19.0,0.19,9.5
2013-02-08,43,19.0,0.19,8.17
2013-02-09,32,19.0,0.19,6.08
2013-02-10,19,19.0,0.19,3.61
2013-02-11,67,19.0,0.19,12.73
2013-02-12,64,19.0,0.19,12.16
2013-02-13,49,19.0,0.19,9.31
2013-02-14,62,19.0,0.19,11.78
2013-02-15,62,19.0,0.19,11.78
2013-02-16,20,19.0,0.19,3.8
2013-02-17,49,19.0,0.19,9.31
2013-02-18,24,19.0,0.19,4.5600000000000005
2013-02-19,69,19.0,0.19,13.11
2013-02-20,88,19.0,0.19,16.72
2013-02-21,100,19.0,0.19,19.0
2013-02-22,90,19.0,0.19,17.1
2013-02-23,22,19.0,0.19,4.18
2013-02-24,40,19.0,0.19,7.6
2013-02-25,70,19.0,0.19,13.3
2013-02-26,54,19.0,0.19,10.26
2013-02-27,60,19.0,0.19,11.4
2013-02-28,45,19.0,0.19,8.55
2013-03-01,66,20.0,0.2,13.200000000000001
2013-03-02,40,20.0,0.2,8.0
2013-03-03,24,20.0,0.2,4.800000000000001
2013-03-04,60,20.0,0.2,12.0
2013-03-05,98,20.0,0.2,19.6
2013-03-06,85,20.0,0.2,17.0
2013-03-07,67,20.0,0.2,13.4
2013-03-08,74,20.0,0.2,14.8
2013-03-09,56,20.0,0.2,11.200000000000001
2013-03-10,66,20.0,0.2,13.200000000000001
2013-03-11,81,20.0,0.2,16.2
2013-03-12,77,20.0,0.2,15.4
2013-03-13,83,20.0,0.2,16.6
2013-03-14,100,20.0,0.2,20.0
2013-03-15,55,20.0,0.2,11.0
2013-03-16,30,20.0,0.2,6.0
2013-03-17,34,20.0,0.2,6.800000000000001
2013-03-18,61,20.0,0.2,12.200000000000001
2013-03-19,91,20.0,0.2,18.2
2013-03-20,97,20.0,0.2,19.400000000000002
2013-03-21,83,20.0,0.2,16.6
2013-03-22,68,20.0,0.2,13.600000000000001
2013-03-23,37,20.0,0.2,7.4
2013-03-24,26,20.0,0.2,5.2
2013-03-25,53,20.0,0.2,10.600000000000001
2013-03-26,83,20.0,0.2,16.6
2013-03-27,76,20.0,0.2,15.200000000000001
2013-03-28,84,20.0,0.2,16.8
2013-03-29,77,20.0,0.2,15.4
2013-03-30,87,20.0,0.2,17.400000000000002
2013-03-31,29,20.0,0.2,5.800000000000001
2013-04-01,40,22.0,0.22,8.8
2013-04-02,69,22.0,0.22,15.18
2013-04-03,75,22.0,0.22,16.5
2013-04-04,64,22.0,0.22,14.08
2013-04-05,47,22.0,0.22,10.34
2013-04-06,34,22.0,0.22,7.48
2013-04-07,27,22.0,0.22,5.94
2013-04-08,61,22.0,0.22,13.42
2013-04-09,51,22.0,0.22,11.22
2013-04-10,54,22.0,0.22,11.88
2013-04-11,73,22.0,0.22,16.06
2013-04-12,80,22.0,0.22,17.6
2013-04-13,31,22.0,0.22,6.82
2013-04-14,37,22.0,0.22,8.14
2013-04-15,39,22.0,0.22,8.58
2013-04-16,100,22.0,0.22,22.0
2013-04-17,66,22.0,0.22,14.52
2013-04-18,54,22.0,0.22,11.88
2013-04-19,52,22.0,0.22,11.44
2013-04-20,47,22.0,0.22,10.34
2013-04-21,31,22.0,0.22,6.82
2013-04-22,67,22.0,0.22,14.74
2013-04-23,66,22.0,0.22,14.52
2013-04-24,68,22.0,0.22,14.96
2013-04-25,69,22.0,0.22,15.18
2013-04-26,57,22.0,0.22,12.540000000000001
2013-04-27,50,22.0,0.22,11.0
2013-04-28,24,22.0,0.22,5.28
2013-04-29,57,22.0,0.22,12.540000000000001
2013-04-30,64,22.0,0.22,14.08
2013-05-01,80,22.0,0.22,17.6
2013-05-02,65,22.0,0.22,14.3
2013-05-03,80,22.0,0.22,17.6
2013-05-04,46,22.0,0.22,10.12
2013-05-05,51,22.0,0.22,11.22
2013-05-06,84,22.0,0.22,18.48
2013-05-07,77,22.0,0.22,16.94
2013-05-08,64,22.0,0.22,14.08
2013-05-09,68,22.0,0.22,14.96
2013-05-10,86,22.0,0.22,18.92
2013-05-11,52,22.0,0.22,11.44
2013-05-12,37,22.0,0.22,8.14
2013-05-13,98,22.0,0.22,21.56
2013-05-14,97,22.0,0.22,21.34
2013-05-15,73,22.0,0.22,16.06
2013-05-16,78,22.0,0.22,17.16
2013-05-17,77,22.0,0.22,16.94
2013-05-18,45,22.0,0.22,9.9
2013-05-19,20,22.0,0.22,4.4
2013-05-20,55,22.0,0.22,12.1
2013-05-21,100,22.0,0.22,22.0
2013-05-22,70,22.0,0.22,15.4
2013-05-23,88,22.0,0.22,19.36
2013-05-24,84,22.0,0.22,18.48
2013-05-25,38,22.0,0.22,8.36
2013-05-26,32,22.0,0.22,7.04
2013-05-27,41,22.0,0.22,9.02
2013-05-28,75,22.0,0.22,16.5
2013-05-29,89,22.0,0.22,19.580000000000002
2013-05-30,49,22.0,0.22,10.78
2013-05-31,87,22.0,0.22,19.14
2013-06-01,41,21.0,0.21,8.61
2013-06-02,41,21.0,0.21,8.61
2013-06-03,72,21.0,0.21,15.12
2013-06-04,85,21.0,0.21,17.849999999999998
2013-06-05,85,21.0,0.21,17.849999999999998
2013-06-06,72,21.0,0.21,15.12
2013-06-07,92,21.0,0.21,19.32
2013-06-08,23,21.0,0.21,4.83
2013-06-09,40,21.0,0.21,8.4
2013-06-10,72,21.0,0.21,15.12
2013-06-11,25,21.0,0.21,5.25
2013-06-12,80,21.0,0.21,16.8
2013-06-13,80,21.0,0.21,16.8
2013-06-14,68,21.0,0.21,14.28
2013-06-15,33,21.0,0.21,6.93
2013-06-16,28,21.0,0.21,5.88
2013-06-17,100,21.0,0.21,21.0
2013-06-18,58,21.0,0.21,12.18
2013-06-19,69,21.0,0.21,14.49
2013-06-20,83,21.0,0.21,17.43
2013-06-21,60,21.0,0.21,12.6
2013-06-22,44,21.0,0.21,9.24
2013-06-23,33,21.0,0.21,6.93
2013-06-24,76,21.0,0.21,15.959999999999999
2013-06-25,75,21.0,0.21,15.75
2013-06-26,80,21.0,0.21,16.8
2013-06-27,78,21.0,0.21,16.38
2013-06-28,65,21.0,0.21,13.65
2013-06-29,43,21.0,0.21,9.03
2013-06-30,31,21.0,0.21,6.51
2013-07-01,55,22.0,0.22,12.1
2013-07-02,40,22.0,0.22,8.8
2013-07-03,53,22.0,0.22,11.66
2013-07-04,27,22.0,0.22,5.94
2013-07-05,46,22.0,0.22,10.12
2013-07-06,26,22.0,0.22,5.72
2013-07-07,20,22.0,0.22,4.4
2013-07-08,78,22.0,0.22,17.16
2013-07-09,64,22.0,0.22,14.08
2013-07-10,59,22.0,0.22,12.98
2013-07-11,70,22.0,0.22,15.4
2013-07-12,65,22.0,0.22,14.3
2013-07-13,39,22.0,0.22,8.58
2013-07-14,24,22.0,0.22,5.28
2013-07-15,74,22.0,0.22,16.28
2013-07-16,92,22.0,0.22,20.24
2013-07-17,89,22.0,0.22,19.580000000000002
2013-07-18,85,22.0,0.22,18.7
2013-07-19,100,22.0,0.22,22.0
2013-07-20,48,22.0,0.22,10.56
2013-07-21,27,22.0,0.22,5.94
2013-07-22,58,22.0,0.22,12.76
2013-07-23,65,22.0,0.22,14.3
2013-07-24,89,22.0,0.22,19.580000000000002
2013-07-25,73,22.0,0.22,16.06
2013-07-26,75,22.0,0.22,16.5
2013-07-27,19,22.0,0.22,4.18
2013-07-28,27,22.0,0.22,5.94
2013-07-29,40,22.0,0.22,8.8
2013-07-30,81,22.0,0.22,17.82
2013-07-31,60,22.0,0.22,13.2
2013-08-01,97,21.0,0.21,20.37
