date,JPM_unscaled,JPM_monthly,scale,JPM
2013-01-01,16,30.0,0.3,4.8
2013-01-02,56,30.0,0.3,16.8
2013-01-03,45,30.0,0.3,13.5
2013-01-04,50,30.0,0.3,15.0
2013-01-05,13,30.0,0.3,3.9
2013-01-06,18,30.0,0.3,5.3999999999999995
2013-01-07,50,30.0,0.3,15.0
2013-01-08,43,30.0,0.3,12.9
2013-01-09,46,30.0,0.3,13.799999999999999
2013-01-10,45,30.0,0.3,13.5
2013-01-11,65,30.0,0.3,19.5
2013-01-12,21,30.0,0.3,6.3
2013-01-13,20,30.0,0.3,6.0
2013-01-14,68,30.0,0.3,20.4
2013-01-15,57,30.0,0.3,17.099999999999998
2013-01-16,100,30.0,0.3,30.0
2013-01-17,64,30.0,0.3,19.2
2013-01-18,67,30.0,0.3,20.099999999999998
2013-01-19,15,30.0,0.3,4.5
2013-01-20,15,30.0,0.3,4.5
2013-01-21,28,30.0,0.3,8.4
2013-01-22,50,30.0,0.3,15.0
2013-01-23,44,30.0,0.3,13.2
2013-01-24,47,30.0,0.3,14.1
2013-01-25,34,30.0,0.3,10.2
2013-01-26,24,30.0,0.3,7.199999999999999
2013-01-27,13,30.0,0.3,3.9
2013-01-28,25,30.0,0.3,7.5
2013-01-29,56,30.0,0.3,16.8
2013-01-30,51,30.0,0.3,15.299999999999999
2013-01-31,35,30.0,0.3,10.5
2013-02-01,76,25.0,0.25,19.0
2013-02-02,22,25.0,0.25,5.5
2013-02-03,24,25.0,0.25,6.0
2013-02-04,44,25.0,0.25,11.0
2013-02-05,71,25.0,0.25,17.75
2013-02-06,74,25.0,0.25,18.5
2013-02-07,55,25.0,0.25,13.75
2013-02-08,53,25.0,0.25,13.25
2013-02-09,21,25.0,0.25,5.25
2013-02-10,21,25.0,0.25,5.25
2013-02-11,72,25.0,0.25,18.0
2013-02-12,64,25.0,0.25,16.0
2013-02-13,70,25.0,0.25,17.5
2013-02-14,94,25.0,0.25,23.5
2013-02-15,49,25.0,0.25,12.25
2013-02-16,33,25.0,0.25,8.25
2013-02-17,23,25.0,0.25,5.75
2013-02-18,32,25.0,0.25,8.0
2013-02-19,52,25.0,0.25,13.0
2013-02-20,59,25.0,0.25,14.75
2013-02-21,63,25.0,0.25,15.75
2013-02-22,69,25.0,0.25,17.25
2013-02-23,32,25.0,0.25,8.0
2013-02-24,15,25.0,0.25,3.75
2013-02-25,69,25.0,0.25,17.25
2013-02-26,85,25.0,0.25,21.25
2013-02-27,71,25.0,0.25,17.75
2013-02-28,100,25.0,0.25,25.0
2013-03-01,51,26.0,0.26,13.26
2013-03-02,34,26.0,0.26,8.84
2013-03-03,18,26.0,0.26,4.68
2013-03-04,38,26.0,0.26,9.88
2013-03-05,41,26.0,0.26,10.66
2013-03-06,55,26.0,0.26,14.3
2013-03-07,68,26.0,0.26,17.68
2013-03-08,60,26.0,0.26,15.600000000000001
2013-03-09,9,26.0,0.26,2.34
2013-03-10,17,26.0,0.26,4.42
2013-03-11,55,26.0,0.26,14.3
2013-03-12,41,26.0,0.26,10.66
2013-03-13,34,26.0,0.26,8.84
2013-03-14,77,26.0,0.26,20.02
2013-03-15,100,26.0,0.26,26.0
2013-03-16,29,26.0,0.26,7.54
2013-03-17,19,26.0,0.26,4.94
2013-03-18,34,26.0,0.26,8.84
2013-03-19,43,26.0,0.26,11.18
2013-03-20,30,26.0,0.26,7.800000000000001
2013-03-21,35,26.0,0.26,9.1
2013-03-22,32,26.0,0.26,8.32
2013-03-23,18,26.0,0.26,4.68
2013-03-24,16,26.0,0.26,4.16
2013-03-25,40,26.0,0.26,10.4
2013-03-26,40,26.0,0.26,10.4
2013-03-27,64,26.0,0.26,16.64
2013-03-28,37,26.0,0.26,9.620000000000001
2013-03-29,24,26.0,0.26,6.24
2013-03-30,19,26.0,0.26,4.94
2013-03-31,0,26.0,0.26,0.0
2013-04-01,33,25.0,0.25,8.25
2013-04-02,31,25.0,0.25,7.75
2013-04-03,37,25.0,0.25,9.25
2013-04-04,47,25.0,0.25,11.75
2013-04-05,31,25.0,0.25,7.75
2013-04-06,12,25.0,0.25,3.0
2013-04-07,0,25.0,0.25,0.0
2013-04-08,37,25.0,0.25,9.25
2013-04-09,47,25.0,0.25,11.75
2013-04-10,40,25.0,0.25,10.0
