date,MCD_unscaled,MCD_monthly,scale,MCD
2013-01-01,26,26.0,0.26,6.76
2013-01-02,75,26.0,0.26,19.5
2013-01-03,54,26.0,0.26,14.040000000000001
2013-01-04,53,26.0,0.26,13.780000000000001
2013-01-05,40,26.0,0.26,10.4
2013-01-06,31,26.0,0.26,8.06
2013-01-07,71,26.0,0.26,18.46
2013-01-08,59,26.0,0.26,15.34
2013-01-09,58,26.0,0.26,15.08
2013-01-10,65,26.0,0.26,16.900000000000002
2013-01-11,72,26.0,0.26,18.72
2013-01-12,32,26.0,0.26,8.32
2013-01-13,25,26.0,0.26,6.5
2013-01-14,64,26.0,0.26,16.64
2013-01-15,73,26.0,0.26,18.98
2013-01-16,60,26.0,0.26,15.600000000000001
2013-01-17,63,26.0,0.26,16.38
2013-01-18,67,26.0,0.26,17.42
2013-01-19,37,26.0,0.26,9.620000000000001
2013-01-20,38,26.0,0.26,9.88
2013-01-21,31,26.0,0.26,8.06
2013-01-22,66,26.0,0.26,17.16
2013-01-23,100,26.0,0.26,26.0
2013-01-24,79,26.0,0.26,20.54
2013-01-25,65,26.0,0.26,16.900000000000002
2013-01-26,42,26.0,0.26,10.92
2013-01-27,44,26.0,0.26,11.440000000000001
2013-01-28,60,26.0,0.26,15.600000000000001
2013-01-29,73,26.0,0.26,18.98
2013-01-30,51,26.0,0.26,13.26
2013-01-31,64,26.0,0.26,16.64
2013-02-01,73,26.0,0.26,18.98
2013-02-02,47,26.0,0.26,12.22
2013-02-03,37,26.0,0.26,9.620000000000001
2013-02-04,71,26.0,0.26,18.46
2013-02-05,73,26.0,0.26,18.98
2013-02-06,39,26.0,0.26,10.14
2013-02-07,85,26.0,0.26,22.1
2013-02-08,61,26.0,0.26,15.860000000000001
2013-02-09,46,26.0,0.26,11.96
2013-02-10,40,26.0,0.26,10.4
2013-02-11,61,26.0,0.26,15.860000000000001
2013-02-12,65,26.0,0.26,16.900000000000002
2013-02-13,82,26.0,0.26,21.32
2013-02-14,75,26.0,0.26,19.5
2013-02-15,54,26.0,0.26,14.040000000000001
2013-02-16,45,26.0,0.26,11.700000000000001
2013-02-17,37,26.0,0.26,9.620000000000001
2013-02-18,60,26.0,0.26,15.600000000000001
2013-02-19,53,26.0,0.26,13.780000000000001
2013-02-20,79,26.0,0.26,20.54
2013-02-21,100,26.0,0.26,26.0
2013-02-22,69,26.0,0.26,17.94
2013-02-23,23,26.0,0.26,5.98
2013-02-24,29,26.0,0.26,7.54
2013-02-25,57,26.0,0.26,14.82
2013-02-26,60,26.0,0.26,15.600000000000001
2013-02-27,80,26.0,0.26,20.8
2013-02-28,77,26.0,0.26,20.02
2013-03-01,67,24.0,0.24,16.08
2013-03-02,57,24.0,0.24,13.68
2013-03-03,60,24.0,0.24,14.399999999999999
2013-03-04,53,24.0,0.24,12.719999999999999
2013-03-05,76,24.0,0.24,18.24
2013-03-06,100,24.0,0.24,24.0
2013-03-07,68,24.0,0.24,16.32
2013-03-08,64,24.0,0.24,15.36
2013-03-09,24,24.0,0.24,5.76
2013-03-10,22,24.0,0.24,5.279999999999999
2013-03-11,63,24.0,0.24,15.12
2013-03-12,85,24.0,0.24,20.4
2013-03-13,66,24.0,0.24,15.84
2013-03-14,73,24.0,0.24,17.52
2013-03-15,60,24.0,0.24,14.399999999999999
2013-03-16,28,24.0,0.24,6.72
2013-03-17,20,24.0,0.24,4.8
2013-03-18,86,24.0,0.24,20.64
2013-03-19,66,24.0,0.24,15.84
2013-03-20,55,24.0,0.24,13.2
2013-03-21,63,24.0,0.24,15.12
2013-03-22,60,24.0,0.24,14.399999999999999
2013-03-23,53,24.0,0.24,12.719999999999999
2013-03-24,38,24.0,0.24,9.12
2013-03-25,70,24.0,0.24,16.8
2013-03-26,58,24.0,0.24,13.92
2013-03-27,57,24.0,0.24,13.68
2013-03-28,59,24.0,0.24,14.16
2013-03-29,52,24.0,0.24,12.48
2013-03-30,11,24.0,0.24,2.6399999999999997
2013-03-31,37,24.0,0.24,8.879999999999999
2013-04-01,52,27.0,0.27,14.040000000000001
2013-04-02,69,27.0,0.27,18.630000000000003
2013-04-03,87,27.0,0.27,23.490000000000002
2013-04-04,91,27.0,0.27,24.57
2013-04-05,56,27.0,0.27,15.120000000000001
2013-04-06,55,27.0,0.27,14.850000000000001
2013-04-07,57,27.0,0.27,15.39
2013-04-08,89,27.0,0.27,24.03
2013-04-09,59,27.0,0.27,15.930000000000001
2013-04-10,76,27.0,0.27,20.520000000000003
2013-04-11,69,27.0,0.27,18.630000000000003
2013-04-12,75,27.0,0.27,20.25
2013-04-13,56,27.0,0.27,15.120000000000001
