date,MCD
2013-01-01,6.76
2013-01-02,19.5
2013-01-03,14.04
2013-01-04,13.78
2013-01-05,10.4
2013-01-06,8.06
2013-01-07,18.46
2013-01-08,15.34
2013-01-09,15.08
2013-01-10,16.900000000000002
2013-01-11,18.72
2013-01-12,8.32
2013-01-13,6.5
2013-01-14,16.64
2013-01-15,18.98
2013-01-16,15.6
2013-01-17,16.38
2013-01-18,17.42
2013-01-19,9.62
2013-01-20,9.88
2013-01-21,8.06
2013-01-22,17.16
2013-01-23,26.0
2013-01-24,20.54
2013-01-25,16.900000000000002
2013-01-26,10.92
2013-01-27,11.44
2013-01-28,15.6
2013-01-29,18.98
2013-01-30,13.26
2013-01-31,16.64
2013-02-01,18.98
2013-02-02,12.22
2013-02-03,9.62
2013-02-04,18.46
2013-02-05,18.98
2013-02-06,10.14
2013-02-07,22.1
2013-02-08,15.86
2013-02-09,11.96
2013-02-10,10.4
2013-02-11,15.86
2013-02-12,16.900000000000002
2013-02-13,21.32
2013-02-14,19.5
2013-02-15,14.04
2013-02-16,11.7
2013-02-17,9.62
2013-02-18,15.6
2013-02-19,13.78
2013-02-20,20.54
2013-02-21,26.0
2013-02-22,17.94
2013-02-23,5.98
2013-02-24,7.54
2013-02-25,14.82
2013-02-26,15.6
2013-02-27,20.8
2013-02-28,20.02
2013-03-01,16.08
2013-03-02,13.68
2013-03-03,14.4
2013-03-04,12.72
2013-03-05,18.24
2013-03-06,24.0
2013-03-07,16.32
2013-03-08,15.36
2013-03-09,5.76
2013-03-10,5.279999999999999
2013-03-11,15.12
2013-03-12,20.4
2013-03-13,15.84
2013-03-14,17.52
2013-03-15,14.4
2013-03-16,6.72
2013-03-17,4.8
2013-03-18,20.64
2013-03-19,15.84
2013-03-20,13.2
2013-03-21,15.12
2013-03-22,14.4
2013-03-23,12.72
2013-03-24,9.12
2013-03-25,16.8
2013-03-26,13.92
2013-03-27,13.68
2013-03-28,14.16
2013-03-29,12.48
2013-03-30,2.64
2013-03-31,8.879999999999999
2013-04-01,14.04
2013-04-02,18.630000000000003
2013-04-03,23.49
2013-04-04,24.57
2013-04-05,15.12
2013-04-06,14.85
2013-04-07,15.39
2013-04-08,24.03
2013-04-09,15.93
2013-04-10,20.520000000000003
2013-04-11,18.630000000000003
2013-04-12,20.25
2013-04-13,15.12
2013-04-14,9.99
2013-04-15,24.840000000000003
2013-04-16,15.12
2013-04-17,22.68
2013-04-18,21.06
2013-04-19,27.0
2013-04-20,13.23
2013-04-21,15.93
2013-04-22,22.950000000000003
2013-04-23,23.76
2013-04-24,25.380000000000003
2013-04-25,16.470000000000002
2013-04-26,22.950000000000003
2013-04-27,12.15
2013-04-28,21.87
2013-04-29,24.03
2013-04-30,21.6
2013-05-01,15.6
2013-05-02,17.759999999999998
2013-05-03,23.04
2013-05-04,10.56
2013-05-05,6.48
2013-05-06,15.6
2013-05-07,11.52
2013-05-08,22.32
2013-05-09,24.0
2013-05-10,17.04
2013-05-11,11.28
2013-05-12,1.68
2013-05-13,16.32
2013-05-14,17.04
2013-05-15,11.52
2013-05-16,12.72
2013-05-17,14.16
2013-05-18,11.04
2013-05-19,8.16
2013-05-20,13.2
2013-05-21,16.08
2013-05-22,18.24
