date,MSFT_unscaled,MSFT_monthly,scale,MSFT
2013-01-01,18,13.0,0.13,2.34
2013-01-02,45,13.0,0.13,5.8500000000000005
2013-01-03,42,13.0,0.13,5.46
2013-01-04,33,13.0,0.13,4.29
2013-01-05,20,13.0,0.13,2.6
2013-01-06,11,13.0,0.13,1.4300000000000002
2013-01-07,25,13.0,0.13,3.25
2013-01-08,40,13.0,0.13,5.2
2013-01-09,29,13.0,0.13,3.77
2013-01-10,37,13.0,0.13,4.8100000000000005
2013-01-11,45,13.0,0.13,5.8500000000000005
2013-01-12,14,13.0,0.13,1.82
2013-01-13,14,13.0,0.13,1.82
2013-01-14,32,13.0,0.13,4.16
2013-01-15,37,13.0,0.13,4.8100000000000005
2013-01-16,28,13.0,0.13,3.64
2013-01-17,37,13.0,0.13,4.8100000000000005
2013-01-18,30,13.0,0.13,3.9000000000000004
2013-01-19,6,13.0,0.13,0.78
2013-01-20,8,13.0,0.13,1.04
2013-01-21,22,13.0,0.13,2.8600000000000003
2013-01-22,37,13.0,0.13,4.8100000000000005
2013-01-23,34,13.0,0.13,4.42
2013-01-24,100,13.0,0.13,13.0
2013-01-25,88,13.0,0.13,11.440000000000001
2013-01-26,25,13.0,0.13,3.25
2013-01-27,18,13.0,0.13,2.34
2013-01-28,38,13.0,0.13,4.94
2013-01-29,30,13.0,0.13,3.9000000000000004
2013-01-30,30,13.0,0.13,3.9000000000000004
2013-01-31,37,13.0,0.13,4.8100000000000005
2013-02-01,100,10.0,0.1,10.0
2013-02-02,34,10.0,0.1,3.4000000000000004
2013-02-03,26,10.0,0.1,2.6
2013-02-04,89,10.0,0.1,8.9
2013-02-05,82,10.0,0.1,8.200000000000001
2013-02-06,69,10.0,0.1,6.9
2013-02-07,85,10.0,0.1,8.5
2013-02-08,66,10.0,0.1,6.6000000000000005
2013-02-09,29,10.0,0.1,2.9000000000000004
2013-02-10,24,10.0,0.1,2.4000000000000004
2013-02-11,78,10.0,0.1,7.800000000000001
2013-02-12,72,10.0,0.1,7.2
2013-02-13,98,10.0,0.1,9.8
2013-02-14,60,10.0,0.1,6.0
2013-02-15,55,10.0,0.1,5.5
2013-02-16,18,10.0,0.1,1.8
2013-02-17,10,10.0,0.1,1.0
2013-02-18,38,10.0,0.1,3.8000000000000003
2013-02-19,67,10.0,0.1,6.7
2013-02-20,64,10.0,0.1,6.4
2013-02-21,74,10.0,0.1,7.4
2013-02-22,52,10.0,0.1,5.2
2013-02-23,14,10.0,0.1,1.4000000000000001
2013-02-24,41,10.0,0.1,4.1000000000000005
2013-02-25,71,10.0,0.1,7.1000000000000005
2013-02-26,60,10.0,0.1,6.0
2013-02-27,49,10.0,0.1,4.9
2013-02-28,59,10.0,0.1,5.9
2013-03-01,75,9.0,0.09,6.75
2013-03-02,40,9.0,0.09,3.5999999999999996
2013-03-03,26,9.0,0.09,2.34
2013-03-04,68,9.0,0.09,6.12
2013-03-05,100,9.0,0.09,9.0
2013-03-06,83,9.0,0.09,7.47
2013-03-07,65,9.0,0.09,5.85
2013-03-08,57,9.0,0.09,5.13
2013-03-09,29,9.0,0.09,2.61
2013-03-10,33,9.0,0.09,2.9699999999999998
2013-03-11,63,9.0,0.09,5.67
2013-03-12,73,9.0,0.09,6.569999999999999
2013-03-13,55,9.0,0.09,4.95
2013-03-14,75,9.0,0.09,6.75
2013-03-15,45,9.0,0.09,4.05
2013-03-16,28,9.0,0.09,2.52
2013-03-17,17,9.0,0.09,1.53
2013-03-18,60,9.0,0.09,5.3999999999999995
2013-03-19,54,9.0,0.09,4.859999999999999
2013-03-20,52,9.0,0.09,4.68
2013-03-21,60,9.0,0.09,5.3999999999999995
2013-03-22,60,9.0,0.09,5.3999999999999995
2013-03-23,24,9.0,0.09,2.16
2013-03-24,5,9.0,0.09,0.44999999999999996
2013-03-25,50,9.0,0.09,4.5
2013-03-26,67,9.0,0.09,6.029999999999999
2013-03-27,42,9.0,0.09,3.78
2013-03-28,54,9.0,0.09,4.859999999999999
2013-03-29,27,9.0,0.09,2.4299999999999997
2013-03-30,32,9.0,0.09,2.88
2013-03-31,31,9.0,0.09,2.79
2013-04-01,31,14.0,0.14,4.340000000000001
2013-04-02,39,14.0,0.14,5.460000000000001
2013-04-03,45,14.0,0.14,6.300000000000001
2013-04-04,30,14.0,0.14,4.2
2013-04-05,27,14.0,0.14,3.7800000000000002
2013-04-06,10,14.0,0.14,1.4000000000000001
2013-04-07,10,14.0,0.14,1.4000000000000001
