date,MRK_unscaled,MRK_monthly,scale,MRK
2013-01-01,0,27.0,0.27,0.0
2013-01-02,74,27.0,0.27,19.98
2013-01-03,100,27.0,0.27,27.0
2013-01-04,92,27.0,0.27,24.840000000000003
2013-01-05,27,27.0,0.27,7.290000000000001
2013-01-06,24,27.0,0.27,6.48
2013-01-07,69,27.0,0.27,18.630000000000003
2013-01-08,84,27.0,0.27,22.68
2013-01-09,14,27.0,0.27,3.7800000000000002
2013-01-10,36,27.0,0.27,9.72
2013-01-11,76,27.0,0.27,20.520000000000003
2013-01-12,29,27.0,0.27,7.83
2013-01-13,0,27.0,0.27,0.0
2013-01-14,45,27.0,0.27,12.15
2013-01-15,38,27.0,0.27,10.260000000000002
2013-01-16,50,27.0,0.27,13.5
2013-01-17,100,27.0,0.27,27.0
2013-01-18,38,27.0,0.27,10.260000000000002
2013-01-19,88,27.0,0.27,23.76
2013-01-20,21,27.0,0.27,5.67
2013-01-21,39,27.0,0.27,10.530000000000001
2013-01-22,38,27.0,0.27,10.260000000000002
2013-01-23,62,27.0,0.27,16.740000000000002
2013-01-24,45,27.0,0.27,12.15
2013-01-25,75,27.0,0.27,20.25
2013-01-26,24,27.0,0.27,6.48
2013-01-27,22,27.0,0.27,5.94
2013-01-28,46,27.0,0.27,12.420000000000002
2013-01-29,47,27.0,0.27,12.690000000000001
2013-01-30,54,27.0,0.27,14.580000000000002
2013-01-31,91,27.0,0.27,24.57
2013-02-01,100,26.0,0.26,26.0
2013-02-02,30,26.0,0.26,7.800000000000001
2013-02-03,15,26.0,0.26,3.9000000000000004
2013-02-04,37,26.0,0.26,9.620000000000001
2013-02-05,50,26.0,0.26,13.0
2013-02-06,48,26.0,0.26,12.48
2013-02-07,61,26.0,0.26,15.860000000000001
2013-02-08,47,26.0,0.26,12.22
2013-02-09,0,26.0,0.26,0.0
2013-02-10,0,26.0,0.26,0.0
2013-02-11,59,26.0,0.26,15.34
2013-02-12,63,26.0,0.26,16.38
2013-02-13,49,26.0,0.26,12.74
2013-02-14,44,26.0,0.26,11.440000000000001
2013-02-15,61,26.0,0.26,15.860000000000001
2013-02-16,35,26.0,0.26,9.1
2013-02-17,26,26.0,0.26,6.76
2013-02-18,63,26.0,0.26,16.38
2013-02-19,41,26.0,0.26,10.66
2013-02-20,53,26.0,0.26,13.780000000000001
2013-02-21,56,26.0,0.26,14.56
2013-02-22,47,26.0,0.26,12.22
2013-02-23,31,26.0,0.26,8.06
2013-02-24,0,26.0,0.26,0.0
2013-02-25,55,26.0,0.26,14.3
2013-02-26,46,26.0,0.26,11.96
2013-02-27,45,26.0,0.26,11.700000000000001
2013-02-28,18,26.0,0.26,4.68
2013-03-01,49,30.0,0.3,14.7
2013-03-02,45,30.0,0.3,13.5
2013-03-03,23,30.0,0.3,6.8999999999999995
2013-03-04,11,30.0,0.3,3.3
2013-03-05,52,30.0,0.3,15.6
2013-03-06,52,30.0,0.3,15.6
2013-03-07,85,30.0,0.3,25.5
2013-03-08,39,30.0,0.3,11.7
2013-03-09,28,30.0,0.3,8.4
2013-03-10,0,30.0,0.3,0.0
2013-03-11,78,30.0,0.3,23.4
2013-03-12,100,30.0,0.3,30.0
2013-03-13,83,30.0,0.3,24.9
2013-03-14,56,30.0,0.3,16.8
2013-03-15,56,30.0,0.3,16.8
2013-03-16,0,30.0,0.3,0.0
2013-03-17,0,30.0,0.3,0.0
2013-03-18,66,30.0,0.3,19.8
2013-03-19,26,30.0,0.3,7.8
2013-03-20,66,30.0,0.3,19.8
2013-03-21,47,30.0,0.3,14.1
2013-03-22,59,30.0,0.3,17.7
2013-03-23,23,30.0,0.3,6.8999999999999995
2013-03-24,65,30.0,0.3,19.5
2013-03-25,47,30.0,0.3,14.1
2013-03-26,54,30.0,0.3,16.2
2013-03-27,64,30.0,0.3,19.2
2013-03-28,53,30.0,0.3,15.899999999999999
2013-03-29,18,30.0,0.3,5.3999999999999995
2013-03-30,38,30.0,0.3,11.4
2013-03-31,18,30.0,0.3,5.3999999999999995
2013-04-01,59,32.0,0.32,18.88
2013-04-02,66,32.0,0.32,21.12
2013-04-03,62,32.0,0.32,19.84
2013-04-04,55,32.0,0.32,17.6
2013-04-05,44,32.0,0.32,14.08
2013-04-06,19,32.0,0.32,6.08
2013-04-07,63,32.0,0.32,20.16
2013-04-08,62,32.0,0.32,19.84
2013-04-09,26,32.0,0.32,8.32
2013-04-10,96,32.0,0.32,30.72
2013-04-11,67,32.0,0.32,21.44
2013-04-12,68,32.0,0.32,21.76
2013-04-13,29,32.0,0.32,9.28
2013-04-14,47,32.0,0.32,15.040000000000001
2013-04-15,49,32.0,0.32,15.68
2013-04-16,68,32.0,0.32,21.76
2013-04-17,30,32.0,0.32,9.6
2013-04-18,48,32.0,0.32,15.36
2013-04-19,39,32.0,0.32,12.48
2013-04-20,21,32.0,0.32,6.72
2013-04-21,27,32.0,0.32,8.64
2013-04-22,42,32.0,0.32,13.44
2013-04-23,49,32.0,0.32,15.68
2013-04-24,44,32.0,0.32,14.08
2013-04-25,100,32.0,0.32,32.0
2013-04-26,62,32.0,0.32,19.84
2013-04-27,43,32.0,0.32,13.76
2013-04-28,28,32.0,0.32,8.96
