date,PG_unscaled,PG_monthly,scale,PG
2013-01-01,62,50.0,0.5,31.0
2013-01-02,80,50.0,0.5,40.0
2013-01-03,72,50.0,0.5,36.0
2013-01-04,75,50.0,0.5,37.5
2013-01-05,59,50.0,0.5,29.5
2013-01-06,60,50.0,0.5,30.0
2013-01-07,76,50.0,0.5,38.0
2013-01-08,71,50.0,0.5,35.5
2013-01-09,76,50.0,0.5,38.0
2013-01-10,60,50.0,0.5,30.0
2013-01-11,65,50.0,0.5,32.5
2013-01-12,66,50.0,0.5,33.0
2013-01-13,63,50.0,0.5,31.5
2013-01-14,66,50.0,0.5,33.0
2013-01-15,79,50.0,0.5,39.5
2013-01-16,65,50.0,0.5,32.5
2013-01-17,70,50.0,0.5,35.0
2013-01-18,70,50.0,0.5,35.0
2013-01-19,60,50.0,0.5,30.0
2013-01-20,55,50.0,0.5,27.5
2013-01-21,53,50.0,0.5,26.5
2013-01-22,73,50.0,0.5,36.5
2013-01-23,70,50.0,0.5,35.0
2013-01-24,83,50.0,0.5,41.5
2013-01-25,100,50.0,0.5,50.0
2013-01-26,70,50.0,0.5,35.0
2013-01-27,72,50.0,0.5,36.0
2013-01-28,93,50.0,0.5,46.5
2013-01-29,82,50.0,0.5,41.0
2013-01-30,82,50.0,0.5,41.0
2013-01-31,69,50.0,0.5,34.5
2013-02-01,84,56.0,0.56,47.040000000000006
2013-02-02,76,56.0,0.56,42.56
2013-02-03,79,56.0,0.56,44.24
2013-02-04,81,56.0,0.56,45.36000000000001
2013-02-05,93,56.0,0.56,52.080000000000005
2013-02-06,85,56.0,0.56,47.6
2013-02-07,84,56.0,0.56,47.040000000000006
2013-02-08,85,56.0,0.56,47.6
2013-02-09,80,56.0,0.56,44.800000000000004
2013-02-10,75,56.0,0.56,42.00000000000001
2013-02-11,93,56.0,0.56,52.080000000000005
2013-02-12,93,56.0,0.56,52.080000000000005
2013-02-13,81,56.0,0.56,45.36000000000001
2013-02-14,83,56.0,0.56,46.480000000000004
2013-02-15,92,56.0,0.56,51.52
2013-02-16,81,56.0,0.56,45.36000000000001
2013-02-17,79,56.0,0.56,44.24
2013-02-18,81,56.0,0.56,45.36000000000001
2013-02-19,94,56.0,0.56,52.64000000000001
2013-02-20,100,56.0,0.56,56.00000000000001
2013-02-21,87,56.0,0.56,48.720000000000006
2013-02-22,85,56.0,0.56,47.6
2013-02-23,75,56.0,0.56,42.00000000000001
2013-02-24,82,56.0,0.56,45.92
2013-02-25,81,56.0,0.56,45.36000000000001
2013-02-26,93,56.0,0.56,52.080000000000005
2013-02-27,91,56.0,0.56,50.96000000000001
2013-02-28,92,56.0,0.56,51.52
2013-03-01,79,54.0,0.54,42.660000000000004
2013-03-02,69,54.0,0.54,37.260000000000005
2013-03-03,62,54.0,0.54,33.480000000000004
2013-03-04,70,54.0,0.54,37.800000000000004
2013-03-05,72,54.0,0.54,38.88
2013-03-06,86,54.0,0.54,46.440000000000005
2013-03-07,80,54.0,0.54,43.2
2013-03-08,76,54.0,0.54,41.040000000000006
2013-03-09,66,54.0,0.54,35.64
2013-03-10,59,54.0,0.54,31.860000000000003
2013-03-11,69,54.0,0.54,37.260000000000005
2013-03-12,72,54.0,0.54,38.88
2013-03-13,71,54.0,0.54,38.34
2013-03-14,69,54.0,0.54,37.260000000000005
2013-03-15,71,54.0,0.54,38.34
2013-03-16,62,54.0,0.54,33.480000000000004
2013-03-17,59,54.0,0.54,31.860000000000003
2013-03-18,76,54.0,0.54,41.040000000000006
2013-03-19,76,54.0,0.54,41.040000000000006
2013-03-20,74,54.0,0.54,39.96
2013-03-21,84,54.0,0.54,45.36
2013-03-22,75,54.0,0.54,40.5
2013-03-23,60,54.0,0.54,32.400000000000006
2013-03-24,70,54.0,0.54,37.800000000000004
2013-03-25,100,54.0,0.54,54.0
2013-03-26,75,54.0,0.54,40.5
2013-03-27,78,54.0,0.54,42.120000000000005
2013-03-28,73,54.0,0.54,39.42
2013-03-29,70,54.0,0.54,37.800000000000004
2013-03-30,66,54.0,0.54,35.64
2013-03-31,61,54.0,0.54,32.940000000000005
2013-04-01,82,53.0,0.53,43.46
2013-04-02,76,53.0,0.53,40.28
2013-04-03,87,53.0,0.53,46.11
2013-04-04,83,53.0,0.53,43.99
2013-04-05,81,53.0,0.53,42.93
2013-04-06,69,53.0,0.53,36.57
2013-04-07,74,53.0,0.53,39.22
2013-04-08,82,53.0,0.53,43.46
2013-04-09,80,53.0,0.53,42.400000000000006
2013-04-10,86,53.0,0.53,45.580000000000005
2013-04-11,90,53.0,0.53,47.7
2013-04-12,83,53.0,0.53,43.99
2013-04-13,75,53.0,0.53,39.75
2013-04-14,65,53.0,0.53,34.45
2013-04-15,82,53.0,0.53,43.46
2013-04-16,90,53.0,0.53,47.7
2013-04-17,82,53.0,0.53,43.46
2013-04-18,73,53.0,0.53,38.690000000000005
2013-04-19,81,53.0,0.53,42.93
2013-04-20,77,53.0,0.53,40.81
2013-04-21,77,53.0,0.53,40.81
2013-04-22,83,53.0,0.53,43.99
2013-04-23,88,53.0,0.53,46.64
2013-04-24,100,53.0,0.53,53.0
2013-04-25,95,53.0,0.53,50.35
2013-04-26,83,53.0,0.53,43.99
2013-04-27,66,53.0,0.53,34.980000000000004
2013-04-28,78,53.0,0.53,41.34
2013-04-29,80,53.0,0.53,42.400000000000006
2013-04-30,85,53.0,0.53,45.050000000000004
2013-05-01,95,57.0,0.57,54.15
2013-05-02,87,57.0,0.57,49.589999999999996
2013-05-03,80,57.0,0.57,45.599999999999994
2013-05-04,78,57.0,0.57,44.459999999999994
2013-05-05,68,57.0,0.57,38.76
2013-05-06,79,57.0,0.57,45.029999999999994
2013-05-07,85,57.0,0.57,48.449999999999996
2013-05-08,85,57.0,0.57,48.449999999999996
2013-05-09,73,57.0,0.57,41.61
2013-05-10,74,57.0,0.57,42.18
2013-05-11,78,57.0,0.57,44.459999999999994
2013-05-12,77,57.0,0.57,43.88999999999999
2013-05-13,85,57.0,0.57,48.449999999999996
2013-05-14,72,57.0,0.57,41.04
2013-05-15,72,57.0,0.57,41.04
2013-05-16,86,57.0,0.57,49.019999999999996
2013-05-17,69,57.0,0.57,39.33
2013-05-18,66,57.0,0.57,37.62
2013-05-19,70,57.0,0.57,39.9
2013-05-20,81,57.0,0.57,46.169999999999995
2013-05-21,85,57.0,0.57,48.449999999999996
2013-05-22,77,57.0,0.57,43.88999999999999
2013-05-23,90,57.0,0.57,51.3
2013-05-24,100,57.0,0.57,56.99999999999999
2013-05-25,81,57.0,0.57,46.169999999999995
2013-05-26,73,57.0,0.57,41.61
2013-05-27,83,57.0,0.57,47.309999999999995
2013-05-28,91,57.0,0.57,51.87
2013-05-29,80,57.0,0.57,45.599999999999994
2013-05-30,90,57.0,0.57,51.3
2013-05-31,79,57.0,0.57,45.029999999999994
2013-06-01,78,54.0,0.54,42.120000000000005
2013-06-02,85,54.0,0.54,45.900000000000006
2013-06-03,89,54.0,0.54,48.06
2013-06-04,100,54.0,0.54,54.0
2013-06-05,99,54.0,0.54,53.46
2013-06-06,83,54.0,0.54,44.82
2013-06-07,91,54.0,0.54,49.14
2013-06-08,78,54.0,0.54,42.120000000000005
2013-06-09,71,54.0,0.54,38.34
2013-06-10,77,54.0,0.54,41.580000000000005
2013-06-11,97,54.0,0.54,52.38
2013-06-12,77,54.0,0.54,41.580000000000005
2013-06-13,82,54.0,0.54,44.28
2013-06-14,85,54.0,0.54,45.900000000000006
2013-06-15,77,54.0,0.54,41.580000000000005
2013-06-16,69,54.0,0.54,37.260000000000005
2013-06-17,87,54.0,0.54,46.980000000000004
2013-06-18,96,54.0,0.54,51.84
2013-06-19,88,54.0,0.54,47.52
2013-06-20,88,54.0,0.54,47.52
2013-06-21,90,54.0,0.54,48.6
2013-06-22,77,54.0,0.54,41.580000000000005
2013-06-23,81,54.0,0.54,43.74
2013-06-24,91,54.0,0.54,49.14
2013-06-25,86,54.0,0.54,46.440000000000005
2013-06-26,73,54.0,0.54,39.42
2013-06-27,88,54.0,0.54,47.52
2013-06-28,93,54.0,0.54,50.220000000000006
2013-06-29,92,54.0,0.54,49.68000000000001
2013-06-30,80,54.0,0.54,43.2
2013-07-01,65,54.0,0.54,35.1
2013-07-02,61,54.0,0.54,32.940000000000005
2013-07-03,61,54.0,0.54,32.940000000000005
2013-07-04,57,54.0,0.54,30.78
2013-07-05,62,54.0,0.54,33.480000000000004
2013-07-06,58,54.0,0.54,31.32
2013-07-07,55,54.0,0.54,29.700000000000003
2013-07-08,65,54.0,0.54,35.1
2013-07-09,61,54.0,0.54,32.940000000000005
2013-07-10,57,54.0,0.54,30.78
2013-07-11,62,54.0,0.54,33.480000000000004
2013-07-12,71,54.0,0.54,38.34
2013-07-13,55,54.0,0.54,29.700000000000003
2013-07-14,48,54.0,0.54,25.92
2013-07-15,63,54.0,0.54,34.02
2013-07-16,100,54.0,0.54,54.0
2013-07-17,100,54.0,0.54,54.0
2013-07-18,63,54.0,0.54,34.02
2013-07-19,59,54.0,0.54,31.860000000000003
2013-07-20,58,54.0,0.54,31.32
2013-07-21,47,54.0,0.54,25.380000000000003
2013-07-22,59,54.0,0.54,31.860000000000003
2013-07-23,61,54.0,0.54,32.940000000000005
