date,UNH_unscaled,UNH_monthly,scale,UNH
2013-01-01,44,76.0,0.76,33.44
2013-01-02,48,76.0,0.76,36.480000000000004
2013-01-03,51,76.0,0.76,38.76
2013-01-04,50,76.0,0.76,38.0
2013-01-05,49,76.0,0.76,37.24
2013-01-06,40,76.0,0.76,30.4
2013-01-07,57,76.0,0.76,43.32
2013-01-08,56,76.0,0.76,42.56
2013-01-09,59,76.0,0.76,44.84
2013-01-10,51,76.0,0.76,38.76
2013-01-11,53,76.0,0.76,40.28
2013-01-12,74,76.0,0.76,56.24
2013-01-13,84,76.0,0.76,63.84
2013-01-14,52,76.0,0.76,39.52
2013-01-15,57,76.0,0.76,43.32
2013-01-16,59,76.0,0.76,44.84
2013-01-17,72,76.0,0.76,54.72
2013-01-18,60,76.0,0.76,45.6
2013-01-19,49,76.0,0.76,37.24
2013-01-20,55,76.0,0.76,41.8
2013-01-21,67,76.0,0.76,50.92
2013-01-22,97,76.0,0.76,73.72
2013-01-23,100,76.0,0.76,76.0
2013-01-24,94,76.0,0.76,71.44
2013-01-25,76,76.0,0.76,57.76
2013-01-26,63,76.0,0.76,47.88
2013-01-27,76,76.0,0.76,57.76
2013-01-28,78,76.0,0.76,59.28
2013-01-29,81,76.0,0.76,61.56
2013-01-30,85,76.0,0.76,64.6
2013-01-31,66,76.0,0.76,50.160000000000004
2013-02-01,78,84.0,0.84,65.52
2013-02-02,70,84.0,0.84,58.8
2013-02-03,67,84.0,0.84,56.28
2013-02-04,92,84.0,0.84,77.28
2013-02-05,88,84.0,0.84,73.92
2013-02-06,90,84.0,0.84,75.6
2013-02-07,90,84.0,0.84,75.6
2013-02-08,74,84.0,0.84,62.16
2013-02-09,50,84.0,0.84,42.0
2013-02-10,72,84.0,0.84,60.48
2013-02-11,92,84.0,0.84,77.28
2013-02-12,80,84.0,0.84,67.2
2013-02-13,88,84.0,0.84,73.92
2013-02-14,68,84.0,0.84,57.12
2013-02-15,68,84.0,0.84,57.12
2013-02-16,68,84.0,0.84,57.12
2013-02-17,75,84.0,0.84,63.0
2013-02-18,100,84.0,0.84,84.0
2013-02-19,80,84.0,0.84,67.2
2013-02-20,91,84.0,0.84,76.44
2013-02-21,93,84.0,0.84,78.11999999999999
2013-02-22,74,84.0,0.84,62.16
2013-02-23,76,84.0,0.84,63.839999999999996
2013-02-24,62,84.0,0.84,52.08
2013-02-25,86,84.0,0.84,72.24
2013-02-26,85,84.0,0.84,71.39999999999999
2013-02-27,80,84.0,0.84,67.2
2013-02-28,86,84.0,0.84,72.24
