date,American Express Stock Price_unscaled,American Express Stock Price_monthly,scale,American Express Stock Price
2004-01-01,0,37.0,0.37,0.0
2004-01-02,0,37.0,0.37,0.0
2004-01-03,0,37.0,0.37,0.0
2004-01-04,78,37.0,0.37,28.86
2004-01-05,100,37.0,0.37,37.0
2004-01-06,0,37.0,0.37,0.0
2004-01-07,0,37.0,0.37,0.0
2004-01-08,0,37.0,0.37,0.0
2004-01-09,0,37.0,0.37,0.0
2004-01-10,0,37.0,0.37,0.0
2004-01-11,0,37.0,0.37,0.0
2004-01-12,0,37.0,0.37,0.0
2004-01-13,0,37.0,0.37,0.0
2004-01-14,0,37.0,0.37,0.0
2004-01-15,0,37.0,0.37,0.0
2004-01-16,13,37.0,0.37,4.81
2004-01-17,0,37.0,0.37,0.0
2004-01-18,28,37.0,0.37,10.36
2004-01-19,24,37.0,0.37,8.879999999999999
2004-01-20,0,37.0,0.37,0.0
2004-01-21,0,37.0,0.37,0.0
2004-01-22,0,37.0,0.37,0.0
2004-01-23,17,37.0,0.37,6.29
2004-01-24,0,37.0,0.37,0.0
2004-01-25,0,37.0,0.37,0.0
2004-01-26,29,37.0,0.37,10.73
2004-01-27,0,37.0,0.37,0.0
2004-01-28,10,37.0,0.37,3.7
2004-01-29,23,37.0,0.37,8.51
2004-01-30,16,37.0,0.37,5.92
2004-01-31,0,37.0,0.37,0.0
2004-02-01,94,0.0,0.0,0.0
2004-02-02,69,0.0,0.0,0.0
2004-02-03,0,0.0,0.0,0.0
2004-02-04,87,0.0,0.0,0.0
2004-02-05,0,0.0,0.0,0.0
2004-02-06,0,0.0,0.0,0.0
2004-02-07,0,0.0,0.0,0.0
2004-02-08,0,0.0,0.0,0.0
2004-02-09,0,0.0,0.0,0.0
2004-02-10,47,0.0,0.0,0.0
2004-02-11,0,0.0,0.0,0.0
2004-02-12,39,0.0,0.0,0.0
2004-02-13,0,0.0,0.0,0.0
2004-02-14,0,0.0,0.0,0.0
2004-02-15,0,0.0,0.0,0.0
2004-02-16,0,0.0,0.0,0.0
2004-02-17,0,0.0,0.0,0.0
2004-02-18,0,0.0,0.0,0.0
2004-02-19,0,0.0,0.0,0.0
2004-02-20,0,0.0,0.0,0.0
2004-02-21,0,0.0,0.0,0.0
2004-02-22,0,0.0,0.0,0.0
2004-02-23,86,0.0,0.0,0.0
2004-02-24,100,0.0,0.0,0.0
2004-02-25,0,0.0,0.0,0.0
2004-02-26,0,0.0,0.0,0.0
2004-02-27,0,0.0,0.0,0.0
2004-02-28,64,0.0,0.0,0.0
2004-02-29,0,0.0,0.0,0.0
2004-03-01,0,0.0,0.0,0.0
2004-03-02,0,0.0,0.0,0.0
2004-03-03,83,0.0,0.0,0.0
2004-03-04,87,0.0,0.0,0.0
2004-03-05,0,0.0,0.0,0.0
2004-03-06,0,0.0,0.0,0.0
2004-03-07,0,0.0,0.0,0.0
2004-03-08,0,0.0,0.0,0.0
2004-03-09,0,0.0,0.0,0.0
