date,Cisco Stock Price_unscaled,Cisco Stock Price_monthly,scale,Cisco Stock Price
2004-01-01,100,0.0,0.0,0.0
2004-01-02,0,0.0,0.0,0.0
2004-01-03,0,0.0,0.0,0.0
2004-01-04,0,0.0,0.0,0.0
2004-01-05,0,0.0,0.0,0.0
2004-01-06,40,0.0,0.0,0.0
2004-01-07,0,0.0,0.0,0.0
2004-01-08,0,0.0,0.0,0.0
2004-01-09,0,0.0,0.0,0.0
2004-01-10,0,0.0,0.0,0.0
2004-01-11,0,0.0,0.0,0.0
2004-01-12,0,0.0,0.0,0.0
2004-01-13,14,0.0,0.0,0.0
2004-01-14,0,0.0,0.0,0.0
2004-01-15,0,0.0,0.0,0.0
2004-01-16,0,0.0,0.0,0.0
2004-01-17,0,0.0,0.0,0.0
2004-01-18,0,0.0,0.0,0.0
2004-01-19,0,0.0,0.0,0.0
2004-01-20,0,0.0,0.0,0.0
2004-01-21,0,0.0,0.0,0.0
2004-01-22,13,0.0,0.0,0.0
2004-01-23,0,0.0,0.0,0.0
2004-01-24,0,0.0,0.0,0.0
2004-01-25,0,0.0,0.0,0.0
2004-01-26,0,0.0,0.0,0.0
2004-01-27,0,0.0,0.0,0.0
2004-01-28,0,0.0,0.0,0.0
2004-01-29,0,0.0,0.0,0.0
2004-01-30,24,0.0,0.0,0.0
2004-01-31,0,0.0,0.0,0.0
2004-02-01,0,10.0,0.1,0.0
2004-02-02,0,10.0,0.1,0.0
2004-02-03,0,10.0,0.1,0.0
2004-02-04,0,10.0,0.1,0.0
2004-02-05,0,10.0,0.1,0.0
2004-02-06,0,10.0,0.1,0.0
2004-02-07,0,10.0,0.1,0.0
2004-02-08,0,10.0,0.1,0.0
2004-02-09,100,10.0,0.1,10.0
2004-02-10,0,10.0,0.1,0.0
2004-02-11,0,10.0,0.1,0.0
2004-02-12,43,10.0,0.1,4.3
2004-02-13,0,10.0,0.1,0.0
2004-02-14,0,10.0,0.1,0.0
2004-02-15,95,10.0,0.1,9.5
2004-02-16,0,10.0,0.1,0.0
2004-02-17,45,10.0,0.1,4.5
2004-02-18,0,10.0,0.1,0.0
2004-02-19,80,10.0,0.1,8.0
2004-02-20,0,10.0,0.1,0.0
2004-02-21,0,10.0,0.1,0.0
2004-02-22,0,10.0,0.1,0.0
2004-02-23,40,10.0,0.1,4.0
2004-02-24,97,10.0,0.1,9.700000000000001
2004-02-25,0,10.0,0.1,0.0
2004-02-26,0,10.0,0.1,0.0
2004-02-27,0,10.0,0.1,0.0
2004-02-28,0,10.0,0.1,0.0
2004-02-29,0,10.0,0.1,0.0
2004-03-01,31,0.0,0.0,0.0
2004-03-02,0,0.0,0.0,0.0
2004-03-03,0,0.0,0.0,0.0
2004-03-04,0,0.0,0.0,0.0
2004-03-05,0,0.0,0.0,0.0
2004-03-06,0,0.0,0.0,0.0
2004-03-07,100,0.0,0.0,0.0
2004-03-08,0,0.0,0.0,0.0
2004-03-09,0,0.0,0.0,0.0
2004-03-10,0,0.0,0.0,0.0
2004-03-11,0,0.0,0.0,0.0
2004-03-12,0,0.0,0.0,0.0
2004-03-13,0,0.0,0.0,0.0
2004-03-14,31,0.0,0.0,0.0
2004-03-15,0,0.0,0.0,0.0
2004-03-16,0,0.0,0.0,0.0
2004-03-17,0,0.0,0.0,0.0
2004-03-18,0,0.0,0.0,0.0
