date,Home Depot Stock Price
2013-01-01,0.0
2013-01-02,6.48
2013-01-03,9.36
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,10.92
2013-01-08,3.6
2013-01-09,7.56
2013-01-10,3.12
2013-01-11,3.6
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,6.24
2013-01-16,0.0
2013-01-17,5.76
2013-01-18,8.28
2013-01-19,7.68
2013-01-20,0.0
2013-01-21,6.72
2013-01-22,0.0
2013-01-23,4.56
2013-01-24,6.6
2013-01-25,3.48
2013-01-26,4.2
2013-01-27,0.0
2013-01-28,12.0
2013-01-29,0.0
2013-01-30,11.52
2013-01-31,0.0
2013-02-01,5.2
2013-02-02,0.0
2013-02-03,4.03
2013-02-04,4.8100000000000005
2013-02-05,13.0
2013-02-06,3.51
2013-02-07,0.0
2013-02-08,7.800000000000001
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,3.25
2013-02-12,4.55
2013-02-13,8.32
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,6.11
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,7.54
2013-02-21,7.54
2013-02-22,8.58
2013-02-23,6.5
2013-02-24,0.0
2013-02-25,5.720000000000001
2013-02-26,5.720000000000001
2013-02-27,9.75
2013-02-28,7.800000000000001
2013-03-01,3.84
2013-03-02,8.8
2013-03-03,4.32
2013-03-04,15.04
2013-03-05,4.96
2013-03-06,8.96
2013-03-07,4.96
2013-03-08,8.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,16.0
2013-03-13,10.08
2013-03-14,6.08
2013-03-15,4.16
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,7.04
2013-03-21,4.8
2013-03-22,11.04
2013-03-23,6.08
2013-03-24,3.84
2013-03-25,4.64
2013-03-26,4.0
2013-03-27,9.44
2013-03-28,9.28
2013-03-29,5.12
2013-03-30,0.0
2013-03-31,11.68
2013-04-01,2.75
2013-04-02,6.82
2013-04-03,9.57
