date,Merck Stock Price
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,2.1
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,1.75
2013-01-15,2.0500000000000003
2013-01-16,1.35
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,3.6
2013-01-20,0.0
2013-01-21,4.1000000000000005
2013-01-22,2.8000000000000003
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,5.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,5.12
2013-02-05,0.0
2013-02-06,2.88
2013-02-07,3.12
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,4.96
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,2.56
2013-02-15,0.0
2013-02-16,2.64
2013-02-17,0.0
2013-02-18,1.76
2013-02-19,1.76
2013-02-20,2.88
2013-02-21,3.12
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,8.0
2013-02-26,0.0
2013-02-27,2.64
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,6.0
2013-03-03,0.0
2013-03-04,3.8
2013-03-05,8.8
2013-03-06,4.7
2013-03-07,10.0
2013-03-08,5.300000000000001
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,8.200000000000001
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-16,0.0
2013-03-17,5.1000000000000005
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,6.0
2013-03-21,0.0
2013-03-22,5.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,9.2
2013-03-28,4.9
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,9.72
2013-04-02,5.279999999999999
2013-04-03,11.28
2013-04-04,0.0
2013-04-05,5.279999999999999
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,8.879999999999999
2013-04-09,4.2
2013-04-10,7.439999999999999
2013-04-11,3.36
2013-04-12,3.36
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,10.08
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,4.08
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,8.04
2013-04-24,3.24
2013-04-25,8.4
2013-04-26,6.48
2013-04-27,12.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,7.08
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,4.1000000000000005
2013-05-04,4.1000000000000005
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,5.1000000000000005
2013-05-08,10.0
2013-05-09,4.800000000000001
2013-05-10,2.9000000000000004
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,2.1
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,3.9
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,7.0
2013-05-24,2.9000000000000004
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,3.5
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,10.0
2013-06-04,4.5
2013-06-05,0.0
2013-06-06,3.2
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,4.800000000000001
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,2.8000000000000003
2013-06-14,3.5
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,3.6
2013-06-18,4.4
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,5.5
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,4.2
2013-06-27,4.5
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,1.84
2013-07-02,1.92
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,2.56
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,2.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,3.36
2013-07-17,2.24
2013-07-18,0.0
2013-07-19,1.44
2013-07-20,1.36
2013-07-21,8.0
2013-07-22,0.0
2013-07-23,1.28
2013-07-24,1.36
2013-07-25,6.5600000000000005
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,5.04
2013-07-29,1.44
2013-07-30,0.0
2013-07-31,4.5600000000000005
2013-08-01,5.0
2013-08-02,1.75
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,1.35
2013-08-08,0.0
2013-08-09,1.25
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,1.2000000000000002
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,2.0
2013-08-16,0.0
2013-08-17,2.15
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,2.6
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,1.8
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,2.16
2013-09-03,0.0
2013-09-04,1.72
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,1.72
2013-09-11,4.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,2.88
2013-09-18,0.0
2013-09-19,0.0
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,2.64
2013-09-25,1.48
2013-09-26,0.0
2013-09-27,2.84
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,2.8000000000000003
2013-10-03,0.0
2013-10-04,8.0
2013-10-05,0.0
2013-10-06,3.2
2013-10-07,2.64
2013-10-08,2.48
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,2.4
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,3.6
2013-10-17,0.0
2013-10-18,4.64
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,3.92
2013-10-22,3.68
2013-10-23,3.6
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,3.76
2013-10-31,2.32
2013-11-01,3.76
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,3.68
2013-11-05,1.68
2013-11-06,3.12
2013-11-07,0.0
2013-11-08,2.72
2013-11-09,2.8000000000000003
2013-11-10,0.0
2013-11-11,4.72
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,2.56
2013-11-15,3.84
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,1.52
2013-11-19,2.08
2013-11-20,0.0
2013-11-21,1.68
2013-11-22,1.76
2013-11-23,0.0
2013-11-24,2.72
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,1.68
2013-11-30,8.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,8.0
2013-12-05,3.76
2013-12-06,0.0
2013-12-07,0.0
2013-12-08,2.32
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,2.8000000000000003
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,5.2
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,0.0
2013-12-30,2.32
2013-12-31,1.92
2014-01-01,0.0
2014-01-02,6.11
2014-01-03,0.0
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,5.07
2014-01-11,0.0
2014-01-12,0.0
2014-01-13,5.07
2014-01-14,10.79
2014-01-15,8.450000000000001
2014-01-16,6.63
2014-01-17,0.0
2014-01-18,0.0
2014-01-19,8.19
2014-01-20,0.0
2014-01-21,4.68
2014-01-22,13.0
2014-01-23,2.99
2014-01-24,0.0
2014-01-25,10.92
2014-01-26,4.16
2014-01-27,0.0
2014-01-28,7.67
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,8.71
2014-02-01,0.0
2014-02-02,14.85
2014-02-03,5.1
2014-02-04,7.199999999999999
2014-02-05,4.35
2014-02-06,0.0
2014-02-07,9.15
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,6.15
2014-02-11,12.3
2014-02-12,15.0
2014-02-13,9.15
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,7.05
2014-02-19,7.649999999999999
2014-02-20,4.65
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,0.0
2014-02-25,4.5
2014-02-26,0.0
2014-02-27,7.199999999999999
2014-02-28,0.0
2014-03-01,0.0
2014-03-02,4.62
2014-03-03,11.0
2014-03-04,8.69
2014-03-05,0.0
2014-03-06,3.19
2014-03-07,8.69
2014-03-08,0.0
2014-03-09,4.73
2014-03-10,4.73
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,3.96
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,5.28
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,3.96
2014-03-22,7.92
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,3.3
2014-03-26,10.45
2014-03-27,0.0
2014-03-28,0.0
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,5.74
2014-04-03,0.0
2014-04-04,8.4
2014-04-05,0.0
2014-04-06,8.82
2014-04-07,11.48
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,9.1
2014-04-11,5.460000000000001
2014-04-12,0.0
2014-04-13,4.9
2014-04-14,0.0
2014-04-15,10.64
2014-04-16,12.04
2014-04-17,14.000000000000002
2014-04-18,11.48
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,11.48
2014-04-23,6.86
2014-04-24,5.460000000000001
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,11.9
2014-04-30,5.460000000000001
2014-05-01,9.15
2014-05-02,8.4
2014-05-03,6.0
2014-05-04,6.0
2014-05-05,3.6
2014-05-06,7.8
2014-05-07,15.0
2014-05-08,8.1
2014-05-09,7.8
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,7.35
2014-05-14,5.4
2014-05-15,8.549999999999999
2014-05-16,11.7
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,8.7
2014-05-21,9.3
2014-05-22,10.2
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,8.7
2014-05-31,0.0
2014-06-01,4.1000000000000005
2014-06-02,3.2
2014-06-03,1.8
2014-06-04,2.0
2014-06-05,0.0
2014-06-06,3.6
2014-06-07,3.8
2014-06-08,0.0
2014-06-09,2.2
