date,Verizon Stock Price
2013-01-01,0.0
2013-01-02,6.720000000000001
2013-01-03,0.0
2013-01-04,8.96
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,4.9
2013-01-14,0.0
2013-01-15,4.760000000000001
2013-01-16,0.0
2013-01-17,3.08
2013-01-18,3.3600000000000003
2013-01-19,14.000000000000002
2013-01-20,6.44
2013-01-21,0.0
2013-01-22,13.580000000000002
2013-01-23,0.0
2013-01-24,12.740000000000002
2013-01-25,11.48
2013-01-26,5.880000000000001
2013-01-27,8.4
2013-01-28,2.9400000000000004
2013-01-29,3.08
2013-01-30,0.0
2013-01-31,4.9
2013-02-01,9.8
2013-02-02,5.880000000000001
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,4.62
2013-02-07,6.720000000000001
2013-02-08,5.6000000000000005
2013-02-09,6.580000000000001
2013-02-10,0.0
2013-02-11,7.140000000000001
2013-02-12,6.44
2013-02-13,6.580000000000001
2013-02-14,3.78
2013-02-15,0.0
2013-02-16,3.78
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,10.64
2013-02-20,4.760000000000001
2013-02-21,0.0
2013-02-22,9.52
2013-02-23,14.000000000000002
2013-02-24,3.5000000000000004
2013-02-25,5.32
2013-02-26,9.52
2013-02-27,6.86
2013-02-28,3.78
2013-03-01,0.0
2013-03-02,7.739999999999999
2013-03-03,5.22
2013-03-04,5.94
2013-03-05,8.28
2013-03-06,18.0
2013-03-07,11.16
2013-03-08,8.28
2013-03-09,0.0
2013-03-10,16.919999999999998
2013-03-11,7.739999999999999
2013-03-12,10.08
2013-03-13,6.66
2013-03-14,7.02
2013-03-15,7.199999999999999
2013-03-16,16.38
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,11.7
2013-03-21,4.5
2013-03-22,11.16
2013-03-23,10.98
2013-03-24,6.12
2013-03-25,11.7
2013-03-26,5.22
2013-03-27,4.5
2013-03-28,5.58
2013-03-29,7.38
2013-03-30,0.0
2013-03-31,4.859999999999999
2013-04-01,7.979999999999999
2013-04-02,17.849999999999998
2013-04-03,9.03
2013-04-04,4.2
2013-04-05,11.13
2013-04-06,13.86
2013-04-07,9.24
2013-04-08,4.41
2013-04-09,7.14
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,5.04
2013-04-13,6.3
2013-04-14,0.0
2013-04-15,3.99
2013-04-16,11.13
2013-04-17,13.65
2013-04-18,19.95
2013-04-19,10.08
2013-04-20,11.34
2013-04-21,0.0
2013-04-22,12.81
2013-04-23,9.24
2013-04-24,16.38
2013-04-25,13.02
2013-04-26,21.0
2013-04-27,15.75
2013-04-28,0.0
2013-04-29,12.81
2013-04-30,3.99
2013-05-01,15.6
2013-05-02,17.6
2013-05-03,20.0
2013-05-04,7.2
2013-05-05,7.2
2013-05-06,5.800000000000001
2013-05-07,4.800000000000001
2013-05-08,5.800000000000001
2013-05-09,7.0
2013-05-10,3.6
2013-05-11,9.0
2013-05-12,0.0
2013-05-13,9.4
2013-05-14,8.200000000000001
2013-05-15,7.0
2013-05-16,5.4
2013-05-17,16.0
2013-05-18,12.2
2013-05-19,0.0
2013-05-20,12.8
2013-05-21,16.2
2013-05-22,8.4
2013-05-23,5.6000000000000005
2013-05-24,8.8
2013-05-25,7.800000000000001
2013-05-26,9.4
2013-05-27,0.0
2013-05-28,4.6000000000000005
2013-05-29,0.0
2013-05-30,16.2
2013-05-31,12.6
2013-06-01,0.0
2013-06-02,4.859999999999999
2013-06-03,14.22
2013-06-04,0.0
2013-06-05,7.56
2013-06-06,13.5
2013-06-07,8.28
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,6.84
2013-06-11,7.739999999999999
2013-06-12,17.28
2013-06-13,9.36
2013-06-14,8.28
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,9.54
2013-06-19,9.36
2013-06-20,9.36
2013-06-21,7.02
2013-06-22,0.0
2013-06-23,17.46
2013-06-24,6.84
2013-06-25,10.98
2013-06-26,18.0
2013-06-27,0.0
2013-06-28,11.88
2013-06-29,0.0
2013-06-30,11.52
2013-07-01,8.64
2013-07-02,2.24
2013-07-03,9.28
2013-07-04,9.76
2013-07-05,4.0
2013-07-06,6.88
2013-07-07,4.32
2013-07-08,7.84
2013-07-09,3.68
2013-07-10,6.4
2013-07-11,4.48
2013-07-12,11.52
2013-07-13,4.64
2013-07-14,0.0
2013-07-15,4.0
2013-07-16,0.0
2013-07-17,10.88
2013-07-18,7.2
2013-07-19,0.0
