date,Walmart Stock Price
2013-01-01,1.5
2013-01-02,5.46
2013-01-03,4.32
2013-01-04,0.0
2013-01-05,2.22
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,3.54
2013-01-09,6.0
2013-01-10,2.28
2013-01-11,4.02
2013-01-12,1.98
2013-01-13,2.16
2013-01-14,1.92
2013-01-15,3.3
2013-01-16,2.64
2013-01-17,3.24
2013-01-18,4.44
2013-01-19,3.36
2013-01-20,2.94
2013-01-21,1.62
2013-01-22,1.68
2013-01-23,0.0
2013-01-24,1.3199999999999998
2013-01-25,2.04
2013-01-26,0.0
2013-01-27,1.98
2013-01-28,4.14
2013-01-29,4.08
2013-01-30,2.34
2013-01-31,3.84
2013-02-01,8.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,2.32
2013-02-05,2.32
2013-02-06,2.8000000000000003
2013-02-07,2.56
2013-02-08,4.8
2013-02-09,3.28
2013-02-10,0.0
2013-02-11,3.76
2013-02-12,0.0
2013-02-13,1.12
2013-02-14,1.28
2013-02-15,2.24
2013-02-16,6.0
2013-02-17,2.56
2013-02-18,4.32
2013-02-19,3.84
2013-02-20,3.52
2013-02-21,2.72
2013-02-22,5.04
2013-02-23,3.84
2013-02-24,1.36
2013-02-25,0.0
2013-02-26,4.32
2013-02-27,3.44
2013-02-28,2.4
2013-03-01,5.58
2013-03-02,3.78
2013-03-03,3.69
2013-03-04,6.39
2013-03-05,4.23
2013-03-06,7.109999999999999
2013-03-07,9.0
2013-03-08,5.76
2013-03-09,0.0
2013-03-10,3.69
2013-03-11,7.199999999999999
2013-03-12,6.66
2013-03-13,5.31
2013-03-14,8.1
2013-03-15,6.93
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,7.02
2013-03-19,6.029999999999999
2013-03-20,8.459999999999999
2013-03-21,4.95
2013-03-22,6.3
2013-03-23,0.0
2013-03-24,1.7999999999999998
2013-03-25,6.12
2013-03-26,2.79
2013-03-27,2.34
2013-03-28,4.41
2013-03-29,2.16
2013-03-30,3.42
2013-03-31,2.52
2013-04-01,8.8
2013-04-02,9.79
2013-04-03,7.37
2013-04-04,11.0
2013-04-05,6.05
2013-04-06,5.72
2013-04-07,0.0
2013-04-08,5.39
2013-04-09,8.25
2013-04-10,6.38
2013-04-11,8.8
2013-04-12,9.79
2013-04-13,4.29
2013-04-14,4.84
2013-04-15,4.4
2013-04-16,9.79
2013-04-17,10.34
2013-04-18,7.92
2013-04-19,5.61
2013-04-20,5.5
2013-04-21,0.0
2013-04-22,6.16
2013-04-23,4.4
2013-04-24,3.63
2013-04-25,0.0
2013-04-26,9.46
2013-04-27,0.0
2013-04-28,5.39
2013-04-29,5.28
2013-04-30,9.24
2013-05-01,8.01
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,7.109999999999999
2013-05-05,4.41
2013-05-06,4.5
2013-05-07,4.14
2013-05-08,8.19
2013-05-09,5.4
2013-05-10,3.78
2013-05-11,0.0
2013-05-12,4.14
2013-05-13,2.52
2013-05-14,6.569999999999999
2013-05-15,3.69
2013-05-16,6.84
2013-05-17,5.4
2013-05-18,2.07
2013-05-19,0.0
2013-05-20,9.0
2013-05-21,2.16
2013-05-22,2.25
2013-05-23,6.3
2013-05-24,5.58
2013-05-25,5.4
2013-05-26,5.22
2013-05-27,0.0
2013-05-28,2.79
2013-05-29,5.85
2013-05-30,3.42
2013-05-31,7.199999999999999
2013-06-01,2.72
2013-06-02,4.64
2013-06-03,2.4
2013-06-04,6.32
2013-06-05,6.32
2013-06-06,4.88
2013-06-07,6.72
2013-06-08,7.04
2013-06-09,6.5600000000000005
2013-06-10,5.04
2013-06-11,3.12
2013-06-12,5.28
2013-06-13,3.04
2013-06-14,8.0
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,2.0
2013-06-18,4.24
2013-06-19,3.52
2013-06-20,5.76
2013-06-21,5.68
2013-06-22,3.68
2013-06-23,0.0
2013-06-24,5.12
2013-06-25,5.6000000000000005
2013-06-26,4.16
2013-06-27,1.52
2013-06-28,3.84
2013-06-29,5.5200000000000005
2013-06-30,7.92
2013-07-01,3.71
2013-07-02,3.1500000000000004
2013-07-03,3.01
2013-07-04,2.66
2013-07-05,0.0
2013-07-06,3.3600000000000003
2013-07-07,0.0
2013-07-08,3.92
2013-07-09,0.0
2013-07-10,5.670000000000001
2013-07-11,2.66
2013-07-12,3.640000000000001
2013-07-13,3.22
2013-07-14,3.22
2013-07-15,0.0
2013-07-16,2.5900000000000003
2013-07-17,6.790000000000001
2013-07-18,3.2900000000000005
2013-07-19,4.0600000000000005
2013-07-20,3.5700000000000003
2013-07-21,1.61
2013-07-22,0.0
2013-07-23,3.850000000000001
2013-07-24,3.71
2013-07-25,4.550000000000001
2013-07-26,3.2900000000000005
2013-07-27,7.000000000000001
