date,Visa_unscaled,Visa_monthly,scale,Visa
2013-01-01,71,78.0,0.78,55.38
2013-01-02,98,78.0,0.78,76.44
2013-01-03,95,78.0,0.78,74.10000000000001
2013-01-04,100,78.0,0.78,78.0
2013-01-05,84,78.0,0.78,65.52
2013-01-06,72,78.0,0.78,56.160000000000004
2013-01-07,91,78.0,0.78,70.98
2013-01-08,94,78.0,0.78,73.32000000000001
2013-01-09,97,78.0,0.78,75.66
2013-01-10,92,78.0,0.78,71.76
2013-01-11,82,78.0,0.78,63.96
2013-01-12,73,78.0,0.78,56.940000000000005
2013-01-13,71,78.0,0.78,55.38
2013-01-14,82,78.0,0.78,63.96
2013-01-15,86,78.0,0.78,67.08
2013-01-16,80,78.0,0.78,62.400000000000006
2013-01-17,84,78.0,0.78,65.52
2013-01-18,82,78.0,0.78,63.96
2013-01-19,72,78.0,0.78,56.160000000000004
2013-01-20,70,78.0,0.78,54.6
2013-01-21,79,78.0,0.78,61.620000000000005
2013-01-22,75,78.0,0.78,58.5
2013-01-23,84,78.0,0.78,65.52
2013-01-24,82,78.0,0.78,63.96
2013-01-25,83,78.0,0.78,64.74000000000001
2013-01-26,73,78.0,0.78,56.940000000000005
2013-01-27,75,78.0,0.78,58.5
2013-01-28,90,78.0,0.78,70.2
2013-01-29,86,78.0,0.78,67.08
2013-01-30,82,78.0,0.78,63.96
2013-01-31,81,78.0,0.78,63.18
2013-02-01,85,73.0,0.73,62.05
2013-02-02,82,73.0,0.73,59.86
2013-02-03,70,73.0,0.73,51.1
2013-02-04,91,73.0,0.73,66.42999999999999
2013-02-05,100,73.0,0.73,73.0
2013-02-06,99,73.0,0.73,72.27
2013-02-07,97,73.0,0.73,70.81
2013-02-08,92,73.0,0.73,67.16
2013-02-09,83,73.0,0.73,60.589999999999996
2013-02-10,82,73.0,0.73,59.86
2013-02-11,100,73.0,0.73,73.0
2013-02-12,96,73.0,0.73,70.08
2013-02-13,89,73.0,0.73,64.97
2013-02-14,83,73.0,0.73,60.589999999999996
2013-02-15,90,73.0,0.73,65.7
2013-02-16,77,73.0,0.73,56.21
2013-02-17,75,73.0,0.73,54.75
2013-02-18,85,73.0,0.73,62.05
2013-02-19,89,73.0,0.73,64.97
2013-02-20,93,73.0,0.73,67.89
2013-02-21,89,73.0,0.73,64.97
2013-02-22,85,73.0,0.73,62.05
2013-02-23,75,73.0,0.73,54.75
2013-02-24,74,73.0,0.73,54.019999999999996
2013-02-25,85,73.0,0.73,62.05
2013-02-26,89,73.0,0.73,64.97
2013-02-27,88,73.0,0.73,64.24
2013-02-28,82,73.0,0.73,59.86
2013-03-01,88,70.0,0.7,61.599999999999994
2013-03-02,80,70.0,0.7,56.0
2013-03-03,77,70.0,0.7,53.9
2013-03-04,91,70.0,0.7,63.699999999999996
2013-03-05,82,70.0,0.7,57.4
2013-03-06,95,70.0,0.7,66.5
2013-03-07,88,70.0,0.7,61.599999999999994
2013-03-08,96,70.0,0.7,67.19999999999999
2013-03-09,81,70.0,0.7,56.699999999999996
2013-03-10,78,70.0,0.7,54.599999999999994
2013-03-11,100,70.0,0.7,70.0
2013-03-12,100,70.0,0.7,70.0
