date,WMT_unscaled,WMT_monthly,scale,WMT
2013-01-01,54,21.0,0.21,11.34
2013-01-02,94,21.0,0.21,19.74
2013-01-03,88,21.0,0.21,18.48
2013-01-04,97,21.0,0.21,20.37
2013-01-05,25,21.0,0.21,5.25
2013-01-06,53,21.0,0.21,11.129999999999999
2013-01-07,82,21.0,0.21,17.22
2013-01-08,98,21.0,0.21,20.58
2013-01-09,75,21.0,0.21,15.75
2013-01-10,100,21.0,0.21,21.0
2013-01-11,59,21.0,0.21,12.389999999999999
2013-01-12,39,21.0,0.21,8.19
2013-01-13,57,21.0,0.21,11.969999999999999
2013-01-14,69,21.0,0.21,14.49
2013-01-15,89,21.0,0.21,18.689999999999998
2013-01-16,84,21.0,0.21,17.64
2013-01-17,84,21.0,0.21,17.64
2013-01-18,69,21.0,0.21,14.49
2013-01-19,98,21.0,0.21,20.58
2013-01-20,0,21.0,0.21,0.0
2013-01-21,39,21.0,0.21,8.19
2013-01-22,87,21.0,0.21,18.27
2013-01-23,71,21.0,0.21,14.91
2013-01-24,88,21.0,0.21,18.48
2013-01-25,85,21.0,0.21,17.849999999999998
2013-01-26,37,21.0,0.21,7.77
2013-01-27,75,21.0,0.21,15.75
2013-01-28,57,21.0,0.21,11.969999999999999
2013-01-29,95,21.0,0.21,19.95
2013-01-30,78,21.0,0.21,16.38
2013-01-31,76,21.0,0.21,15.959999999999999
2013-02-01,68,26.0,0.26,17.68
2013-02-02,15,26.0,0.26,3.9000000000000004
2013-02-03,26,26.0,0.26,6.76
2013-02-04,49,26.0,0.26,12.74
2013-02-05,59,26.0,0.26,15.34
2013-02-06,55,26.0,0.26,14.3
2013-02-07,58,26.0,0.26,15.08
2013-02-08,52,26.0,0.26,13.52
2013-02-09,27,26.0,0.26,7.0200000000000005
2013-02-10,10,26.0,0.26,2.6
2013-02-11,43,26.0,0.26,11.18
2013-02-12,41,26.0,0.26,10.66
2013-02-13,46,26.0,0.26,11.96
2013-02-14,35,26.0,0.26,9.1
2013-02-15,91,26.0,0.26,23.66
2013-02-16,34,26.0,0.26,8.84
2013-02-17,31,26.0,0.26,8.06
2013-02-18,43,26.0,0.26,11.18
2013-02-19,46,26.0,0.26,11.96
2013-02-20,85,26.0,0.26,22.1
2013-02-21,100,26.0,0.26,26.0
2013-02-22,56,26.0,0.26,14.56
2013-02-23,45,26.0,0.26,11.700000000000001
2013-02-24,46,26.0,0.26,11.96
2013-02-25,29,26.0,0.26,7.54
2013-02-26,45,26.0,0.26,11.700000000000001
2013-02-27,58,26.0,0.26,15.08
2013-02-28,48,26.0,0.26,12.48
2013-03-01,89,21.0,0.21,18.689999999999998
2013-03-02,37,21.0,0.21,7.77
2013-03-03,35,21.0,0.21,7.35
2013-03-04,74,21.0,0.21,15.54
2013-03-05,83,21.0,0.21,17.43
2013-03-06,76,21.0,0.21,15.959999999999999
2013-03-07,77,21.0,0.21,16.169999999999998
2013-03-08,68,21.0,0.21,14.28
2013-03-09,43,21.0,0.21,9.03
2013-03-10,21,21.0,0.21,4.41
2013-03-11,71,21.0,0.21,14.91
2013-03-12,42,21.0,0.21,8.82
2013-03-13,73,21.0,0.21,15.33
2013-03-14,56,21.0,0.21,11.76
2013-03-15,61,21.0,0.21,12.809999999999999
2013-03-16,51,21.0,0.21,10.709999999999999
2013-03-17,22,21.0,0.21,4.62
2013-03-18,75,21.0,0.21,15.75
2013-03-19,55,21.0,0.21,11.549999999999999
2013-03-20,69,21.0,0.21,14.49
2013-03-21,51,21.0,0.21,10.709999999999999
2013-03-22,56,21.0,0.21,11.76
2013-03-23,35,21.0,0.21,7.35
2013-03-24,39,21.0,0.21,8.19
2013-03-25,100,21.0,0.21,21.0
2013-03-26,78,21.0,0.21,16.38
2013-03-27,72,21.0,0.21,15.12
2013-03-28,71,21.0,0.21,14.91
2013-03-29,47,21.0,0.21,9.87
2013-03-30,26,21.0,0.21,5.46
2013-03-31,25,21.0,0.21,5.25
2013-04-01,53,22.0,0.22,11.66
2013-04-02,62,22.0,0.22,13.64
2013-04-03,78,22.0,0.22,17.16
2013-04-04,66,22.0,0.22,14.52
2013-04-05,85,22.0,0.22,18.7
2013-04-06,48,22.0,0.22,10.56
2013-04-07,39,22.0,0.22,8.58
2013-04-08,57,22.0,0.22,12.540000000000001
2013-04-09,73,22.0,0.22,16.06
2013-04-10,100,22.0,0.22,22.0
2013-04-11,46,22.0,0.22,10.12
2013-04-12,53,22.0,0.22,11.66
2013-04-13,51,22.0,0.22,11.22
2013-04-14,8,22.0,0.22,1.76
2013-04-15,69,22.0,0.22,15.18
2013-04-16,54,22.0,0.22,11.88
2013-04-17,49,22.0,0.22,10.78
2013-04-18,51,22.0,0.22,11.22
2013-04-19,69,22.0,0.22,15.18
2013-04-20,32,22.0,0.22,7.04
2013-04-21,19,22.0,0.22,4.18
2013-04-22,62,22.0,0.22,13.64
2013-04-23,49,22.0,0.22,10.78
2013-04-24,43,22.0,0.22,9.46
2013-04-25,59,22.0,0.22,12.98
2013-04-26,93,22.0,0.22,20.46
2013-04-27,0,22.0,0.22,0.0
2013-04-28,0,22.0,0.22,0.0
2013-04-29,44,22.0,0.22,9.68
2013-04-30,51,22.0,0.22,11.22
2013-05-01,38,24.0,0.24,9.12
2013-05-02,31,24.0,0.24,7.4399999999999995
2013-05-03,43,24.0,0.24,10.32
2013-05-04,30,24.0,0.24,7.199999999999999
2013-05-05,20,24.0,0.24,4.8
2013-05-06,43,24.0,0.24,10.32
2013-05-07,38,24.0,0.24,9.12
2013-05-08,48,24.0,0.24,11.52
2013-05-09,34,24.0,0.24,8.16
2013-05-10,39,24.0,0.24,9.36
2013-05-11,13,24.0,0.24,3.12
2013-05-12,25,24.0,0.24,6.0
2013-05-13,41,24.0,0.24,9.84
2013-05-14,54,24.0,0.24,12.959999999999999
2013-05-15,62,24.0,0.24,14.879999999999999
2013-05-16,100,24.0,0.24,24.0
2013-05-17,55,24.0,0.24,13.2
2013-05-18,30,24.0,0.24,7.199999999999999
2013-05-19,12,24.0,0.24,2.88
2013-05-20,38,24.0,0.24,9.12
2013-05-21,31,24.0,0.24,7.4399999999999995
2013-05-22,15,24.0,0.24,3.5999999999999996
2013-05-23,31,24.0,0.24,7.4399999999999995
2013-05-24,32,24.0,0.24,7.68
2013-05-25,23,24.0,0.24,5.52
2013-05-26,27,24.0,0.24,6.4799999999999995
2013-05-27,18,24.0,0.24,4.32
2013-05-28,41,24.0,0.24,9.84
2013-05-29,30,24.0,0.24,7.199999999999999
2013-05-30,25,24.0,0.24,6.0
2013-05-31,58,24.0,0.24,13.92
2013-06-01,22,23.0,0.23,5.0600000000000005
2013-06-02,15,23.0,0.23,3.45
2013-06-03,60,23.0,0.23,13.8
2013-06-04,55,23.0,0.23,12.65
2013-06-05,35,23.0,0.23,8.05
2013-06-06,74,23.0,0.23,17.02
2013-06-07,100,23.0,0.23,23.0
2013-06-08,52,23.0,0.23,11.96
2013-06-09,18,23.0,0.23,4.140000000000001
2013-06-10,65,23.0,0.23,14.950000000000001
2013-06-11,81,23.0,0.23,18.630000000000003
2013-06-12,60,23.0,0.23,13.8
2013-06-13,48,23.0,0.23,11.040000000000001
2013-06-14,51,23.0,0.23,11.73
2013-06-15,23,23.0,0.23,5.29
2013-06-16,22,23.0,0.23,5.0600000000000005
2013-06-17,41,23.0,0.23,9.43
2013-06-18,56,23.0,0.23,12.88
2013-06-19,40,23.0,0.23,9.200000000000001
2013-06-20,72,23.0,0.23,16.560000000000002
2013-06-21,86,23.0,0.23,19.78
2013-06-22,31,23.0,0.23,7.13
2013-06-23,0,23.0,0.23,0.0
2013-06-24,62,23.0,0.23,14.26
2013-06-25,60,23.0,0.23,13.8
2013-06-26,44,23.0,0.23,10.120000000000001
2013-06-27,59,23.0,0.23,13.57
2013-06-28,44,23.0,0.23,10.120000000000001
