date,stock_name,attention_ticker
2013-01-01,JPMorgan Stock Price,0.0
2013-01-02,JPMorgan Stock Price,0.0
2013-01-03,JPMorgan Stock Price,0.0
2013-01-04,JPMorgan Stock Price,0.0
2013-01-05,JPMorgan Stock Price,16.0
2013-01-06,JPMorgan Stock Price,0.0
2013-01-07,JPMorgan Stock Price,0.0
2013-01-08,JPMorgan Stock Price,7.52
2013-01-09,JPMorgan Stock Price,8.48
2013-01-10,JPMorgan Stock Price,6.4
2013-01-11,JPMorgan Stock Price,6.5600000000000005
2013-01-12,JPMorgan Stock Price,0.0
2013-01-13,JPMorgan Stock Price,16.0
2013-01-14,JPMorgan Stock Price,0.0
2013-01-15,JPMorgan Stock Price,0.0
2013-01-16,JPMorgan Stock Price,0.0
2013-01-17,JPMorgan Stock Price,0.0
2013-01-18,JPMorgan Stock Price,0.0
2013-01-19,JPMorgan Stock Price,0.0
2013-01-20,JPMorgan Stock Price,0.0
2013-01-21,JPMorgan Stock Price,0.0
2013-01-22,JPMorgan Stock Price,7.52
2013-01-23,JPMorgan Stock Price,0.0
2013-01-24,JPMorgan Stock Price,0.0
2013-01-25,JPMorgan Stock Price,0.0
2013-01-26,JPMorgan Stock Price,0.0
2013-01-27,JPMorgan Stock Price,0.0
2013-01-28,JPMorgan Stock Price,0.0
2013-01-29,JPMorgan Stock Price,0.0
2013-01-30,JPMorgan Stock Price,9.28
2013-01-31,JPMorgan Stock Price,0.0
2013-02-01,JPMorgan Stock Price,0.0
2013-02-02,JPMorgan Stock Price,0.0
2013-02-03,JPMorgan Stock Price,0.0
2013-02-04,JPMorgan Stock Price,0.0
2013-02-05,JPMorgan Stock Price,0.0
2013-02-06,JPMorgan Stock Price,0.0
2013-02-07,JPMorgan Stock Price,0.0
2013-02-08,JPMorgan Stock Price,0.0
2013-02-09,JPMorgan Stock Price,0.0
2013-02-10,JPMorgan Stock Price,0.0
2013-02-11,JPMorgan Stock Price,0.0
2013-02-12,JPMorgan Stock Price,0.0
2013-02-13,JPMorgan Stock Price,0.0
2013-02-14,JPMorgan Stock Price,0.0
2013-02-15,JPMorgan Stock Price,0.0
2013-02-16,JPMorgan Stock Price,0.0
2013-02-17,JPMorgan Stock Price,15.0
2013-02-18,JPMorgan Stock Price,0.0
2013-02-19,JPMorgan Stock Price,0.0
2013-02-20,JPMorgan Stock Price,0.0
2013-02-21,JPMorgan Stock Price,0.0
2013-02-22,JPMorgan Stock Price,12.45
2013-02-23,JPMorgan Stock Price,0.0
2013-02-24,JPMorgan Stock Price,10.2
2013-02-25,JPMorgan Stock Price,0.0
2013-02-26,JPMorgan Stock Price,0.0
2013-02-27,JPMorgan Stock Price,8.7
2013-02-28,JPMorgan Stock Price,0.0
2013-03-01,JPMorgan Stock Price,0.0
2013-03-02,JPMorgan Stock Price,8.64
2013-03-03,JPMorgan Stock Price,27.0
2013-03-04,JPMorgan Stock Price,0.0
2013-03-05,JPMorgan Stock Price,7.83
2013-03-06,JPMorgan Stock Price,0.0
2013-03-07,JPMorgan Stock Price,0.0
2013-03-08,JPMorgan Stock Price,0.0
2013-03-09,JPMorgan Stock Price,0.0
2013-03-10,JPMorgan Stock Price,16.470000000000002
2013-03-11,JPMorgan Stock Price,0.0
2013-03-12,JPMorgan Stock Price,8.100000000000001
2013-03-13,JPMorgan Stock Price,0.0
2013-03-14,JPMorgan Stock Price,0.0
2013-03-15,JPMorgan Stock Price,13.77
2013-03-16,JPMorgan Stock Price,0.0
2013-03-17,JPMorgan Stock Price,0.0
2013-03-18,JPMorgan Stock Price,8.64
2013-03-19,JPMorgan Stock Price,0.0
2013-03-20,JPMorgan Stock Price,0.0
2013-03-21,JPMorgan Stock Price,0.0
2013-03-22,JPMorgan Stock Price,17.01
2013-03-23,JPMorgan Stock Price,0.0
2013-03-24,JPMorgan Stock Price,10.260000000000002
2013-03-25,JPMorgan Stock Price,0.0
2013-03-26,JPMorgan Stock Price,0.0
2013-03-27,JPMorgan Stock Price,0.0
2013-03-28,JPMorgan Stock Price,25.92
2013-03-29,JPMorgan Stock Price,0.0
2013-03-30,JPMorgan Stock Price,0.0
2013-03-31,JPMorgan Stock Price,0.0
2013-04-01,JPMorgan Stock Price,9.0
2013-04-02,JPMorgan Stock Price,0.0
2013-04-03,JPMorgan Stock Price,0.0
2013-04-04,JPMorgan Stock Price,3.24
2013-04-05,JPMorgan Stock Price,0.0
2013-04-06,JPMorgan Stock Price,0.0
2013-04-07,JPMorgan Stock Price,0.0
2013-04-08,JPMorgan Stock Price,0.0
2013-04-09,JPMorgan Stock Price,4.14
2013-04-10,JPMorgan Stock Price,3.15
2013-04-11,JPMorgan Stock Price,0.0
2013-04-12,JPMorgan Stock Price,0.0
2013-04-13,JPMorgan Stock Price,0.0
2013-04-14,JPMorgan Stock Price,0.0
2013-04-15,JPMorgan Stock Price,0.0
2013-04-16,JPMorgan Stock Price,0.0
2013-04-17,JPMorgan Stock Price,0.0
2013-04-18,JPMorgan Stock Price,0.0
2013-04-19,JPMorgan Stock Price,0.0
2013-04-20,JPMorgan Stock Price,0.0
2013-04-21,JPMorgan Stock Price,0.0
2013-04-22,JPMorgan Stock Price,2.97
2013-04-23,JPMorgan Stock Price,0.0
2013-04-24,JPMorgan Stock Price,0.0
2013-04-25,JPMorgan Stock Price,0.0
2013-04-26,JPMorgan Stock Price,0.0
2013-04-27,JPMorgan Stock Price,0.0
2013-04-28,JPMorgan Stock Price,7.56
2013-04-29,JPMorgan Stock Price,0.0
2013-04-30,JPMorgan Stock Price,0.0
2013-05-01,JPMorgan Stock Price,9.5
2013-05-02,JPMorgan Stock Price,0.0
2013-05-03,JPMorgan Stock Price,0.0
2013-05-04,JPMorgan Stock Price,0.0
2013-05-05,JPMorgan Stock Price,0.0
2013-05-06,JPMorgan Stock Price,0.0
2013-05-07,JPMorgan Stock Price,0.0
2013-05-08,JPMorgan Stock Price,0.0
2013-05-09,JPMorgan Stock Price,18.81
2013-05-10,JPMorgan Stock Price,8.55
2013-05-11,JPMorgan Stock Price,12.35
2013-05-12,JPMorgan Stock Price,19.0
2013-05-13,JPMorgan Stock Price,0.0
2013-05-14,JPMorgan Stock Price,15.96
2013-05-15,JPMorgan Stock Price,11.78
2013-05-16,JPMorgan Stock Price,8.74
2013-05-17,JPMorgan Stock Price,0.0
2013-05-18,JPMorgan Stock Price,0.0
2013-05-19,JPMorgan Stock Price,0.0
2013-05-20,JPMorgan Stock Price,0.0
