date,MSFT,AAPL,Visa,JPM,UNH,WMT,JNJ,PG,INTC,DIS,VZ,AMGN,IBM,CAT,NKE,AXP,HON,BA,GS,MMM,TRV,DOW
2004-01-01,0.0,0.0,60.06,14.000000000000002,0.0,0.0,0.0,0.0,22.0,20.0,0.0,0.0,51.52,41.76,0.0,0.0,12.18,20.01,22.42,0.0,44.28,1.92
2004-01-02,3.8,0.0,63.18,0.0,8.64,2.8000000000000003,0.0,23.37,0.0,9.0,0.0,0.0,60.720000000000006,39.84,0.0,46.0,0.0,22.04,38.94,10.44,44.28,3.16
2004-01-03,0.0,0.0,47.58,7.98,9.6,0.0,0.0,14.76,0.0,6.0,0.0,0.0,56.120000000000005,41.76,0.0,0.0,9.24,10.15,25.37,0.0,0.0,2.32
2004-01-04,0.0,0.0,62.400000000000006,4.9,11.04,0.0,0.0,7.789999999999999,0.0,0.0,3.3,0.0,42.32,42.72,0.0,0.0,0.0,0.0,41.89,10.56,13.12,1.56
2004-01-05,0.0,0.0,50.7,0.0,0.0,14.000000000000002,0.0,0.0,0.0,0.0,15.0,10.0,39.56,38.4,0.0,0.0,42.0,0.0,59.0,0.0,82.0,2.12
2004-01-06,0.0,0.0,67.86,5.6000000000000005,23.52,0.0,8.9,0.0,0.0,0.0,0.0,0.0,78.2,42.72,0.0,0.0,10.92,25.81,34.809999999999995,5.16,20.5,3.8
2004-01-07,0.0,0.0,66.3,0.0,9.12,2.5200000000000005,3.9,21.32,0.0,4.4,2.7,0.0,83.72,32.64,0.0,0.0,8.82,15.659999999999998,48.38,0.0,0.0,4.0
2004-01-08,4.7,0.0,78.0,0.0,17.759999999999998,5.460000000000001,3.1,12.3,4.84,5.4,4.05,0.0,71.76,33.12,0.0,0.0,0.0,13.919999999999998,40.12,5.16,0.0,3.88
2004-01-09,3.9,0.0,60.84,7.700000000000001,19.2,0.0,0.0,13.53,8.58,2.2,0.0,0.0,79.12,34.08,0.0,0.0,10.08,14.79,41.3,7.08,0.0,2.76
2004-01-10,0.0,0.0,60.06,6.86,20.16,0.0,0.0,7.789999999999999,0.0,8.0,0.0,0.0,68.08,43.2,0.0,0.0,14.28,29.0,47.79,12.0,15.579999999999998,2.36
2004-01-11,0.0,0.0,49.14,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,54.28,37.44,0.0,0.0,0.0,10.44,31.27,10.8,0.0,2.12
2004-01-12,0.0,0.0,60.06,0.0,13.92,0.0,0.0,4.51,2.86,7.800000000000001,0.0,3.6,76.36,34.56,1.98,0.0,7.14,10.15,47.2,0.0,7.38,2.44
2004-01-13,0.0,0.0,62.400000000000006,0.0,24.0,0.0,0.0,21.73,5.94,5.6000000000000005,0.0,0.0,84.64,32.64,0.0,0.0,2.94,9.57,35.989999999999995,0.0,9.84,3.24
2004-01-14,8.1,1.62,69.42,0.0,11.52,0.0,10.0,15.989999999999998,6.6,2.4000000000000004,0.0,0.0,82.8,33.6,0.0,0.0,8.4,16.529999999999998,40.12,0.0,27.88,2.92
2004-01-15,2.9000000000000004,3.0,63.96,2.5200000000000005,9.12,0.0,0.0,9.84,0.0,0.0,0.0,0.0,73.60000000000001,32.16,0.0,0.0,6.72,15.95,44.84,0.0,14.76,2.44
2004-01-16,3.1,0.0,60.84,5.74,16.8,0.0,0.0,13.53,3.3,3.0,2.85,0.0,87.4,35.04,0.0,0.0,0.0,16.24,43.07,0.0,17.22,3.52
2004-01-17,10.0,0.0,40.56,4.48,13.44,0.0,0.0,17.63,0.0,8.4,3.0,0.0,59.8,39.36,0.0,0.0,0.0,22.91,31.86,0.0,16.4,1.88
2004-01-18,4.800000000000001,0.0,54.6,0.0,0.0,0.0,0.0,17.63,0.0,0.0,5.55,0.0,64.4,43.2,0.0,0.0,5.46,10.73,52.51,0.0,31.98,1.88
2004-01-19,0.0,0.0,57.72,2.24,14.4,0.0,0.0,17.22,0.0,4.4,2.25,0.0,77.28,36.48,3.0,0.0,12.6,6.67,28.91,0.0,0.0,2.44
2004-01-20,0.0,0.0,59.28,0.0,13.92,0.0,4.6000000000000005,7.789999999999999,3.52,0.0,0.0,0.0,89.24000000000001,36.0,0.0,0.0,7.14,11.31,28.91,7.199999999999999,23.78,3.04
2004-01-21,0.0,1.83,65.52,0.0,5.76,2.66,0.0,8.61,0.0,9.4,0.0,0.0,92.0,32.64,2.73,0.0,10.92,26.39,12.39,4.2,0.0,2.64
2004-01-22,2.3000000000000003,1.83,63.18,0.0,0.0,0.0,0.0,11.89,5.5,5.6000000000000005,0.0,0.0,78.2,32.16,1.7999999999999998,33.58,8.4,11.89,44.25,3.72,0.0,3.3200000000000003
