gvkey,datadate,fqtr,tic,conm,net_income,revenue,total_assets,shareholders_equity,total_liabilities,total_debt,sales,operating_activities_cf,capital_expenditures,interest_expense,common_shares_outstanding,earnings_per_share,dividends_per_share
001690,2013-03-31,2,AAPL,APPLE INC,9547.0,43603.0,194743.0,135490.0,59253.0,0.0,43603.0,35930.0,4325.0,0.0,940.094,10.16,2.65
001690,2013-06-30,3,AAPL,APPLE INC,6900.0,35323.0,199856.0,123354.0,76502.0,16958.0,35323.0,43758.0,6210.0,53.0,908.442,7.51,3.05
001690,2013-09-30,4,AAPL,APPLE INC,7512.0,37472.0,207000.0,123549.0,83451.0,16960.0,37472.0,53666.0,8165.0,83.0,899.213,8.31,3.05
001690,2013-12-31,1,AAPL,APPLE INC,13072.0,57594.0,225184.0,129684.0,95500.0,16961.0,57594.0,22670.0,1985.0,84.0,892.447,14.59,3.05
001690,2014-03-31,2,AAPL,APPLE INC,10223.0,45646.0,205989.0,120179.0,85810.0,16962.0,45646.0,36208.0,3367.0,85.0,861.745,11.69,3.05
001690,2014-06-30,3,AAPL,APPLE INC,7748.0,37432.0,222520.0,120940.0,101580.0,29030.0,37432.0,46463.0,5745.0,100.0,5989.171,1.29,0.47
001690,2014-09-30,4,AAPL,APPLE INC,8467.0,42123.0,231839.0,111547.0,120292.0,28987.0,42123.0,59713.0,9571.0,115.0,5866.161,1.43,0.47
001690,2014-12-31,1,AAPL,APPLE INC,18024.0,74599.0,261894.0,123328.0,138566.0,32504.0,74599.0,33722.0,3217.0,131.0,5826.419,3.08,0.47
001690,2015-03-31,2,AAPL,APPLE INC,13569.0,58010.0,261194.0,129006.0,132188.0,40072.0,58010.0,52803.0,5586.0,163.0,5762.278,2.34,0.47
001690,2015-06-30,3,AAPL,APPLE INC,10677.0,49605.0,273151.0,125677.0,147474.0,47419.0,49605.0,67791.0,7629.0,201.0,5705.4,1.86,0.52
001690,2015-09-30,4,AAPL,APPLE INC,11124.0,51501.0,290479.0,119355.0,171124.0,53463.0,51501.0,81266.0,11247.0,238.0,5578.753,1.97,0.52
001690,2015-12-31,1,AAPL,APPLE INC,18361.0,75324.0,293284.0,128267.0,165017.0,53204.0,75324.0,27463.0,3612.0,276.0,5544.487,3.3,0.52
